sample,model,loss,n,n_parameters,w,lambda_Q1_pct,lambda_Q2_pct,lambda_Q3_pct,lambda_Q4_pct,rmse_musd,rmse_relative_pct
all22,free_w,usd,22,5,0.786478480785,12.9319111418,13.2242324763,17.3027440661,12.1115583187,44.7208074037,2.72727967582
all22,fixed_2_3,usd,22,4,0.666666666667,12.7216599329,13.7826229412,17.2453803661,12.033467646,48.5645819927,2.82614080768
all22,free_w,relative,22,5,0.761633419321,13.0557489651,13.44696345,17.3147235332,12.1267365552,48.3771836866,2.59508471138
all22,fixed_2_3,relative,22,4,0.666666666667,12.8652497075,13.9250185201,17.3227649991,12.0514467566,52.4683908033,2.70414399018
exclude2021,free_w,usd,18,5,0.53873054727,12.4913207244,14.3735517288,17.0562051205,11.9291483371,33.6995794303,1.58902334809
exclude2021,fixed_2_3,usd,18,4,0.666666666667,12.7000138631,13.7346529031,17.1701395954,12.0016973635,34.8727805811,1.52221403216
exclude2021,free_w,relative,18,5,0.684866409134,12.7953770129,13.6410219289,17.165862762,11.9916557982,35.7958917059,1.49305587115
exclude2021,fixed_2_3,relative,18,4,0.666666666667,12.7661551213,13.7293322928,17.150559059,11.9801245861,35.4685440477,1.4940190422
2023plus,free_w,usd,14,5,0.356962970379,12.1353734384,15.3543666852,16.908141499,11.8887791296,28.1489003178,1.13404734582
2023plus,fixed_2_3,usd,14,4,0.666666666667,12.6558313815,13.725365076,17.225739444,12.0342374351,33.5078178933,1.36290636415
2023plus,free_w,relative,14,5,0.312643585408,12.0752548526,15.6333010647,16.866227822,11.8572934063,28.3647608955,1.12699111413
2023plus,fixed_2_3,relative,14,4,0.666666666667,12.6830684499,13.7090137465,17.2380145439,12.0289805902,33.6887634943,1.35601729845
