market,window,dump_a,dump_b,basis_a,basis_b,segment,matched_listings,median_seq_change_pct
austin,jun_sep_2025_listed,austin_2025-06-13_listings.parquet,austin_2025-09-16_listings.parquet,listed_nightly,listed_nightly,all,8748,0.0
austin,jun_sep_2025_listed,austin_2025-06-13_listings.parquet,austin_2025-09-16_listings.parquet,listed_nightly,listed_nightly,entire,7619,0.0
austin,jun_aug_2026_quote,austin_2026-06-22_listings.parquet,austin_2026-08-25_listings.parquet,quote_per_night,quote_per_night,all,8999,1.2345679012345734
austin,jun_aug_2026_quote,austin_2026-06-22_listings.parquet,austin_2026-08-25_listings.parquet,quote_per_night,quote_per_night,entire,7519,1.2842198976185104
barcelona,jun_aug_2026_quote,barcelona_2026-06-24_listings.parquet,barcelona_2026-08-23_listings.parquet,quote_per_night,quote_per_night,all,11092,-0.024038833938000437
barcelona,jun_aug_2026_quote,barcelona_2026-06-24_listings.parquet,barcelona_2026-08-23_listings.parquet,quote_per_night,quote_per_night,entire,8543,-0.8902077151335286
chicago,jun_sep_2025_listed,chicago_2025-06-17_listings.parquet,chicago_2025-09-22_listings.parquet,listed_nightly,listed_nightly,all,6575,-7.586206896551728
chicago,jun_sep_2025_listed,chicago_2025-06-17_listings.parquet,chicago_2025-09-22_listings.parquet,listed_nightly,listed_nightly,entire,5274,-10.622180692639049
chicago,jun_aug_2026_quote,chicago_2026-06-24_listings.parquet,chicago_2026-08-27_listings.parquet,quote_per_night,quote_per_night,all,6850,-0.15143587171255746
chicago,jun_aug_2026_quote,chicago_2026-06-24_listings.parquet,chicago_2026-08-27_listings.parquet,quote_per_night,quote_per_night,entire,5292,-1.8181919209134034
london,jun_aug_2026_quote,london_2026-06-19_listings.parquet,london_2026-08-18_listings.parquet,quote_per_night,quote_per_night,all,52480,-1.4594989923746082
london,jun_aug_2026_quote,london_2026-06-19_listings.parquet,london_2026-08-18_listings.parquet,quote_per_night,quote_per_night,entire,34863,-3.6272575504628812
los-angeles,jun_sep_2025_listed,los-angeles_2025-06-17_listings.parquet,los-angeles_2025-09-01_listings.parquet,listed_nightly,listed_nightly,all,30533,0.0
los-angeles,jun_sep_2025_listed,los-angeles_2025-06-17_listings.parquet,los-angeles_2025-09-01_listings.parquet,listed_nightly,listed_nightly,entire,23373,0.0
los-angeles,jun_aug_2026_quote,los-angeles_2026-06-15_listings.parquet,los-angeles_2026-08-10_listings.parquet,quote_per_night,quote_per_night,all,33144,0.0
los-angeles,jun_aug_2026_quote,los-angeles_2026-06-15_listings.parquet,los-angeles_2026-08-10_listings.parquet,quote_per_night,quote_per_night,entire,24645,0.0
mexico-city,jun_sep_2025_listed,mexico-city_2025-06-25_listings.parquet,mexico-city_2025-09-27_listings.parquet,listed_nightly,listed_nightly,all,20368,0.0
mexico-city,jun_sep_2025_listed,mexico-city_2025-06-25_listings.parquet,mexico-city_2025-09-27_listings.parquet,listed_nightly,listed_nightly,entire,13870,0.0
mexico-city,jun_aug_2026_quote,mexico-city_2026-06-15_listings.parquet,mexico-city_2026-08-30_listings.parquet,quote_per_night,quote_per_night,all,26104,-5.173734568463217
mexico-city,jun_aug_2026_quote,mexico-city_2026-06-15_listings.parquet,mexico-city_2026-08-30_listings.parquet,quote_per_night,quote_per_night,entire,17521,-7.614747866859783
nashville,jun_sep_2025_listed,nashville_2025-06-19_listings.parquet,nashville_2025-09-23_listings.parquet,listed_nightly,listed_nightly,all,5111,-4.09090909090909
nashville,jun_sep_2025_listed,nashville_2025-06-19_listings.parquet,nashville_2025-09-23_listings.parquet,listed_nightly,listed_nightly,entire,4722,-4.976684202904225
nashville,jun_aug_2026_quote,nashville_2026-06-26_listings.parquet,nashville_2026-08-27_listings.parquet,quote_per_night,quote_per_night,all,8399,0.0
nashville,jun_aug_2026_quote,nashville_2026-06-26_listings.parquet,nashville_2026-08-27_listings.parquet,quote_per_night,quote_per_night,entire,7652,0.0
new-orleans,jun_sep_2025_listed,new-orleans_2025-06-09_listings.parquet,new-orleans_2025-09-11_listings.parquet,listed_nightly,listed_nightly,all,5379,0.0
new-orleans,jun_sep_2025_listed,new-orleans_2025-06-09_listings.parquet,new-orleans_2025-09-11_listings.parquet,listed_nightly,listed_nightly,entire,4748,0.0
