quarter,err_v2_pre_registered_pp,err_from_residual_rule_pp,err_from_new_business_and_interaction_pp,err_naive_pp,err_mix_if_trailing4q_pp
1Q24,-1.2790920821243221,-1.3361968980242047,0.057104815899882595,-1.5,-0.2482687301128523
2Q24,-1.6324017930346864,-1.6895066089345692,0.057104815899882595,-1.0,-0.2001959317130896
3Q24,0.7189916228800253,0.6618868069801431,0.057104815899882595,1.0,-0.27769066384879687
4Q24,-0.04435817469602732,-0.10146299059590991,0.057104815899882595,0.0,0.5191433383085955
1Q25,0.36861699853074037,0.1903432089934891,0.17827378953725154,1.0,0.7197037220179794
2Q25,0.7684604212859933,0.5901866317487421,0.17827378953725154,0.0,0.1946216571285061
3Q25,-0.5755192077398261,-0.7537929972770776,0.17827378953725154,-1.0,-0.011953227791594134
4Q25,-1.1565824268270761,-1.3348562163643267,0.17827378953725154,-1.0,-0.27563843467343646
1Q26,-0.8223238551511098,-1.1200367645225713,0.2977129093714616,-1.0,-0.8316491482297299
2Q26,-0.5119124007128435,-0.8096253100843054,0.2977129093714616,0.0,-0.07578732162179613
