month,cpi_lodging_sa,cpi_lodging_nsa,cpi_hotels_motels_nsa,bea_hotels_price,hicp_ea_accommodation,ine_iph_spain
2016-01-01,,,,1.8580021592720097,,
2016-02-01,,,,3.134971613277515,,
2016-03-01,,,,1.097493492919055,,
2016-04-01,,,,-0.17926654374105233,,
2016-05-01,,,,2.648501931308056,,
2016-06-01,,,,6.33992566322672,,
2016-07-01,,,,0.7231330994486918,,
2016-08-01,,,,2.759646368668922,,6.84
2016-09-01,,,,2.827594021364055,,5.75
2016-10-01,,,,4.162822641818886,,4.82
2016-11-01,,,,1.8033069064325558,,4.81
2016-12-01,,,,2.851602367830175,,4.63
2017-01-01,,,,1.6767277058811647,,6.75
2017-02-01,,,,1.479658463083866,,3.92
2017-03-01,,,,0.05473509228945961,,3.23
2017-04-01,,,,2.740007183539439,,9.61
2017-05-01,,,,2.1184415267424095,,7.33
2017-06-01,,,,-0.18828242363544412,,9.02
2017-07-01,,,,-2.906291888378887,,7.14
2017-08-01,,,,-0.2000080405242355,,6.7
2017-09-01,,,,0.15928033338676872,,6.35
2017-10-01,,,,1.4800964424543706,,5.7
2017-11-01,,,,0.2884309357097381,,4.35
2017-12-01,,,,-0.007938555579811712,,4.39
2018-01-01,,,,-1.6778690070788138,3.1,3.21
2018-02-01,,,,-1.7896914564010102,2.6,3.29
2018-03-01,,,,2.542776387636647,4.3,5.01
2018-04-01,,,,0.8480247715127565,1.5,-0.5
2018-05-01,,,,4.444776416691565,3.8,1.4
2018-06-01,,,,1.185005317974741,3.0,1.85
2018-07-01,,,,5.086075260945044,3.7,1.63
2018-08-01,,,,1.929564840831044,3.0,0.68
2018-09-01,,,,-0.2790474380644836,3.5,0.46
2018-10-01,,,,-2.7608879062054448,2.4,1.62
2018-11-01,,,,-2.195687962393633,2.7,2.56
2018-12-01,,,,0.00893158406605199,1.8,0.6
2019-01-01,2.904648067667903,2.562923265610828,1.315169619748069,2.9495218765462017,1.3,1.24
2019-02-01,4.594849839450976,3.951751644683865,0.6339257291517963,4.864183843168868,1.1,0.89
2019-03-01,2.658396922962769,2.8831813403095152,1.266691934589037,2.6782979816441177,0.0,-0.73
