quarter,actual,pred,naive,prior_year,ar1,feature,transform,lag,target,window
1Q24,2.2557752082862383,0.5042133984918595,0.8339628069705792,3.4765599528784485,0.5127528504234428,cpi_lodging_sa,level,0,residual_pricing_pp,2023Q1+
2Q24,3.234375616562978,1.400075281128567,2.2557752082862383,2.4720399165943165,1.707737296555292,cpi_lodging_sa,level,0,residual_pricing_pp,2023Q1+
3Q24,2.083188605444465,2.143143723073511,3.234375616562978,1.005193813553488,2.3181453938168577,cpi_lodging_sa,level,0,residual_pricing_pp,2023Q1+
4Q24,2.760245101599631,2.1887183535782495,2.083188605444465,0.8339628069705792,1.947989863654478,cpi_lodging_sa,level,0,residual_pricing_pp,2023Q1+
1Q25,2.231373644528559,2.2330246004016594,2.760245101599631,2.2557752082862383,2.226540426944484,cpi_lodging_sa,level,0,residual_pricing_pp,2023Q1+
2Q25,1.905622741315353,2.1899223892144213,2.231373644528559,3.234375616562978,2.1014775348891215,cpi_lodging_sa,level,0,residual_pricing_pp,2023Q1+
3Q25,2.8222911901990337,2.11715721248705,1.905622741315353,2.083188605444465,2.0018695208600823,cpi_lodging_sa,level,0,residual_pricing_pp,2023Q1+
4Q25,3.69881318212152,2.255641860873275,2.8222911901990337,2.760245101599631,2.278708711746652,cpi_lodging_sa,level,0,residual_pricing_pp,2023Q1+
1Q26,4.380588950682848,2.4600424790482327,3.69881318212152,2.231373644528559,2.7422669668313455,cpi_lodging_sa,level,0,residual_pricing_pp,2023Q1+
2Q26,4.84932637648649,2.3337004767276763,4.380588950682848,1.905622741315353,3.57963241916159,cpi_lodging_sa,level,0,residual_pricing_pp,2023Q1+
1Q24,2.0,0.1737750345554902,0.5,3.0,0.26315789473684187,cpi_lodging_sa,level,0,adr_exfx_yoy_pp,2023Q1+
2Q24,3.0,1.1293331790475296,2.0,2.0,1.3333333333333337,cpi_lodging_sa,level,0,adr_exfx_yoy_pp,2023Q1+
3Q24,2.0,1.8785724035998232,3.0,0.5,2.0319148936170217,cpi_lodging_sa,level,0,adr_exfx_yoy_pp,2023Q1+
