quarter,code,wording,source
3Q22,1.0,slightly higher ADRs than Q3 2021,2Q22 letter
4Q22,-1.0,ADR will face some pressure from FX headwinds and business mix,3Q22 letter
1Q23,-1.0,slightly lower ADR than Q1 2022,4Q22 letter
2Q23,-1.0,slightly lower ADR in Q2 2023 than Q2 2022,1Q23 letter
3Q23,1.0,drive a year-over-year increase in ADR in Q3 2023,2Q23 letter
4Q23,0.5,stable to slightly up,3Q23 letter
1Q24,0.5,flat to slightly up,4Q23 letter
2Q24,1.0,"modestly up ... due to mix shift, partially offset by FX",1Q24 letter
3Q24,1.0,increase modestly,2Q24 letter
4Q24,1.0,"increase modestly ... larger and higher priced listings, small FX benefit",3Q24 letter
1Q25,-1.0,"decline slightly, largely FX; ex-FX a slight increase (+0.5 ex-FX)",4Q24 letter
2Q25,0.0,approximately flat,1Q25 letter
3Q25,1.0,"increase modestly, primarily driven by FX",2Q25 letter
4Q25,1.0,"modest increase, primarily price appreciation and FX",3Q25 letter
1Q26,2.0,moderate increase in ADR due to price appreciation and FX,4Q25 letter
2Q26,2.0,moderate increase in ADR,1Q26 letter
3Q26,2.0,moderate increase in ADR due to mix shift and price appreciation,2Q26 letter
