market,snapshot,priced,note,file
austin,2024-05-19,True,price_nonempty_share=1.000,austin_2024-05-19_calendar.csv.gz
austin,2024-06-17,True,price_nonempty_share=1.000,austin_2024-06-17_calendar.csv.gz
austin,2024-07-21,True,price_nonempty_share=1.000,austin_2024-07-21_calendar.csv.gz
austin,2024-08-14,True,price_nonempty_share=1.000,austin_2024-08-14_calendar.csv.gz
austin,2024-09-13,True,price_nonempty_share=1.000,austin_2024-09-13_calendar.csv.gz
austin,2024-10-14,True,price_nonempty_share=1.000,austin_2024-10-14_calendar.csv.gz
austin,2024-11-14,True,price_nonempty_share=1.000,austin_2024-11-14_calendar.csv.gz
austin,2024-12-14,True,price_nonempty_share=1.000,austin_2024-12-14_calendar.csv.gz
austin,2025-01-16,True,price_nonempty_share=1.000,austin_2025-01-16_calendar.csv.gz
austin,2025-02-16,True,price_nonempty_share=1.000,austin_2025-02-16_calendar.csv.gz
austin,2025-03-06,True,price_nonempty_share=1.000,austin_2025-03-06_calendar.csv.gz
austin,2025-04-12,True,price_nonempty_share=1.000,austin_2025-04-12_calendar.csv.gz
austin,2025-05-11,True,price_nonempty_share=1.000,austin_2025-05-11_calendar.csv.gz
austin,2025-07-11,False,price_nonempty_share=0.000,austin_2025-07-11_calendar.csv.gz
austin,2025-08-16,False,price_nonempty_share=0.000,austin_2025-08-16_calendar.csv.gz
austin,2025-09-16,False,price_nonempty_share=0.000,austin_2025-09-16_calendar.csv.gz
austin,2025-12-22,False,no_price_column,austin_2025-12-22_calendar.csv.gz
bangkok,2025-03-19,True,price_nonempty_share=1.000,bangkok_2025-03-19_calendar.csv.gz
bangkok,2025-04-25,True,price_nonempty_share=1.000,bangkok_2025-04-25_calendar.csv.gz
bangkok,2025-05-26,True,price_nonempty_share=1.000,bangkok_2025-05-26_calendar.csv.gz
bangkok,2025-06-24,False,price_nonempty_share=0.000,bangkok_2025-06-24_calendar.csv.gz
bangkok,2025-07-26,False,price_nonempty_share=0.000,bangkok_2025-07-26_calendar.csv.gz
bangkok,2025-08-28,False,no_price_column,bangkok_2025-08-28_calendar.csv.gz
