quarter,cpi_lodging_sa,cpi_lodging_nsa,cpi_hotels_motels_nsa,bea_hotels_price,hicp_ea_accommodation,ine_iph_spain,mar_revpar,hlt_revpar,mgmt_adr_guide
1Q22,23.406600196642625,23.56285159272423,4.893632545751081,27.141841158660984,8.533333333333333,21.48,96.5,80.5,
2Q22,16.375146745807765,16.310685886699964,6.21364174951647,18.70971966064707,14.033333333333333,24.00333333333333,70.6,54.3,
3Q22,2.8170846605902446,2.664434985181726,6.028756099115795,3.066219884851858,14.833333333333334,14.340000000000002,36.3,29.9,1.0
4Q22,3.9297771516880666,4.091161078672756,6.7944682866530215,4.337514060886383,11.4,9.493333333333334,28.8,24.8,-1.0
1Q23,7.113830355196771,7.225785349029638,6.521808799313618,7.937519597636977,9.299999999999999,10.843333333333334,34.3,30.0,-1.0
2Q23,3.7944218440812754,3.7527119280508745,6.5440027569860035,4.0002075286686685,9.766666666666666,8.923333333333334,13.5,12.1,-1.0
3Q23,5.567833324125108,5.450357629827811,5.078029355938085,5.9585675926941235,7.766666666666666,6.97,8.8,6.8,1.0
4Q23,0.6125526714934307,0.7476663686975119,4.866278305368936,0.21363351904645964,6.833333333333333,9.049999999999999,7.2,5.7,0.5
1Q24,-0.581057983065969,-0.4555406197030247,5.464227770600206,-0.87792518613512,5.3,8.463333333333333,4.2,2.0,0.5
2Q24,-1.1675008123388175,-1.345242619971054,3.1766373966902663,-1.7110526450293577,5.466666666666666,6.696666666666666,4.9,3.5,1.0
3Q24,-0.9124871045763686,-1.1196843632216773,3.318073593137953,-1.4359810677162852,4.966666666666666,6.933333333333334,3.0,1.4,1.0
4Q24,1.8090299014240159,2.0574817497965934,2.454941287661113,1.759127869827374,5.066666666666666,6.196666666666666,5.0,3.5,1.0
1Q25,0.49077847509377087,0.5778229828473794,2.1052443640620386,-0.04826541695297504,4.533333333333334,4.61,4.1,2.5,-1.0
2Q25,-1.5587146645246113,-1.607320492916801,4.008859735064122,-2.585130260616153,3.966666666666667,5.736666666666667,1.5,-0.5,0.0
3Q25,-1.9219200873310711,-2.0682534893096127,3.7338897748597923,-3.1355850941061933,2.8333333333333335,5.44,0.5,-1.1,1.0
4Q25,-1.9269905838610157,-3.989937387018072,6.226200218038858,-3.184185112676019,3.3333333333333335,4.273333333333333,1.9,0.5,1.0
1Q26,-0.9292281563766602,2.3408769150468745,6.08486914178427,-2.1901075295067094,3.933333333333333,4.25,4.2,3.6,2.0
2Q26,4.156956590493451,5.504370926364769,5.012474749159527,4.959556496474186,4.266666666666667,4.873333333333333,3.4,3.9,2.0
