market,snapshot_a,snapshot_b,gap_days,lead_bucket_at_b,regime,n,median_revision_pct,trimmed_mean_revision_pct,share_cut,share_raised
austin,2024-05-19,2024-06-17,29,0-30,all,218356,0.0,0.0,0.04887431533825496,0.03553829526095001
austin,2024-05-19,2024-06-17,29,0-30,open_both,89202,0.0,0.0,0.06652317212618551,0.04495414901011188
austin,2024-05-19,2024-06-17,29,31-90,all,436080,0.0,0.0,0.04887405980554027,0.035498073747936155
austin,2024-05-19,2024-06-17,29,31-90,open_both,212285,0.0,0.0,0.07004734201662859,0.05223638033775349
austin,2024-05-19,2024-06-17,29,91-180,all,654120,0.0,0.0,0.0488442487616951,0.035498073747936155
austin,2024-05-19,2024-06-17,29,91-180,open_both,280817,0.0,0.0,0.0767332462066043,0.05792028260397341
austin,2024-05-19,2024-06-17,29,181-365,all,1128443,0.0,0.0,0.04887353636825254,0.03543112057941784
austin,2024-05-19,2024-06-17,29,181-365,open_both,372091,0.0,0.0,0.08769897686318669,0.07084019769357495
austin,2024-06-17,2024-07-21,34,0-30,all,219240,0.0,0.0,0.03965973362525087,0.028037766830870278
austin,2024-06-17,2024-07-21,34,0-30,open_both,90518,0.0,0.0,0.04853178373362204,0.04535009611348019
austin,2024-06-17,2024-07-21,34,31-90,all,434340,0.0,0.0,0.03964635999447438,0.0280425473131648
austin,2024-06-17,2024-07-21,34,31-90,open_both,200949,0.0,0.0,0.053958964712439474,0.04370760740287337
austin,2024-06-17,2024-07-21,34,91-180,all,651510,0.0,0.0,0.03964635999447438,0.028045617104879433
austin,2024-06-17,2024-07-21,34,91-180,open_both,288563,0.0,0.0,0.05826110762641087,0.04483596303060337
austin,2024-06-17,2024-07-21,34,181-365,all,1092638,0.0,0.0,0.039649911498593315,0.028055037441494804
austin,2024-06-17,2024-07-21,34,181-365,open_both,363013,0.0,0.0,0.07641048667678568,0.056276221512728195
austin,2024-07-21,2024-08-14,24,0-30,all,214042,0.0,0.0,0.03424561534652078,0.037530017473206195
austin,2024-07-21,2024-08-14,24,0-30,open_both,91511,0.0,0.0,0.05198282173727749,0.04670476773284086
austin,2024-07-21,2024-08-14,24,31-90,all,437820,0.0,0.0,0.03418756566625554,0.037492576858069525
austin,2024-07-21,2024-08-14,24,31-90,open_both,195193,0.0,0.0,0.054627983585476936,0.04940750949060673
austin,2024-07-21,2024-08-14,24,91-180,all,656730,0.0,0.0,0.03414340748861785,0.03749790629330166
austin,2024-07-21,2024-08-14,24,91-180,open_both,302275,0.0,0.0,0.05333884707633777,0.05416590852700356
austin,2024-07-21,2024-08-14,24,181-365,all,1172525,0.0,0.0,0.03418349288927741,0.03752926376836315
austin,2024-07-21,2024-08-14,24,181-365,open_both,398163,0.0,0.0,0.06593530790153782,0.07267626575045898
austin,2024-08-14,2024-09-13,30,0-30,all,224743,0.0,0.0,0.0459858594038524,0.043075868881344466
austin,2024-08-14,2024-09-13,30,0-30,open_both,80705,0.0,0.0,0.06952481258905892,0.04751874109410817
austin,2024-08-14,2024-09-13,30,31-90,all,437820,0.0,0.0,0.04577223516513636,0.04289434013978347
austin,2024-08-14,2024-09-13,30,31-90,open_both,195600,0.0,0.0,0.06711145194274029,0.05582310838445808
austin,2024-08-14,2024-09-13,30,91-180,all,656730,0.0,0.0,0.04577223516513636,0.04289434013978347
austin,2024-08-14,2024-09-13,30,91-180,open_both,298343,0.0,0.0,0.07275518446888313,0.06371525391914676
austin,2024-08-14,2024-09-13,30,181-365,all,1135727,0.0,0.0,0.045778607006789485,0.04288882803701946
austin,2024-08-14,2024-09-13,30,181-365,open_both,389898,0.0,0.0,0.09098276985262813,0.08274471784928365
austin,2024-09-13,2024-10-14,31,0-30,all,223294,0.0,0.0,0.03619443424364291,0.043122520085627024
austin,2024-09-13,2024-10-14,31,0-30,open_both,78330,0.0,0.0,0.053491637942040086,0.047963743138005874
austin,2024-09-13,2024-10-14,31,31-90,all,444720,0.0,0.0,0.036193559992804464,0.043038316243928766
austin,2024-09-13,2024-10-14,31,31-90,open_both,212354,0.0,0.0,0.05339668666472023,0.05273741017357808
austin,2024-09-13,2024-10-14,31,91-180,all,667080,0.0,0.0,0.03616207951070336,0.043038316243928766
austin,2024-09-13,2024-10-14,31,91-180,open_both,297864,0.0,0.0,0.05799626675261193,0.06010461150055059
austin,2024-09-13,2024-10-14,31,181-365,all,1135377,0.0,0.0,0.03616948379260809,0.04303328321782104
austin,2024-09-13,2024-10-14,31,181-365,open_both,392286,0.0,0.0,0.07348210234369822,0.074626675435779
austin,2024-10-14,2024-11-14,31,0-30,all,227585,0.0,0.0,0.034409121866555356,0.03724762176769119
austin,2024-10-14,2024-11-14,31,0-30,open_both,93189,0.0,0.0,0.040015452467565917,0.05353636158774104
austin,2024-10-14,2024-11-14,31,31-90,all,447600,0.0,0.0,0.034276139410187666,0.03707774798927614
austin,2024-10-14,2024-11-14,31,31-90,open_both,221273,0.0,0.0,0.0424453051208236,0.05559648036588287
austin,2024-10-14,2024-11-14,31,91-180,all,671400,0.0,0.0,0.03420911528150134,0.037073279714030384
austin,2024-10-14,2024-11-14,31,91-180,open_both,299894,0.0,0.0,0.04598958298598838,0.05930095300339453
austin,2024-10-14,2024-11-14,31,181-365,all,1147733,0.0,0.0,0.034203948130793485,0.037074824893943106
