quarter,actual_exfx_pp,actual_residual_pp,mix_measured_pp,mix_trailing4q_pp,new_business_prior_year_pp,interaction_prior_year_pp,naive_last_q_pp,prior_year_q_pp,ar1_expanding_pp,h_route_a_pp,residual_last_q_pp,v2_measured_last_q_pp,v2_trailing4q_last_q_pp,residual_persistence_pp,v2_measured_persistence_pp,v2_trailing4q_persistence_pp,residual_trailing_4q_pp,v2_measured_trailing_4q_pp,v2_trailing4q_trailing_4q_pp,residual_trailing_8q_pp,v2_measured_trailing_8q_pp,v2_trailing4q_trailing_8q_pp,residual_ar1_residual_pp,v2_measured_ar1_residual_pp,v2_trailing4q_ar1_residual_pp,residual_blend_pp,v2_measured_blend_pp,v2_trailing4q_blend_pp
1Q24,2.0,2.2557752082862383,-0.1491917554891992,-0.3974604856020515,0.0,-0.0494786368971566,0.5,3.0,0.26315789473684187,,0.8339628069705792,0.6352924145842235,0.38702368447137114,0.9195783102620336,0.7209079178756779,0.47263918776282554,1.946939122499208,1.7482687301128523,1.5,1.946939122499208,1.7482687301128523,1.5,,,,1.433258716380621,1.2345883239942652,0.9863195938814129
2Q24,3.0,3.234375616562978,-0.1277921637659387,-0.3279880954790283,0.0,-0.0494786368971566,2.0,2.0,1.3333333333333337,1.2642762039749706,2.2557752082862383,2.078504407623143,1.8783084759100535,1.5448690076284088,1.3675982069653136,1.167402275252224,1.6417429363511555,1.4644721356880603,1.2642762039749706,2.008706339656614,1.8314355389935189,1.6312396072804292,,,,1.7767876736425114,1.5995168729794162,1.3993209412663266
3Q24,2.0,2.083188605444465,0.02339484735257391,-0.25429581649622296,0.0,-0.0494786368971566,3.0,0.5,2.0319148936170217,1.528552407949941,3.234375616562978,3.208291827018395,2.9306011631695985,2.745075412424608,2.7189916228800253,2.4413009590312287,1.8323268613433208,1.806243071798738,1.5285524079499413,2.2129845524743414,2.1869007629297585,1.909210099080962,2.3181453938168577,2.292061604272275,2.014370940423478,2.479029982449475,2.452946192904892,2.1752555290560953
4Q24,2.0,2.760245101599631,-0.6536616488025921,-0.13451831049399665,0.0,-0.0494786368971566,2.0,0.5,1.717105263157895,1.917828611924912,2.083188605444465,1.3800483197447164,1.899191658053312,2.6587821110037213,1.9556418253039727,2.474785163612568,2.1018255593160653,1.3986852736163167,1.9178286119249122,2.194442274327216,1.4913019886274674,2.010445326936063,1.947989863654478,1.2448495779547293,1.7639929162633248,2.426612192665469,1.7234719069657203,2.2426152452743158
1Q25,1.0,2.231373644528559,-0.9465164021942685,-0.22681268017628903,0.0,-0.1065834527970392,2.0,2.0,1.7584269662921352,2.2500000000000004,2.760245101599631,1.7071452466083235,2.426848968626303,2.421716853522048,1.3686169985307404,2.0883207205487198,2.583396132973328,1.5302962779820202,2.2499999999999996,2.2651676277362682,1.2120677727449605,1.93177149476294,2.226540426944484,1.1734405719531764,1.893144293971156,2.343442240629158,1.2903423856378502,2.0100461076558296
2Q25,1.0,1.905622741315353,-0.6207654989810625,-0.4261438418525564,0.0,-0.1065834527970392,1.0,3.0,1.3676470588235294,2.044568447384313,2.231373644528559,1.5040246927504572,1.6986463498789635,2.495809373064095,1.7684604212859933,1.9630820784144996,2.5772957420339084,1.8499467902558067,2.0445684473843126,2.109519339192532,1.3821703874144302,1.5767920445429364,2.1014775348891215,1.3741285831110197,1.568750240239526,2.3026643561283135,1.5753154043502118,1.769937061478718
3Q25,2.0,2.8222911901990337,-0.5374339478647432,-0.5493871756563373,0.0,-0.1065834527970392,1.0,2.0,1.2952755905511815,1.5891368947686255,1.905622741315353,1.2616053406535706,1.2496521128619764,2.068498192921956,1.4244807922601739,1.4125275644685797,2.245107523222002,1.6010901225602199,1.5891368947686257,2.0387171922826615,1.3946997916208792,1.382746563829285,2.0018695208600823,1.3578521201983,1.345898892406706,2.053607692602309,1.4095902919405265,1.3976370641489324
4Q25,3.0,3.69881318212152,-0.41395593978723005,-0.6895943744606665,0.0,-0.1065834527970392,2.0,2.0,1.6809210526315788,1.6337053421529386,2.8222911901990337,2.3017517976147643,2.026113362941328,2.3639569657571933,1.8434175731729239,1.5677791384994877,2.4298831694106444,1.909343776826375,1.6337053421529388,2.2658543643633546,1.7453149717790852,1.469676537105649,2.278708711746652,1.7581693191623824,1.4825308844889462,2.314905665060274,1.7943662724760046,1.5187278378025684
1Q26,4.0,4.380588950682848,0.2019812010229039,-0.6296679472068261,-0.1765366347734276,-0.1083206075608631,3.0,1.0,2.1301775147929005,1.7500000000000002,3.69881318212152,3.615937140810133,2.784287992580403,3.260552186160277,3.17767614484889,2.3460269966191603,2.6645251895411164,2.5816491482297295,1.7499999999999996,2.623960661257222,2.5410846199458352,1.7094354717161053,2.7422669668313455,2.6593909255199586,1.8277417772902287,2.9422564237087494,2.8593803823973625,2.0277312341676326
2Q26,4.0,4.84932637648649,-0.26675622478073685,-0.342543546402533,-0.1765366347734276,-0.1083206075608631,4.0,1.0,3.1181818181818164,2.5744282273428656,4.380588950682848,3.8289754835678207,3.753188161946025,4.039701066402184,3.4880875992871565,3.4123002776653606,3.2018290160796887,2.650215548964661,2.574428227342865,2.8895623790567986,2.337948911941771,2.262161590319975,3.57963241916159,3.0280189520465624,2.9522316304247664,3.464631722729491,2.9130182556144635,2.8372309339926676
