print,print_date,buyback_in_quarter_usd_bn,remaining_after_quarter_usd_bn,trailing_pace_usd_bn_per_q,remaining_over_pace_q,new_authorization_announced,source
3Q22,2022-11-01,1.00,1.00,1.00,1.0,no,3Q22 letter: "$1B of our authorized $2B"
4Q22,2023-02-14,0.50,0.50,0.75,0.7,no,4Q22 letter: "$1.5 billion" repurchased in 2022
1Q23,2023-05-09,0.49,0.00,0.50,0.0,yes ($2.5bn),1Q23 letter
2Q23,2023-08-03,0.51,2.00,0.50,4.0,no,2Q23 letter
3Q23,2023-11-01,0.50,1.50,0.50,3.0,no,3Q23 letter: "$1 billion under this authorization"
4Q23,2024-02-13,0.75,0.75,0.63,1.2,yes ($6bn),4Q23 letter: "$750 million remaining"
1Q24,2024-05-08,0.75,6.00,0.75,8.0,no,1Q24 letter: completed $2.5bn; $6bn remaining
2Q24,2024-08-06,0.75,5.25,0.75,7.0,no,2Q24 letter: "$5.25 billion"
3Q24,2024-11-07,1.09,4.20,0.86,4.9,no,3Q24 letter: "$4.2 billion remaining"
4Q24,2025-02-13,0.84,3.30,0.89,3.7,no,4Q24 letter: "$3.3 billion remaining"
1Q25,2025-05-01,0.81,2.50,0.91,2.7,no,1Q25 letter: "$2.5 billion remaining"
2Q25,2025-08-06,1.01,1.50,0.94,1.6,yes ($6bn additional),2Q25 letter: "$1.5 billion remaining ... additional $6 billion"
3Q25,2025-11-06,0.86,6.60,0.93,7.1,no,3Q25 letter: "$6.6 billion"
4Q25,2026-02-12,1.10,5.60,0.94,6.0,no,4Q25 letter: "$5.6 billion"
1Q26,2026-05-07,1.09,4.50,1.01,4.5,no,1Q26 letter: "$4.5 billion"
2Q26,2026-08-06,1.05,3.40,1.03,3.3,no,2Q26 letter: "$3.4 billion"
