scenario,p_yes,p_ann_by_feb,p_legA,p_legB,mean_rem_dec_usd_bn,mean_r_dec_q
base (rev 2),0.468,0.576,0.431,0.071,1.28,1.25
Nov hazard 0.08 (auditor's cap),0.456,0.557,0.419,0.068,1.28,1.25
"Nov hazard 0.20 (logistic interpolation, upper)",0.499,0.615,0.462,0.079,1.28,1.25
Nov hazard 0.30 (pace-threshold model),0.533,0.661,0.496,0.085,1.28,1.25
Feb rule = MLE logistic only,0.422,0.511,0.382,0.071,1.28,1.25
Feb rule = revision-1 hand-set rule only,0.516,0.642,0.482,0.071,1.28,1.25
Feb rule = 2022-23 exhaustion regime,0.23,0.237,0.177,0.072,1.28,1.25
"pace 0.90/q (RNPL cash drag, M&A reserve)",0.341,0.395,0.297,0.07,1.6,1.84
pace 1.20/q (step-up),0.568,0.703,0.528,0.095,1.0,0.86
size >= $5bn | announce = 0.50 (historical frequency),0.336,0.576,0.288,0.071,1.28,1.25
size >= $5bn | announce = 0.90,0.548,0.574,0.517,0.071,1.28,1.25
leg B hazards doubled (0.12 / 0.28),0.505,0.576,0.432,0.14,1.28,1.25
leg B hazards zero (mechanical only),0.432,0.575,0.431,0.001,1.28,1.25
leg B threshold 1.50 (no rounding convention),0.469,0.576,0.432,0.07,1.28,1.25
"auditor's construction (Nov 0.08, MLE Feb, size 0.78)",0.421,0.489,0.382,0.068,1.28,1.25
"revision-1 construction (Nov 0.19, rev-1 rule, size 0.78, thresh 1.5)",0.554,0.67,0.522,0.075,1.28,1.25
"joint bear (pace 0.9, exhaustion rule, Nov 0.05, size 0.5, legB 0)",0.043,0.086,0.043,0.0,1.6,1.84
"joint bull (pace 1.2, rev-1 rule, Nov 0.25, size 0.9, legB x2)",0.772,0.812,0.732,0.183,1.0,0.86
