method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
guidance-policy,guide_mid_next_q,guide_mid,2023Q1,2023-02-14,0,1819.75424914653,1819.75424914653,W1,PIT,7,10,1631.1377170992787,1672.797822159924,1742.4100310964486,1897.0984671966112,1966.7106761331358,2008.370781193781,114.67070926963154,1852.8222996515678,,1852.8222996515678,,1690.0,Refinitiv,2023-02-14,2023-02-14,"kernel(w=2/3,k=3)/(1+c_mean8)|PIT",lam=13.267 c=3.524 nlam=2 ncush=5,1.0
guidance-policy,guide_mid_next_q,guide_mid,2023Q1,2023-02-14,0,1752.8133037975122,1752.8133037975122,W1,full_sample,7,10,1576.8921695782803,1615.7482171071633,1680.6749688542038,1824.9516387408205,1889.878390487861,1928.734438016744,106.95245542624927,1852.8222996515678,,1852.8222996515678,,1690.0,Refinitiv,2023-02-14,2023-02-14,"kernel(w=2/3,k=3)/(1+c_mean8)|full_sample",lam=12.657 c=2.541 nlam=3 ncush=19,1.0
guidance-policy,guide_mid_next_q,guide_mid,2023Q2,2023-05-09,0,2535.1591424682056,2535.1591424682056,W1,PIT,7,11,2289.589741847164,2343.829139202797,2434.460794015359,2635.857490921052,2726.4891457336144,2780.728543089247,149.29559481604034,2569.4117647058824,,2618.2250461160074,,2420.0,Refinitiv,2023-05-09,2023-05-09,"kernel(w=2/3,k=3)/(1+c_mean8)|PIT",lam=14.461 c=3.245 nlam=2 ncush=6,1.0
guidance-policy,guide_mid_next_q,guide_mid,2023Q2,2023-05-09,0,2420.0530741254584,2420.0530741254584,W1,full_sample,7,11,2192.379821728376,2242.6664615653613,2326.693231876001,2513.4129163749158,2597.4396866855554,2647.7263265225406,138.4155092383787,2569.4117647058824,,2618.2250461160074,,2420.0,Refinitiv,2023-05-09,2023-05-09,"kernel(w=2/3,k=3)/(1+c_mean8)|full_sample",lam=13.710 c=2.541 nlam=3 ncush=19,1.0
guidance-policy,guide_mid_next_q,guide_mid,2023Q3,2023-08-03,0,3308.5391235953957,3308.5391235953957,W1,PIT,7,12,2994.780795528385,3064.0812156402844,3179.879179116274,3437.1990680745175,3552.997031550507,3622.2974516624063,190.75151911755333,3265.3846153846152,,3463.3259232398395,,3220.0,Refinitiv,2023-08-03,2023-08-03,"kernel(w=2/3,k=3)/(1+c_mean8)|PIT",lam=17.494 c=3.281 nlam=2 ncush=7,1.0
guidance-policy,guide_mid_next_q,guide_mid,2023Q3,2023-08-03,0,3283.976745074929,3283.976745074929,W1,full_sample,7,12,2978.447037147297,3045.929985716327,3158.691033932639,3409.262456217219,3522.0235044335313,3589.506453002561,185.7488732866113,3265.3846153846152,,3463.3259232398395,,3220.0,Refinitiv,2023-08-03,2023-08-03,"kernel(w=2/3,k=3)/(1+c_mean8)|full_sample",lam=17.239 c=2.541 nlam=3 ncush=19,1.0
guidance-policy,guide_mid_next_q,guide_mid,2023Q4,2023-11-01,0,2179.519228427072,2179.519228427072,W1,PIT,7,13,1986.5214559413837,2029.1492542099365,2100.3784360676113,2258.6600207865326,2329.889202644207,2372.5170009127605,117.3343143264275,2178.0918727915196,,2233.353277056883,,2180.0,LSEG,2023-11-01,2023-11-01,"kernel(w=2/3,k=3)/(1+c_mean8)|PIT",lam=12.097 c=3.046 nlam=2 ncush=8,1.0
guidance-policy,guide_mid_next_q,guide_mid,2023Q4,2023-11-01,0,2178.1842223602202,2178.1842223602202,W1,full_sample,7,13,1989.2248382375421,2030.9606697116014,2100.6994141646574,2255.669030555783,2325.407775008839,2367.143606482898,114.87914853122241,2178.0918727915196,,2233.353277056883,,2180.0,LSEG,2023-11-01,2023-11-01,"kernel(w=2/3,k=3)/(1+c_mean8)|full_sample",lam=12.030 c=2.541 nlam=3 ncush=19,1.0
guidance-policy,guide_mid_next_q,guide_mid,2024Q1,2024-02-13,0,2100.219168527828,2100.219168527828,W1,PIT,7,14,1931.6858984270316,1968.9101738519153,2031.110305959494,2169.328031096162,2231.528163203741,2268.7524386286245,102.46095296221065,2085.733695652174,,2115.8337364979852,,2030.0,LSEG,2024-02-13,2024-02-13,"kernel(w=2/3,k=3)/(1+c_mean8)|PIT",lam=13.112 c=2.597 nlam=3 ncush=8,1.0
guidance-policy,guide_mid_next_q,guide_mid,2024Q1,2024-02-13,0,2100.219168527828,2100.219168527828,W2,PIT,7,14,1931.6858984270316,1968.9101738519153,2031.110305959494,2169.328031096162,2231.528163203741,2268.7524386286245,102.46095296221065,2085.733695652174,,2115.8337364979852,,2030.0,LSEG,2024-02-13,2024-02-13,"kernel(w=2/3,k=3)/(1+c_mean8)|PIT",lam=13.112 c=2.597 nlam=3 ncush=8,1.0
guidance-policy,guide_mid_next_q,guide_mid,2024Q1,2024-02-13,0,2028.490513549703,2028.490513549703,W1,full_sample,7,14,1862.2197258772792,1898.9442823504844,1960.3094060003762,2096.6716210990303,2158.0367447489216,2194.7613012221273,101.08546131280131,2085.733695652174,,2115.8337364979852,,2030.0,LSEG,2024-02-13,2024-02-13,"kernel(w=2/3,k=3)/(1+c_mean8)|full_sample",lam=12.657 c=2.541 nlam=3 ncush=19,1.0
