method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
guidance-policy,print_kernel_policy,revenue_musd,2023Q1,2023-02-14,0,1883.8830665818462,1883.8830665818462,W1,PIT,5,10,1701.0250016601674,1741.413222740995,1808.9001693139905,1958.8659638497018,2026.3529104226973,2066.741131503525,111.16980983930044,,,,,,,,2023-02-14,"kernel(w=2/3,k=3)|PIT",lam=13.267 base=14200,1.0
guidance-policy,print_kernel_policy,revenue_musd,2023Q1,2023-02-14,0,1797.351980687517,1797.351980687517,W1,full_sample,5,10,1622.8930076218512,1661.4261047358793,1725.81322049971,1868.890740875324,1933.2778566391546,1971.8109537531827,106.06352456358276,,,,,,,,2023-02-14,"kernel(w=2/3,k=3)|full_sample",lam=12.657 base=14200,1.0
guidance-policy,print_kernel_policy,revenue_musd,2023Q2,2023-05-09,0,2617.4205174430545,2617.4205174430545,W1,PIT,5,11,2380.4174415957636,2432.7647779205604,2520.2348817094876,2714.6061531766213,2802.0762569655485,2854.4235932903453,144.08763914546353,,,,,,,,2023-05-09,"kernel(w=2/3,k=3)|PIT",lam=14.461 base=18100,1.0
guidance-policy,print_kernel_policy,revenue_musd,2023Q2,2023-05-09,0,2481.5461958924006,2481.5461958924006,W1,full_sample,5,11,2256.846313942141,2306.476219590164,2389.4056158660715,2573.68677591873,2656.6161721946373,2706.2460778426603,136.60782836142843,,,,,,,,2023-05-09,"kernel(w=2/3,k=3)|full_sample",lam=13.710 base=18100,1.0
guidance-policy,print_kernel_policy,revenue_musd,2023Q3,2023-08-03,0,3417.101394036388,3417.101394036388,W1,PIT,5,12,3111.38708247607,3178.910804813172,3291.739984208175,3542.4628038646006,3655.2919832596035,3722.8157055967054,185.86110432629818,,,,,,,,2023-08-03,"kernel(w=2/3,k=3)|PIT",lam=17.494 base=19533,1.0
guidance-policy,print_kernel_policy,revenue_musd,2023Q3,2023-08-03,0,3367.4220149426883,3367.4220149426883,W1,full_sample,5,12,3066.152317523725,3132.6943491782918,3243.8831664857726,3490.960863399604,3602.149680707085,3668.6917123616518,183.1589707938504,,,,,,,,2023-08-03,"kernel(w=2/3,k=3)|full_sample",lam=17.239 base=19533,1.0
guidance-policy,print_kernel_policy,revenue_musd,2023Q4,2023-11-01,0,2245.9180386382905,2245.9180386382905,W1,PIT,5,13,2059.7087546385833,2100.837166080015,2169.5609382913553,2322.2751389852256,2390.998911196566,2432.1273226379976,113.20720637302084,,,,,,,,2023-11-01,"kernel(w=2/3,k=3)|PIT",lam=12.097 base=18567,1.0
guidance-policy,print_kernel_policy,revenue_musd,2023Q4,2023-11-01,0,2233.5314992643985,2233.5314992643985,W1,full_sample,5,13,2048.3491844542905,2089.2507671873987,2157.595518572612,2309.467479956185,2377.8122313413983,2418.7138140745064,112.58285343804111,,,,,,,,2023-11-01,"kernel(w=2/3,k=3)|full_sample",lam=12.030 base=18567,1.0
guidance-policy,print_kernel_policy,revenue_musd,2024Q1,2024-02-13,0,2154.7595490216745,2154.7595490216745,W1,PIT,5,14,1986.9221614856522,2023.9927359573708,2085.936040511349,2223.583057532,2285.5263620859782,2322.596936557697,102.03788640274804,,,,,,,,2024-02-13,"kernel(w=2/3,k=3)|PIT",lam=13.112 base=16433,1.0
guidance-policy,print_kernel_policy,revenue_musd,2024Q1,2024-02-13,0,2154.7595490216745,2154.7595490216745,W2,PIT,5,14,1986.9221614856522,2023.9927359573708,2085.936040511349,2223.583057532,2285.5263620859782,2322.596936557697,102.03788640274804,,,,,,,,2024-02-13,"kernel(w=2/3,k=3)|PIT",lam=13.112 base=16433,1.0
guidance-policy,print_kernel_policy,revenue_musd,2024Q1,2024-02-13,0,2080.0340997158355,2080.0340997158355,W1,full_sample,5,14,1918.0171872298677,1953.8021819093156,2013.5973389976582,2146.4708604340126,2206.2660175223555,2242.051012201803,98.49928883109537,,,,,,,,2024-02-13,"kernel(w=2/3,k=3)|full_sample",lam=12.657 base=16433,1.0
