method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
guidance-policy,print_from_guide,revenue_musd,2023Q1,2023-02-14,0,1847.904064752549,1847.904064752549,W1,PIT,1,10,1780.7230936052142,1795.5614870678455,1820.355791942963,1875.452337562135,1900.2466424372524,1915.0850358998837,40.843130383489644,,,,,,,,2023-02-14,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2023Q1,2023-02-14,0,1830.3565351634522,1830.3565351634522,W1,full_sample,1,10,1783.632950782887,1793.9528809235633,1811.197031703244,1849.5160386236605,1866.7601894033412,1877.0801195440174,28.405922335570665,,,,,,,,2023-02-14,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2023Q2,2023-05-09,0,2477.8757028039763,2477.8757028039763,W1,PIT,1,11,2392.6166365358354,2411.447974486707,2442.914314527908,2512.8370910800445,2544.3034311212455,2563.1347690721173,51.83383182013464,,,,,,,,2023-05-09,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2023Q2,2023-05-09,0,2460.983576690356,2460.983576690356,W1,full_sample,1,11,2398.161950632453,2412.037486956052,2435.2228997690677,2486.7442536116446,2509.9296664246604,2523.805202748259,38.19283675370846,,,,,,,,2023-05-09,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2023Q3,2023-08-03,0,3459.922715854757,3459.922715854757,W1,PIT,1,12,3351.107391456628,3375.1416465530933,3415.3018330186183,3504.5435986908956,3544.7037851564205,3568.7380402528856,66.15501988453784,,,,,,,,2023-08-03,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2023Q3,2023-08-03,0,3435.1229091302885,3435.1229091302885,W1,full_sample,1,12,3347.4343894244657,3366.802325542822,3399.1652975943234,3471.0805206662535,3503.443492717755,3522.811428836111,53.31083463538472,,,,,,,,2023-08-03,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2023Q4,2023-11-01,0,2215.4995102094813,2215.4995102094813,W1,PIT,1,13,2146.600414964604,2161.8182938818454,2187.2467023127797,2243.752318106183,2269.180726537117,2284.3986054543584,41.88767566666264,,,,,,,,2023-11-01,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2023Q4,2023-11-01,0,2204.6311207851104,2204.6311207851104,W1,full_sample,1,13,2148.353414108239,2160.783582064796,2181.5538477097894,2227.7083938604314,2248.4786595054247,2260.9088274619817,34.21441625853049,,,,,,,,2023-11-01,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2024Q1,2024-02-13,0,2103.236243953891,2103.236243953891,W1,PIT,1,14,2062.6558057439493,2071.618887086202,2086.5958030158117,2119.8766848919704,2134.85360082158,2143.816682163833,24.671154651707624,,,,,,,,2024-02-13,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2024Q1,2024-02-13,0,2103.236243953891,2103.236243953891,W2,PIT,1,14,2062.6558057439493,2071.618887086202,2086.5958030158117,2119.8766848919704,2134.85360082158,2143.816682163833,24.671154651707624,,,,,,,,2024-02-13,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2024Q1,2024-02-13,0,2102.0901384230124,2102.0901384230124,W1,full_sample,1,14,2048.4299994985536,2060.282020108294,2080.0862268860783,2124.0940499599465,2143.8982567377307,2155.750277347471,32.62304806045931,,,,,,,,2024-02-13,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2024Q1,2024-02-13,0,2102.0901384230124,2102.0901384230124,W2,full_sample,1,14,2048.4299994985536,2060.282020108294,2080.0862268860783,2124.0940499599465,2143.8982567377307,2155.750277347471,32.62304806045931,,,,,,,,2024-02-13,guide_mid*(1+c_mean8)|full_sample,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
guidance-policy,print_from_guide,revenue_musd,2024Q2,2024-05-08,0,2780.5746964338723,2780.5746964338723,W1,PIT,1,15,2726.3210389897004,2738.3041512042873,2758.327406305957,2802.8219865617875,2822.8452416634573,2834.8283538780443,32.983881699385144,,,,,,,,2024-05-08,guide_mid*(1+c_mean8)|PIT,identical in form to baselines/guide_cushion except c is the trailing-8 MEAN not the median,1.0
