method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
guidance-policy,q4_2026_print,revenue_musd,2026Q4,2026-09-11,1,3167.8453939297565,3167.8453939297565,LIVE,PIT,7,25,3009.93643450623,3044.8140974989587,3103.0931431214603,3232.5976447380526,3290.876690360554,3325.754353353283,96.00183070161128,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv25900|fee_none,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
guidance-policy,q4_2026_print,revenue_musd,2026Q4,2026-09-11,1,3207.4434613538783,3207.4434613538783,LIVE,PIT,7,25,3047.560639937558,3082.874273717696,3141.8818074104784,3273.0051152972783,3332.012648990061,3367.3262827701988,97.20185358538141,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv25900|fee_half_weight,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
guidance-policy,q4_2026_print,revenue_musd,2026Q4,2026-09-11,1,3247.041528778,3247.041528778,LIVE,PIT,7,25,3085.1848453688854,3120.9344499364324,3180.6704716994964,3313.412585856504,3373.148607619568,3408.898212187115,98.40187646915156,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv25900|fee_full_weight,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
guidance-policy,q4_2026_print,revenue_musd,2026Q4,2026-09-11,1,3190.701999936591,3190.701999936591,LIVE,PIT,7,25,3031.6536973881102,3066.783009341673,3125.4825493439816,3255.9214505292007,3314.6209905315095,3349.750302485072,96.6945021383191,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv26185|fee_none,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
guidance-policy,q4_2026_print,revenue_musd,2026Q4,2026-09-11,1,3230.5857749357983,3230.5857749357983,LIVE,PIT,7,25,3069.5493686054615,3105.1177969584433,3164.5510812107814,3296.6204686608153,3356.0537529131534,3391.622181266135,97.90318341504808,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv26185|fee_half_weight,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
guidance-policy,q4_2026_print,revenue_musd,2026Q4,2026-09-11,1,3270.4695499350055,3270.4695499350055,LIVE,PIT,7,25,3107.4450398228123,3143.452584575214,3203.619613077581,3337.31948679243,3397.486515294797,3433.4940600471987,99.11186469177706,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv26185|fee_full_weight,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
guidance-policy,q4_2026_print,revenue_musd,2026Q4,2026-09-11,1,3199.9248409568936,3199.9248409568936,LIVE,PIT,7,25,3040.4168034632553,3075.6476579799614,3134.51687115307,3265.332810760717,3324.202023933826,3359.432878450532,96.97400113909596,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv26300|fee_none,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
guidance-policy,q4_2026_print,revenue_musd,2026Q4,2026-09-11,1,3239.9239014688546,3239.9239014688546,LIVE,PIT,7,25,3078.422013506546,3114.0932537047106,3173.6983320424833,3306.149470895226,3365.7545492329987,3401.425789431163,98.18617615333466,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv26300|fee_half_weight,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
guidance-policy,q4_2026_print,revenue_musd,2026Q4,2026-09-11,1,3279.9229619808157,3279.9229619808157,LIVE,PIT,7,25,3116.4272235498365,3152.5388494294602,3212.8797929318966,3346.9661310297347,3407.307074532171,3443.418700411795,99.39835116757335,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv26300|fee_full_weight,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
guidance-policy,q4_2026_print,revenue_musd,2026Q4,2026-09-11,1,3223.9844262272463,3223.9844262272463,LIVE,PIT,7,25,3063.2770801810243,3098.772828340713,3158.0846671767777,3289.884185277715,3349.1960241137795,3384.6917722734684,97.70312896720947,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv26600|fee_none,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
guidance-policy,q4_2026_print,revenue_musd,2026Q4,2026-09-11,1,3264.284231555087,3264.284231555087,LIVE,PIT,7,25,3101.568043683287,3137.507488694972,3197.5607255164873,3331.0077375936867,3391.060974415202,3427.0004194268868,98.9244180792996,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv26600|fee_half_weight,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
guidance-policy,q4_2026_print,revenue_musd,2026Q4,2026-09-11,1,3304.584036882927,3304.584036882927,LIVE,PIT,7,25,3139.8590071855497,3176.2421490492306,3237.036783856197,3372.1312899096574,3432.9259247166237,3469.3090665803047,100.1457071913897,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv26600|fee_full_weight,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
