scenario,quarter,cell,diff
base,3Q26,interest_income,0.0
base,3Q26,net_income,0.0
base,3Q26,eps,0.0
base,4Q26,interest_income,0.0
base,4Q26,net_income,0.0
base,4Q26,eps,0.0
breaker_cost_bull,3Q26,interest_income,0.0
breaker_cost_bull,3Q26,net_income,0.0
breaker_cost_bull,3Q26,eps,0.0
breaker_cost_bull,4Q26,interest_income,0.0
breaker_cost_bull,4Q26,net_income,0.0
breaker_cost_bull,4Q26,eps,0.0
short_costs_at_budget,3Q26,interest_income,0.0
short_costs_at_budget,3Q26,net_income,2.2737367544323206e-13
short_costs_at_budget,3Q26,eps,0.0
short_costs_at_budget,4Q26,interest_income,0.0
short_costs_at_budget,4Q26,net_income,0.0
short_costs_at_budget,4Q26,eps,5.551115123125783e-17
