scenario,period,ga_musd,revenue_musd,ga_pct_rev
base,3Q26,265.38907060231355,4804.0355,5.524294535340414
base,4Q26,276.4109293976865,3178.1078,8.697342783579792
base,1Q27,249.22724400000004,3053.1293,8.163009801124375
base,2Q27,271.58040000000005,4028.9807,6.740672647054378
base,3Q27,256.53902400000004,5280.7325,4.858019678141243
base,4Q27,267.19333200000005,3465.7641,7.709507176209715
base,FY26,995.8,14268.1433,6.9791841801869205
base,FY27,1044.5400000000002,15828.6066,6.599064759117838
short,3Q26,265.38907060231355,4680.899996629618,5.669616330051941
short,4Q26,276.4109293976865,2965.8676775559734,9.31973234980811
short,1Q27,249.22724400000004,2835.534611159138,8.78942697504646
short,2Q27,271.58040000000005,3762.971581763706,7.217179138852551
short,3Q27,256.53902400000004,4988.174247627799,5.1429443171918265
short,4Q27,267.19333200000005,3326.831082952,8.03146674230635
short,FY26,995.8,13932.76767418559,7.147180110129894
short,FY27,1044.5400000000002,14913.511523502642,7.003984261881441
breaker,3Q26,257.8065257279617,4804.0355,5.366457548616402
breaker,4Q26,268.5134742720383,3178.1078,8.448847275477512
breaker,1Q27,240.67572456000002,3053.1293,7.882919487229054
breaker,2Q27,262.26189600000004,4028.9807,6.509385761018911
breaker,3Q27,247.73662176000002,5280.7325,4.691330639452008
breaker,4Q27,258.02535768,3465.7641,7.4449775066918145
breaker,FY26,980.3199999999999,14268.1433,6.870690736614622
breaker,FY27,1008.6996000000001,15828.6066,6.3726367423902
