check,scenario,committed_scenario,quarter,recompute_musd,committed_musd,abs_diff
vs_40_lines_quarterly,base,base,3Q26,265.38907060231355,265.38907060231355,0.0
vs_40_lines_quarterly,base,base,4Q26,276.4109293976865,276.4109293976865,0.0
vs_40_lines_quarterly,base,base,1Q27,249.22724400000004,249.22724400000004,0.0
vs_40_lines_quarterly,base,base,2Q27,271.58040000000005,271.58040000000005,0.0
vs_40_lines_quarterly,base,base,3Q27,256.53902400000004,256.53902400000004,0.0
vs_40_lines_quarterly,base,base,4Q27,267.19333200000005,267.19333200000005,0.0
vs_40_lines_quarterly,bull,cost_bull,3Q26,257.8065257279617,257.8065257279617,0.0
vs_40_lines_quarterly,bull,cost_bull,4Q26,268.5134742720383,268.5134742720383,0.0
vs_40_lines_quarterly,bull,cost_bull,1Q27,240.67572456000002,240.67572456,2.842170943040401e-14
vs_40_lines_quarterly,bull,cost_bull,2Q27,262.26189600000004,262.26189600000004,0.0
vs_40_lines_quarterly,bull,cost_bull,3Q27,247.73662176000002,247.73662176,2.842170943040401e-14
vs_40_lines_quarterly,bull,cost_bull,4Q27,258.02535768,258.02535768,0.0
vs_40_lines_quarterly,bear,cost_bear,3Q26,272.97161547666536,272.97161547666536,0.0
vs_40_lines_quarterly,bear,cost_bear,4Q26,284.30838452333467,284.30838452333467,0.0
vs_40_lines_quarterly,bear,cost_bear,1Q27,260.3370326400001,260.3370326400001,0.0
vs_40_lines_quarterly,bear,cost_bear,2Q27,283.68662400000005,283.68662400000005,0.0
vs_40_lines_quarterly,bear,cost_bear,3Q27,267.97474944000004,267.97474944000004,0.0
vs_40_lines_quarterly,bear,cost_bear,4Q27,279.1039939200001,279.1039939200001,0.0
short_equals_base,short,short_costs_at_budget,3Q26,265.38907060231355,265.38907060231355,0.0
short_equals_base,short,short_costs_at_budget,4Q26,276.4109293976865,276.4109293976865,0.0
short_equals_base,short,short_costs_at_budget,1Q27,249.22724400000004,249.22724400000004,0.0
short_equals_base,short,short_costs_at_budget,2Q27,271.58040000000005,271.58040000000005,0.0
short_equals_base,short,short_costs_at_budget,3Q27,256.53902400000004,256.53902400000004,0.0
short_equals_base,short,short_costs_at_budget,4Q27,267.19333200000005,267.19333200000005,0.0
vs_40_annual,base,base,FY26,995.8,995.8,0.0
vs_40_annual,base,base,FY27,1044.5400000000002,1044.5400000000002,0.0
vs_40_annual,bull,cost_bull,FY26,980.3199999999999,980.32,1.1368683772161603e-13
vs_40_annual,bull,cost_bull,FY27,1008.6996000000001,1008.6996,1.1368683772161603e-13
vs_40_annual,bear,cost_bear,FY26,1011.2800000000001,1011.28,1.1368683772161603e-13
vs_40_annual,bear,cost_bear,FY27,1091.1024000000002,1091.1024000000002,0.0
