check,passed
source hash data/processed/github_altdata/samples/dolthub-post-no-preference-earnings-consensus-vintages/sales_estimate_ABNB_BKNG_EXPE.csv,True
source hash data/processed/forecast_methods/L0_dolthub_v2/dolthub_weekly_panel.csv,True
source hash data/processed/forecast_methods/harness/calendar.csv,True
source hash data/processed/forecast_methods/L0_dolthub_v2/t0_provenance_attempt2.json,True
source hash data/processed/forecast_methods/L0_dolthub_v2/t0_provenance.json,True
source hash docs/revenue-forecast-strategy/WORKBOARD_GBV_DECISION_0915_v1.md,True
source hash docs/revenue-forecast-strategy/05_backtests/GD_CALENDAR_ORIGIN_ADDENDUM_v1.md,True
source hash C:\Users\wille\Desktop\Citadel - ABNB\.worktrees\submission-readiness-v1\data\processed\forecast_methods\gbv_decision_0915_v1\horizon_v1\results_v2\predictions.csv,True
84 preserved origin arms,True
availability 0,True
last company print 0,True
row-specific proof remains unavailable 0,True
availability 1,True
last company print 1,True
fixed calendar rule 1,True
no intervening company print 1,True
no intervening initial guide 1,True
row-specific proof remains unavailable 1,True
availability 2,True
last company print 2,True
row-specific proof remains unavailable 2,True
availability 3,True
last company print 3,True
fixed calendar rule 3,True
no intervening company print 3,True
no intervening initial guide 3,True
row-specific proof remains unavailable 3,True
availability 4,True
last company print 4,True
row-specific proof remains unavailable 4,True
availability 5,True
last company print 5,True
fixed calendar rule 5,True
no intervening company print 5,True
no intervening initial guide 5,True
row-specific proof remains unavailable 5,True
availability 6,True
last company print 6,True
row-specific proof remains unavailable 6,True
availability 7,True
last company print 7,True
fixed calendar rule 7,True
no intervening company print 7,True
no intervening initial guide 7,True
selected snapshot 7,True
selected revenue 7,True
snapshot age 7,True
explicit inherited vendor 7,True
row-specific proof remains unavailable 7,True
availability 8,True
last company print 8,True
row-specific proof remains unavailable 8,True
availability 9,True
last company print 9,True
fixed calendar rule 9,True
no intervening company print 9,True
no intervening initial guide 9,True
row-specific proof remains unavailable 9,True
availability 10,True
last company print 10,True
row-specific proof remains unavailable 10,True
availability 11,True
last company print 11,True
fixed calendar rule 11,True
no intervening company print 11,True
no intervening initial guide 11,True
row-specific proof remains unavailable 11,True
availability 12,True
last company print 12,True
row-specific proof remains unavailable 12,True
availability 13,True
last company print 13,True
fixed calendar rule 13,True
no intervening company print 13,True
no intervening initial guide 13,True
selected snapshot 13,True
selected revenue 13,True
snapshot age 13,True
explicit inherited vendor 13,True
row-specific proof remains unavailable 13,True
availability 14,True
last company print 14,True
row-specific proof remains unavailable 14,True
availability 15,True
last company print 15,True
fixed calendar rule 15,True
no intervening company print 15,True
no intervening initial guide 15,True
row-specific proof remains unavailable 15,True
availability 16,True
last company print 16,True
row-specific proof remains unavailable 16,True
availability 17,True
last company print 17,True
fixed calendar rule 17,True
no intervening company print 17,True
no intervening initial guide 17,True
row-specific proof remains unavailable 17,True
availability 18,True
last company print 18,True
row-specific proof remains unavailable 18,True
availability 19,True
last company print 19,True
fixed calendar rule 19,True
no intervening company print 19,True
no intervening initial guide 19,True
selected snapshot 19,True
selected revenue 19,True
snapshot age 19,True
explicit inherited vendor 19,True
row-specific proof remains unavailable 19,True
availability 20,True
last company print 20,True
row-specific proof remains unavailable 20,True
availability 21,True
last company print 21,True
fixed calendar rule 21,True
no intervening company print 21,True
no intervening initial guide 21,True
row-specific proof remains unavailable 21,True
availability 22,True
last company print 22,True
row-specific proof remains unavailable 22,True
availability 23,True
last company print 23,True
fixed calendar rule 23,True
no intervening company print 23,True
no intervening initial guide 23,True
row-specific proof remains unavailable 23,True
availability 24,True
last company print 24,True
row-specific proof remains unavailable 24,True
availability 25,True
last company print 25,True
fixed calendar rule 25,True
no intervening company print 25,True
no intervening initial guide 25,True
selected snapshot 25,True
selected revenue 25,True
snapshot age 25,True
explicit inherited vendor 25,True
row-specific proof remains unavailable 25,True
availability 26,True
last company print 26,True
row-specific proof remains unavailable 26,True
availability 27,True
last company print 27,True
fixed calendar rule 27,True
no intervening company print 27,True
no intervening initial guide 27,True
row-specific proof remains unavailable 27,True
availability 28,True
last company print 28,True
row-specific proof remains unavailable 28,True
availability 29,True
last company print 29,True
fixed calendar rule 29,True
no intervening company print 29,True
no intervening initial guide 29,True
row-specific proof remains unavailable 29,True
availability 30,True
last company print 30,True
row-specific proof remains unavailable 30,True
availability 31,True
last company print 31,True
fixed calendar rule 31,True
no intervening company print 31,True
no intervening initial guide 31,True
selected snapshot 31,True
selected revenue 31,True
snapshot age 31,True
explicit inherited vendor 31,True
row-specific proof remains unavailable 31,True
availability 32,True
last company print 32,True
row-specific proof remains unavailable 32,True
availability 33,True
last company print 33,True
fixed calendar rule 33,True
no intervening company print 33,True
no intervening initial guide 33,True
row-specific proof remains unavailable 33,True
availability 34,True
last company print 34,True
row-specific proof remains unavailable 34,True
availability 35,True
last company print 35,True
fixed calendar rule 35,True
no intervening company print 35,True
no intervening initial guide 35,True
row-specific proof remains unavailable 35,True
availability 36,True
last company print 36,True
row-specific proof remains unavailable 36,True
availability 37,True
last company print 37,True
fixed calendar rule 37,True
no intervening company print 37,True
no intervening initial guide 37,True
selected snapshot 37,True
selected revenue 37,True
snapshot age 37,True
explicit inherited vendor 37,True
row-specific proof remains unavailable 37,True
availability 38,True
last company print 38,True
row-specific proof remains unavailable 38,True
availability 39,True
last company print 39,True
fixed calendar rule 39,True
no intervening company print 39,True
no intervening initial guide 39,True
row-specific proof remains unavailable 39,True
availability 40,True
last company print 40,True
row-specific proof remains unavailable 40,True
availability 41,True
last company print 41,True
fixed calendar rule 41,True
no intervening company print 41,True
no intervening initial guide 41,True
row-specific proof remains unavailable 41,True
availability 42,True
last company print 42,True
row-specific proof remains unavailable 42,True
availability 43,True
last company print 43,True
fixed calendar rule 43,True
no intervening company print 43,True
