who,price,fy27_growth_pct,fy27_revenue_musd,fy27_ebitda_musd,fy27_nights_growth_pct,ev_fy27_ebitda_x,p_above_12m,expected_5nov_reaction_pct,source
"Market: current price (joint solve, proportional mapping)",170.19,11.509112275941206,15869.199640599389,5744.65026989698,8.91476263009241,16.016715670604267,0.462,,A
"Market: current price (joint solve, chained mapping)",170.19,10.395696415793566,15710.746055891723,5687.290072232804,7.82725129006423,16.17825516746979,0.462,,A
Market: current price (fixed 16.5x),170.19,8.243014909408375,15404.39142809308,5576.389696969696,5.724653659245149,16.5,0.462,,A fallback
Options: 12M p25 (joint solve),125.5,1.6137058122872698,14460.954363675213,5234.865479650428,-0.7504192023136125,12.479881336771736,0.75,,B + A
Options: 12M p50 (joint solve),163.8,10.171732156351528,15678.873023518818,5675.752034513813,7.60849774018042,15.539015704648358,0.5,,B + A
Options: 12M p75 (joint solve),213.9,20.110091405186893,17093.231041449104,6187.749637004576,17.315633026495767,19.086955182170804,0.25,,B + A
Sell-side: p25 target $165 (joint solve),165.0,10.424639114427112,15714.864979030637,5688.781122409091,7.855520613415545,15.629358572042838,0.493,,D + A
Sell-side: mean target $179.5 (joint solve),179.5,13.417959358081578,16140.853452665442,5842.988949864891,10.77919884167291,16.698388587959954,0.409,,D + A
Sell-side: p75 target $197.5 (joint solve),197.5,16.985983595338542,16648.62979298292,6026.803985059818,14.26421011050627,17.972129219484636,0.318,,D + A
Sell-side: top target $220 (joint solve),220.0,21.243975937967242,17254.59758497921,6246.164325762474,18.42313681894008,19.491482076104084,0.228,,D + A
Management literal,162.18994299344064,9.8311,15630.396629233,5548.8,7.275790666328064,15.721308385071376,0.51,,management note / WS29 / A
Management delivered,175.49354278172586,12.6021,16024.746035363,5801.0,9.98232111113282,16.406937603980406,0.432,5.2053,management note / WS29 / A
Management ambition,202.67314181936564,17.9838,16790.632068913998,6212.5,15.238811509835703,17.932050811454534,0.297,,management note / WS29 / A
"Street FY27 $15,745m",166.0077786462167,10.6364,15745.001312291999,5699.7,8.062354710788998,15.704974621785599,0.487,5.2053,management note / WS29 / A
"Team base (WS29/30) $15,804m",167.978280105161,11.0488,15803.691205864,5757.9,8.465159891387142,15.750539818819556,0.475,-6.1093,management note / WS29 / A
"Team bear (WS29) $14,318m",121.30785789770984,0.6115,14318.327417845001,4375.0,-1.729307886151854,14.360637980556062,0.761,,management note / WS29 / A
"Team bull (WS29) $16,910m",207.06003681933927,18.8209,16909.762306327,6977.4,16.056435701588168,16.341594574074232,0.278,,management note / WS29 / A
