snapshot_date,base,quote,rate_per_usd
2024-03-03,usd,$myro,7.18335536
2024-03-03,usd,$wen,5617.12926914
2024-03-03,usd,00,13.46935631
2024-03-03,usd,1000sats,1569.60460217
2024-03-03,usd,1inch,1.75240429
2024-03-03,usd,aave,0.0085665094
2024-03-03,usd,abt,0.57950327
2024-03-03,usd,ach,34.01329483
2024-03-03,usd,acs,310.12493766
2024-03-03,usd,ada,1.36688376
2024-03-03,usd,aed,3.6725
2024-03-03,usd,aergo,5.61286132
2024-03-03,usd,aero,1.970472
2024-03-03,usd,afn,73.41177721
2024-03-03,usd,agix,1.06411072
2024-03-03,usd,agld,0.59751219
2024-03-03,usd,ai,0.55707549
2024-03-03,usd,aioz,3.38041944
2024-03-03,usd,akt,0.21254481
2024-03-03,usd,alcx,0.030548632
2024-03-03,usd,aleph,3.16200055
2024-03-03,usd,alex,2.63170412
2024-03-03,usd,algo,4.12349756
2024-03-03,usd,alice,0.49323468
2024-03-03,usd,all,95.89783282
2024-03-03,usd,alph,0.26565544
2024-03-03,usd,alt,1.99009351
2024-03-03,usd,alusd,1.02027036
2024-03-03,usd,amd,402.13356331
2024-03-03,usd,amp,190.87712506
2024-03-03,usd,ang,1.78730432
2024-03-03,usd,ankr,24.92896186
2024-03-03,usd,ant,0.11548005
2024-03-03,usd,aoa,828.51344174
2024-03-03,usd,ape,0.43501928
2024-03-03,usd,apex,0.43432113
2024-03-03,usd,api3,0.25452014
2024-03-03,usd,apt,0.081477439
2024-03-03,usd,ar,0.036977751
2024-03-03,usd,arb,0.47937924
2024-03-03,usd,ark,0.98991974
2024-03-03,usd,arkm,0.41096074
2024-03-03,usd,arpa,13.46029824
2024-03-03,usd,ars,843.00134331
2024-03-03,usd,asm,27.73377231
2024-03-03,usd,ast,7.6746409
2024-03-03,usd,astr,5.88398636
2024-03-03,usd,ata,5.94512683
2024-03-03,usd,atom,0.082434409
2024-03-03,usd,ats,12.69134946
2024-03-03,usd,auction,0.033007031
2024-03-03,usd,aud,1.53245427
2024-03-03,usd,audio,3.1902237
2024-03-03,usd,aurora,3.20760633
2024-03-03,usd,avax,0.022690485
2024-03-03,usd,avt,0.4643959
2024-03-03,usd,awg,1.79
2024-03-03,usd,axl,0.51061158
2024-03-03,usd,axs,0.094260323
2024-03-03,usd,azero,0.76166279
2024-03-03,usd,azm,8500.05968921
2024-03-03,usd,azn,1.70001194
2024-03-03,usd,babydoge,485144735.8001619
2024-03-03,usd,badger,0.17107234
2024-03-03,usd,bake,2.12725946
2024-03-03,usd,bal,0.19080518
2024-03-03,usd,bam,1.80389396
2024-03-03,usd,band,0.40566403
2024-03-03,usd,bat,3.14219515
2024-03-03,usd,bbd,2
2024-03-03,usd,bch,0.0020081884
2024-03-03,usd,bdt,109.62504375
2024-03-03,usd,bdx,24.51235409
2024-03-03,usd,beam,28.53418262
2024-03-03,usd,bef,37.20614871
2024-03-03,usd,bgb,1.09008386
2024-03-03,usd,bgn,1.80389396
2024-03-03,usd,bhd,0.376
2024-03-03,usd,bico,1.85758362
2024-03-03,usd,bif,2857.53417845
2024-03-03,usd,bigtime,1.97311378
2024-03-03,usd,bit,1.10290189
2024-03-03,usd,bld,5.43453946
2024-03-03,usd,blur,1.34368042
2024-03-03,usd,blz,2.6783706
2024-03-03,usd,bmd,1
2024-03-03,usd,bnb,0.0024365204
2024-03-03,usd,bnd,1.34430837
2024-03-03,usd,bnt,1.09254713
2024-03-03,usd,bob,6.92511409
2024-03-03,usd,boba,2.77030636
2024-03-03,usd,bond,0.23556296
2024-03-03,usd,bonk,41032.11044771
2024-03-03,usd,bora,5.05465776
2024-03-03,usd,borg,3.81557085
2024-03-03,usd,brl,4.95516562
2024-03-03,usd,bsd,1
2024-03-03,usd,bsv,0.0083016076
2024-03-03,usd,bsw,7.0908134
2024-03-03,usd,btc,1.6168e-05
2024-03-03,usd,btc.b,1.60861e-05
2024-03-03,usd,btcb,1.6168122e-05
2024-03-03,usd,btg,0.024517787
2024-03-03,usd,btn,82.83994338
2024-03-03,usd,btrst,1.11382657
2024-03-03,usd,btt,660805.79051762
2024-03-03,usd,busd,0.99955096
2024-03-03,usd,bwp,13.74837801
2024-03-03,usd,byn,3.27500001
2024-03-03,usd,byr,32750.00013381
2024-03-03,usd,bzd,2.01519678
2024-03-03,usd,c98,2.38962076
2024-03-03,usd,cad,1.35662484
2024-03-03,usd,cake,0.30085725
2024-03-03,usd,canto,5.79320228
2024-03-03,usd,cbeth,0.00027613516
2024-03-03,usd,cdai,43.87220252
2024-03-03,usd,cdf,2772.46099222
2024-03-03,usd,cdt,3.44666479
2024-03-03,usd,celo,0.8521538
2024-03-03,usd,celr,33.50429106
2024-03-03,usd,ceth,0.014552335
2024-03-03,usd,cfg,1.42333376
2024-03-03,usd,cfx,3.52049502
2024-03-03,usd,cgld,0.81829368
2024-03-03,usd,cheel,0.055789383
2024-03-03,usd,chf,0.88398189
2024-03-03,usd,chr,2.46239784
2024-03-03,usd,chz,6.2771277
2024-03-03,usd,ckb,64.50796734
2024-03-03,usd,clp,968.97778756
2024-03-03,usd,clv,13.55143093
2024-03-03,usd,cnh,7.2107311
2024-03-03,usd,cny,7.19587902
2024-03-03,usd,comai,0.42936784
2024-03-03,usd,comp,0.010939261
2024-03-03,usd,cop,3938.2357413
2024-03-03,usd,core,1.30515973
2024-03-03,usd,corgiai,239.41880769
2024-03-03,usd,coti,4.52326858
2024-03-03,usd,coval,68.52264114
2024-03-03,usd,cqt,2.59131269
2024-03-03,usd,crc,514.39838621
2024-03-03,usd,cro,7.0613301
2024-03-03,usd,crpt,19.70983608
2024-03-03,usd,crv,1.45399474
2024-03-03,usd,cspr,22.18776347
2024-03-03,usd,ctc,1.65203878
2024-03-03,usd,ctsi,2.43853113
2024-03-03,usd,ctx,0.47998713
2024-03-03,usd,cuc,1
2024-03-03,usd,cup,23.89439885
2024-03-03,usd,cvc,7.55870977
2024-03-03,usd,cve,101.70382223
2024-03-03,usd,cvx,0.1975648
2024-03-03,usd,cwbtc,0.00080287787
2024-03-03,usd,cyp,0.53980777
2024-03-03,usd,czk,23.39405447
2024-03-03,usd,dag,14.8732392
2024-03-03,usd,dai,1.00090425
2024-03-03,usd,dao,0.91708709
2024-03-03,usd,dar,4.58019759
2024-03-03,usd,dash,0.025842368
2024-03-03,usd,dcr,0.04067059
2024-03-03,usd,ddx,26.79415056
2024-03-03,usd,dem,1.80389396
2024-03-03,usd,deso,0.024762419
2024-03-03,usd,dexe,0.15096567
2024-03-03,usd,dext,1.05639222
2024-03-03,usd,dfi,9.64214
2024-03-03,usd,dia,1.71161575
2024-03-03,usd,dimo,2.02329679
2024-03-03,usd,djf,178.40607923
2024-03-03,usd,dkk,6.87804983
2024-03-03,usd,dnt,25.85977193
2024-03-03,usd,doge,7.12061786
2024-03-03,usd,dop,58.7893698
2024-03-03,usd,dora,6.98368448
2024-03-03,usd,dot,0.10667887
2024-03-03,usd,drep,3.25682709
2024-03-03,usd,dydx,0.26048384
2024-03-03,usd,dym,0.16054941
2024-03-03,usd,dyp,3.27001968
2024-03-03,usd,dzd,135.12256985
2024-03-03,usd,edu,1.09364985
2024-03-03,usd,edum,0.93750628
2024-03-03,usd,eek,14.43115166
2024-03-03,usd,egld,0.014241658
2024-03-03,usd,egp,30.90140836
2024-03-03,usd,ela,0.25833071
2024-03-03,usd,elf,1.44853913
2024-03-03,usd,elg,1.26837561
2024-03-03,usd,enj,1.91379501
2024-03-03,usd,ens,0.044028736
2024-03-03,usd,eos,0.94179056
2024-03-03,usd,ern,15
2024-03-03,usd,esp,153.46052568
2024-03-03,usd,etb,56.79919359
2024-03-03,usd,etc,0.028382241
2024-03-03,usd,eth,0.0002913035
2024-03-03,usd,eth2,0.00029231091
2024-03-03,usd,ethdydx,0.26349107
2024-03-03,usd,ethw,0.26745305
2024-03-03,usd,ethx,0.0002890374
2024-03-03,usd,eur,0.92231633
2024-03-03,usd,euroc,0.92190426
2024-03-03,usd,ever,19.55694201
2024-03-03,usd,farm,0.019232693
2024-03-03,usd,fdusd,1.00207397
2024-03-03,usd,fei,1.04598704
2024-03-03,usd,fet,0.55495227
2024-03-03,usd,fida,2.37178143
2024-03-03,usd,fil,0.1094437
2024-03-03,usd,fim,5.4838439
2024-03-03,usd,fis,1.84661532
2024-03-03,usd,fjd,2.27148958
2024-03-03,usd,fkp,0.79026396
2024-03-03,usd,floki,7348.68564051
2024-03-03,usd,flow,0.84732279
2024-03-03,usd,flr,21.88273833
2024-03-03,usd,flux,0.99122231
2024-03-03,usd,fnsa,0.025992419
2024-03-03,usd,fort,5.04294872
2024-03-03,usd,forth,0.21247838
2024-03-03,usd,fox,11.92106223
2024-03-03,usd,frax,1.00434189
2024-03-03,usd,frf,6.04999856
2024-03-03,usd,frxeth,0.00029496704
2024-03-03,usd,ftm,1.85424925
2024-03-03,usd,ftn,0.57475836
2024-03-03,usd,ftt,0.44879896
2024-03-03,usd,fx,5.88863297
2024-03-03,usd,fxs,0.11019242
2024-03-03,usd,gaj,154.45705022
2024-03-03,usd,gal,0.29028954
2024-03-03,usd,gala,22.03381912
2024-03-03,usd,gas,0.13159503
2024-03-03,usd,gbp,0.79026396
2024-03-03,usd,gel,2.65960002
2024-03-03,usd,gfi,0.77181442
2024-03-03,usd,ggp,0.79026396
2024-03-03,usd,ghc,126526.53619484
2024-03-03,usd,ghs,12.65265362
2024-03-03,usd,ghst,0.9048582
2024-03-03,usd,gip,0.79026396
2024-03-03,usd,glm,1.87165359
2024-03-03,usd,glmr,1.97988878
2024-03-03,usd,gmd,67.92532858
2024-03-03,usd,gmt,2.92923511
2024-03-03,usd,gmx,0.017106136
2024-03-03,usd,gnf,8545.93795082
2024-03-03,usd,gno,0.002513153
2024-03-03,usd,gns,0.1520274
2024-03-03,usd,gnt,2.05818191
2024-03-03,usd,gods,2.50265245
2024-03-03,usd,grd,314.27929107
2024-03-03,usd,grt,3.10744602
2024-03-03,usd,gst,69.92057387
2024-03-03,usd,gt,0.18311957
2024-03-03,usd,gtc,0.49178043
2024-03-03,usd,gtq,7.81878925
2024-03-03,usd,gusd,1.00091958
2024-03-03,usd,gxc,0.36803322
2024-03-03,usd,gyd,209.50309754
2024-03-03,usd,gyen,153.05852624
2024-03-03,usd,hbar,8.70774178
2024-03-03,usd,hbtc,4.8433548e-05
2024-03-03,usd,hft,2.06963742
2024-03-03,usd,high,0.46001985
2024-03-03,usd,hkd,7.82858918
2024-03-03,usd,hnl,24.6955755
2024-03-03,usd,hnt,0.11352431
2024-03-03,usd,honey,4.15776142
2024-03-03,usd,hopr,13.20281232
2024-03-03,usd,hot,248.14056623
2024-03-03,usd,hrk,6.94919242
2024-03-03,usd,ht,0.85257585
2024-03-03,usd,htg,134.68007827
2024-03-03,usd,huf,363.5958823
2024-03-03,usd,icp,0.074272846
2024-03-03,usd,icx,3.20012519
2024-03-03,usd,id,1.50417837
2024-03-03,usd,idex,12.79761092
2024-03-03,usd,idr,15706.09650211
2024-03-03,usd,iep,0.72638314
2024-03-03,usd,ils,3.56431906
2024-03-03,usd,ilv,0.0082705109
2024-03-03,usd,imp,0.79026396
2024-03-03,usd,imx,0.29881055
2024-03-03,usd,index,0.25113505
2024-03-03,usd,inj,0.023836715
2024-03-03,usd,inr,82.83994338
2024-03-03,usd,inv,0.023600358
2024-03-03,usd,iost,82.54292239
2024-03-03,usd,iota,2.99424121
2024-03-03,usd,iotx,15.96638758
2024-03-03,usd,iqd,1310.36961371
2024-03-03,usd,irr,42002.61533136
2024-03-03,usd,isk,138.25354329
2024-03-03,usd,itl,1785.85344951
2024-03-03,usd,jasmy,48.98547106
2024-03-03,usd,jep,0.79026396
2024-03-03,usd,jmd,155.74353286
2024-03-03,usd,jod,0.709
2024-03-03,usd,joe,1.65563973
2024-03-03,usd,jpy,150.1545643
2024-03-03,usd,jst,25.41927695
2024-03-03,usd,jto,0.39460331
2024-03-03,usd,jup,674.94446105
2024-03-03,usd,kas,5.93793976
2024-03-03,usd,kava,1.039691
2024-03-03,usd,kcs,0.078079627
2024-03-03,usd,kda,0.68663563
2024-03-03,usd,keep,6.00415871
2024-03-03,usd,kes,145.62640263
2024-03-03,usd,kgs,89.39980062
2024-03-03,usd,khr,4063.82423524
2024-03-03,usd,klay,3.33572433
2024-03-03,usd,kmf,453.749892
2024-03-03,usd,knc,1.27552557
2024-03-03,usd,kpw,900.0103135
2024-03-03,usd,krl,1.94627222
2024-03-03,usd,krw,1331.43918287
2024-03-03,usd,ksm,0.018598697
2024-03-03,usd,kub,0.33841158
2024-03-03,usd,kuji,0.23358802
2024-03-03,usd,kwd,0.30789075
2024-03-03,usd,kyd,0.82000578
2024-03-03,usd,kzt,450.42425602
2024-03-03,usd,lak,20861.00070633
2024-03-03,usd,lbp,90365.43857887
2024-03-03,usd,lcx,3.8842351
2024-03-03,usd,ldo,0.28651463
2024-03-03,usd,leo,0.20912987
2024-03-03,usd,link,0.046614603
2024-03-03,usd,lit,0.70190291
2024-03-03,usd,lkr,308.34991347
2024-03-03,usd,loka,2.69932077
2024-03-03,usd,loom,8.73767458
2024-03-03,usd,lpt,0.068499191
2024-03-03,usd,lqty,0.56813691
2024-03-03,usd,lrc,3.01782828
2024-03-03,usd,lrd,191.71280472
2024-03-03,usd,lseth,0.00028037378
2024-03-03,usd,lsk,0.62556594
2024-03-03,usd,lsl,19.11776182
2024-03-03,usd,ltc,0.010684761
2024-03-03,usd,ltl,3.18457384
