print,day1,si_before,si_+1,si_+2,si_+3,rise_max3
2021Q3,13.0,2.28,2.36,1.84,1.96,0.08
2021Q4,3.6,2.04,1.97,1.87,1.76,-0.07
2022Q1,7.7,1.48,1.66,2.09,2.37,0.89
2022Q2,-1.1,3.01,2.79,2.58,2.86,-0.15
2022Q3,-13.4,2.66,2.62,2.99,3.34,0.68
2022Q4,13.4,3.49,3.18,3.02,2.4,-0.31
2023Q1,-10.9,3.31,3.67,3.84,4.01,0.7
2023Q2,-0.5,3.77,3.26,3.1,4.04,0.27
2023Q3,-3.3,4.56,3.91,3.67,3.36,-0.65
2023Q4,-1.7,2.92,2.99,3.08,3.07,0.15
2024Q1,-6.9,2.41,2.1,2.01,1.97,-0.32
2024Q2,-13.4,1.74,2.09,2.09,2.25,0.51
2024Q3,-8.7,2.34,2.11,2.23,2.4,0.06
2024Q4,14.4,2.46,2.46,2.3,2.41,0.0
2025Q1,1.0,2.41,2.51,2.59,3.0,0.6
2025Q2,-8.0,3.09,3.16,3.05,3.53,0.44
