window,model,n,rmse_pp,bias_pp,mae_pp,ratio_vs_naive,ratio_vs_prior_year,ratio_vs_ar1,sign_accuracy_vs_naive,pre_registered,residual_rule,mix_variant,knowable_before_print,jackknife_ratio_min,jackknife_ratio_max,jackknife_quarters_ratio_below_1,jackknife_n
1Q24-2Q26,naive_last_q,10,0.9082951062292475,-0.35,0.75,1.0,0.5200882648923051,0.793694204607557,0.0,False,,,yes,1.0,1.0,0,10
1Q24-2Q26,prior_year_q,10,1.746424919657298,-0.7,1.5,1.9227505550564008,1.0,1.5260759724542288,0.42857142857142855,False,,,yes,1.6143297699232972,2.2173557826083448,0,10
1Q24-2Q26,ar1_expanding,10,1.1443892382688556,-0.7303858613881766,0.9619836451347137,1.259931084534567,0.6552753716394631,1.0,0.42857142857142855,False,,,yes,1.1507137911011143,1.3439647330256503,0,10
1Q24-2Q26,h_route_a,9,1.2920999173922265,-0.6052782071668258,1.1151823065855622,1.4225551899716053,0.7398542604658757,1.1290738100148654,0.2857142857142857,False,,,yes,1.2433880155510375,1.5824927471516252,0,10
1Q24-2Q26,v2_measured_last_q,10,0.8074352188485817,-0.24784233290244528,0.7317346861778804,0.8889569186391615,0.46233606137905153,0.7055599544696941,0.8571428571428571,False,last_q,"measured (realised quarter-t terms, upper bound on I)",no: the residual is only knowable after the print; the rule uses prior residuals only,0.8353852868798487,0.9374957137602413,10,10
1Q24-2Q26,v2_measured_persistence,10,0.9029570741655287,-0.4166120897589133,0.7878258982982651,0.9941230201207629,0.5170317166241057,0.7890296797368114,0.7142857142857143,True,persistence,"measured (realised quarter-t terms, upper bound on I)",no: the residual is only knowable after the print; the rule uses prior residuals only,0.8700835603116134,1.051595588076546,5,10
1Q24-2Q26,v2_measured_trailing_4q,10,0.9490129915263325,-0.5459789123965221,0.8220275260440874,1.044828916304662,0.5434032581901991,0.8292746556774044,0.5714285714285714,False,trailing_4q,"measured (realised quarter-t terms, upper bound on I)",no: the residual is only knowable after the print; the rule uses prior residuals only,0.9331821425119157,1.2208527039613604,3,10
1Q24-2Q26,v2_measured_trailing_8q,10,0.9351531856737493,-0.6128806523889441,0.769108437006774,1.0295697722692816,0.5354671564450963,0.8171635614892512,0.5714285714285714,False,trailing_8q,"measured (realised quarter-t terms, upper bound on I)",no: the residual is only knowable after the print; the rule uses prior residuals only,0.8515725907200784,1.2028955464848576,3,10
1Q24-2Q26,v2_measured_ar1_residual,8,0.830819110642299,-0.5140110432226995,0.7239187330568173,0.9147017361916798,0.47572563886990976,0.7259934669598068,0.42857142857142855,False,ar1_residual,"measured (realised quarter-t terms, upper bound on I)",no: the residual is only knowable after the print; the rule uses prior residuals only,0.8127512625098959,1.017541444813277,9,10
1Q24-2Q26,v2_measured_blend,10,0.8676866549118804,-0.5147463710739288,0.7784671676525197,0.955291566541681,0.49683593330891485,0.7582093800746067,0.5714285714285714,False,blend,"measured (realised quarter-t terms, upper bound on I)",no: the residual is only knowable after the print; the rule uses prior residuals only,0.8763126762120795,1.0757126534965689,7,10
1Q24-2Q26,v2_trailing4q_last_q,10,1.01540233010374,-0.2966138069560666,0.9078331032910396,1.1179211724690934,0.5814176828758221,0.8872875557968046,0.42857142857142855,False,last_q,trailing 4q (H rule),no: the residual is only knowable after the print; the rule uses prior residuals only,1.0683226259780814,1.159512202316043,0,10
