print,print_date,reaction_date,rev_guide_low,rev_guide_high,rev_actual,vs_guide_mid,vs_guide_top,rev_guide_outcome,rev_consensus,rev_surprise,rev_vs_street,rev_vendor,nights_cons_m,nights_actual,nights_surprise,nights_vs_street,nights_guide,nights_guide_outcome,gbv_cons_b,gbv_actual,gbv_surprise,gbv_vs_street,gbv_guide,gbv_guide_outcome,adr_cons,adr_actual,adr_surprise,adr_guide_y_y,adr_guide_outcome,ebitda_cons,ebitda_actual,ebitda_surprise,ebitda_vs_street,margin_actual,margin_guide,margin_guide_outcome,take_rate_guide,take_rate_outcome,eps_cons,eps_actual,eps_basis,eps_surprise,eps_vs_street,next_q_rev_consensus,next_q_guide_mid,guide_vs_street,abnb_1d,qqq_1d,excess_1d,abnb_5d,excess_5d,abnb_20d,excess_20d,gap_at_open,open_to_close_1d,open_entry_5d,open_entry_20d,yq
4Q20,2021-02-25,2021-02-26,NA,NA,859,NA,NA,NA,739.7,0.16128160064891173,beat,Yahoo/unattributed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-132.8,-21,-0.8418674698795181,miss,-0.024447031431897557,NA,NA,NA,NA,-8.4,-11.24,GAAP incl. IPO stock-comp (FactSet basis),-0.33809523809523806,miss,NA,NA,NA,0.133,0.004,0.129,-0.01,0.018,-0.032,-0.028,0.06657143403117338,0.06808781448766654,-0.03463934491461695,-0.0784897892781764,2020 Q4
1Q21,2021-05-13,2021-05-14,NA,NA,887,NA,NA,NA,714.4,0.24160134378499443,beat,Refinitiv,62.5,64.4,0.030399999999999983,beat,between_2020_and_2019,n/a (2019 base not in panel),7.87,10.3,0.3087674714104194,beat,between_2020_and_2019,n/a (2019 base not in panel),NA,159.9378881987577,NA,NA,NA,NA,-59,NA,NA,-0.0665163472378805,seasonal_low,qualitative,NA,NA,-1.07,-1.95,GAAP (FactSet survey of 27),-0.8224299065420559,miss,NA,NA,NA,0.04,0.022,0.018,0.003,-0.026,0.09300000000000001,0.025,0.01421725728015644,0.01381824211078508,-0.03006131412779001,0.02037182927541137,2021 Q1
2Q21,2021-08-12,2021-08-13,NA,NA,1335,NA,NA,NA,1260,0.059523809523809534,beat,Refinitiv,79.2,83.1,0.04924242424242409,beat,between_2020_and_2019,n/a (2019 base not in panel),11.56,13.4,0.15916955017301038,beat,above vs 8.1,met,NA,161.251504211793,NA,NA,NA,NA,217,NA,NA,0.16254681647940075,NA,NA,NA,NA,-0.41,-0.11,GAAP (press consensus; low confidence),0.7317073170731707,beat,NA,NA,NA,0.011,0.004,0.006999999999999999,-0.05599999999999999,-0.047,0.09300000000000001,0.068,-0.02970552706373242,0.03906482667419975,-0.01665961422424644,0.1027664656614087,2021 Q2
3Q21,2021-11-04,2021-11-05,NA,NA,2237,NA,NA,NA,2050,0.09121951219512203,beat,Refinitiv,80.8,79.7,-0.013613861386138515,miss,below vs 83.1,met,12.31,11.9,-0.033306255077173,miss,below vs 13.4,met,NA,149.3099121706399,NA,NA,NA,NA,1101,NA,NA,0.4921770227983907,above vs 37.3,met,above vs 9.96,met,NA,1.22,"GAAP diluted, flagged not comparable",NA,NA,NA,1435,NA,0.13,0.001,0.129,0.07400000000000001,0.09300000000000001,-0.066,-0.028,0.04314932518869985,0.08670467817555538,0.05295388930346534,-0.06194621873223505,2021 Q3
4Q21,2022-02-15,2022-02-16,1390,1480,1532,0.06759581881533094,0.03513513513513522,above_range,1460,0.049315068493150704,beat,Refinitiv,74.96,73.4,-0.020811099252934784,miss,approx vs 76,met,11.08,11.3,0.019855595667870096,beat,above vs 5.91,met,NA,153.9509536784741,NA,approx_seq vs 149.15,met,NA,333,NA,NA,0.21736292428198434,above vs 11.9,met,below_seq vs 18.8,met,0.03,0.08,adjusted,1.6666666666666667,beat,1240,1445,0.16532258064516125,0.036,0,0.03700000000000001,-0.167,-0.092,-0.135,-0.091,-0.00985732816724727,0.04053008049895768,-0.08951174548348417,-0.08829273885706257,2021 Q4
1Q22,2022-05-03,2022-05-04,1410,1480,1509,0.04429065743944638,0.01959459459459456,above_range,1450,0.04068965517241385,beat,Refinitiv,100.87,102.1,0.01219391295727168,beat,above vs 83.1,met,16.54,17.2,0.03990326481257567,beat,above vs 13.4,met,NA,168.462291870715,NA,about 4 pct,beat,NA,229,NA,NA,0.1517561298873426,above vs 0,met,below_seq vs 13.56,met,-0.29,-0.03,adjusted,0.8965517241379312,beat,1960,2080,0.061224489795918435,0.077,0.034,0.043,-0.199,-0.142,-0.195,-0.155,0.05206898656384706,-0.008430355351928043,-0.1806474520618505,-0.1931901961685781,2022 Q1
2Q22,2022-08-02,2022-08-03,2030,2130,2104,0.011538461538461497,-0.012206572769953072,within_range,2110,-0.0028436018957346265,meet,Refinitiv,106.4,103.7,-0.025375939849624052,miss,approx_vs2019,NA,NA,17,NA,NA,NA,NA,NA,163.9344262295082,NA,about 0 pct,beat,NA,711,NA,NA,0.3379277566539924,at least 10 pts,met,above_seq vs 8.77,met,0.43,0.56,adjusted,0.302325581395349,beat,2770,2830,0.02166064981949467,-0.011,0.027,-0.039,-0.016,-0.025,-0.032,0.01,-0.06975243355003069,0.0411436157138223,0.05416772062076669,0.08761119662775718,2022 Q2
3Q22,2022-11-01,2022-11-02,2780,2880,2884,0.0190812720848057,0.001388888888888884,above_range,2800,0.030000000000000027,beat,Refinitiv,NA,99.7,NA,NA,stable vs 24.6,met,NA,15.6,NA,NA,above vs 26.9,met,NA,156.469408224674,NA,above vs 0,met,NA,1457,NA,NA,0.5052011095700416,at most 49 pct,not_met,NA,NA,1.4229,1.79,adjusted (Zacks basis),0.2579942371213718,beat,1850,1840,-0.00540540540540535,-0.134,-0.034,-0.1,-0.09300000000000001,-0.073,-0.063,-0.13,-0.0587345825717348,-0.04605604767859772,-0.01634540924155092,-0.07137323703791176,2022 Q3
4Q22,2023-02-14,2023-02-15,1800,1880,1902,0.033695652173913127,0.011702127659574568,above_range,1860,0.022580645161290214,beat,Refinitiv,89.7,88.2,-0.01672240802675584,miss,below vs 25.1,met,NA,13.5,NA,NA,NA,NA,NA,153.0612244897959,NA,below vs 4.9,met,432,506,0.17129629629629628,beat,0.26603575184016826,at least 22 pct,met,below_seq vs 18.49,met,0.25,0.48,adjusted,0.9199999999999999,beat,1690,1785,0.056213017751479244,0.134,0.008,0.126,0.052,0.09300000000000001,-0.06,-0.035,0.07553567507200332,0.04014798615662896,0.01346792025414911,-0.1067274836007764,2022 Q4
1Q23,2023-05-09,2023-05-10,1750,1820,1818,0.018487394957983128,-0.001098901098901095,within_range,1790,0.015642458100558754,beat,Refinitiv,NA,121.1,NA,NA,approx vs 20.2,met,NA,20.4,NA,NA,NA,NA,NA,168.4558216350124,NA,below vs 0,not_met,NA,262,NA,NA,0.14411441144114412,at most 0 pts,met,about 0 pts,at_point,0.09,0.18,adjusted,1,beat,2420,2400,-0.008264462809917328,-0.109,0.011,-0.12,-0.17,-0.188,-0.083,-0.167,-0.1355158673334327,0.02725809149277625,-0.04979797493899863,-0.01521407744512437,2023 Q1
