date,Firm,FromGrade,ToGrade,from_b,to_b,to_hold_or_sell,currentPriceTarget,priorPriceTarget
2021-01-05,Atlantic Equities,Overweight,Neutral,Buy,Hold,True,0.0,0.0
2021-12-16,RBC Capital,Outperform,Sector Perform,Buy,Hold,True,175.0,195.0
2022-01-10,Piper Sandler,Overweight,Neutral,Buy,Hold,True,169.0,215.0
2022-01-18,Gordon Haskett,Buy,Hold,Buy,Hold,True,0.0,0.0
2022-02-08,BTIG,Buy,Neutral,Buy,Hold,True,0.0,0.0
2022-11-22,Baird,Outperform,Neutral,Buy,Hold,True,100.0,120.0
2022-12-07,Morgan Stanley,Equal-Weight,Underweight,Hold,Sell,True,80.0,110.0
2023-01-25,Gordon Haskett,Hold,Underperform,Hold,Sell,True,0.0,0.0
2023-10-03,Keybanc,Overweight,Sector Weight,Buy,Hold,True,0.0,0.0
2023-11-17,Evercore ISI Group,Outperform,In-Line,Buy,Hold,True,136.0,0.0
2023-11-29,Jefferies,Buy,Hold,Buy,Hold,True,140.0,155.0
2023-12-08,DBS Bank,Buy,Hold,Buy,Hold,True,0.0,0.0
2023-12-12,Barclays,Equal-Weight,Underweight,Hold,Sell,True,100.0,135.0
2024-02-14,DA Davidson,Buy,Neutral,Buy,Hold,True,145.0,0.0
2024-04-11,Needham,Buy,Hold,Buy,Hold,True,0.0,0.0
2024-05-09,HSBC,Buy,Hold,Buy,Hold,True,156.0,0.0
2024-09-04,Argus Research,Buy,Hold,Buy,Hold,True,0.0,0.0
2024-11-12,Phillip Securities,Neutral,Reduce,Hold,Sell,True,120.0,0.0
2025-05-02,Wedbush,Outperform,Neutral,Buy,Hold,True,135.0,150.0
2025-05-30,Truist Securities,Hold,Sell,Hold,Sell,True,106.0,112.0
