repo,metric,period,granularity,value
airbnb/epoxy,activity,2016,year,105.37
airbnb/epoxy,activity,2017,year,369.61
airbnb/epoxy,activity,2018,year,524.63
airbnb/epoxy,activity,2019,year,546.16
airbnb/epoxy,activity,2020,year,515.39
airbnb/epoxy,activity,2021,year,378.79
airbnb/epoxy,activity,2022,year,153.07
airbnb/epoxy,activity,2023,year,96.78
airbnb/epoxy,activity,2024,year,36.88
airbnb/epoxy,activity,2025,year,19.38
airbnb/epoxy,activity,2026,year,6.64
airbnb/epoxy,activity,2016-08,month,15.77
airbnb/epoxy,activity,2016-09,month,30.24
airbnb/epoxy,activity,2016-10,month,21.12
airbnb/epoxy,activity,2016-11,month,16.21
airbnb/epoxy,activity,2016-12,month,22.03
airbnb/epoxy,activity,2017-01,month,23.09
airbnb/epoxy,activity,2017-02,month,32.48
airbnb/epoxy,activity,2017-03,month,32.79
airbnb/epoxy,activity,2017-04,month,43.86
airbnb/epoxy,activity,2017-05,month,32.11
airbnb/epoxy,activity,2017-06,month,25.61
airbnb/epoxy,activity,2017-07,month,28.38
airbnb/epoxy,activity,2017-08,month,23.22
airbnb/epoxy,activity,2017-09,month,27.86
airbnb/epoxy,activity,2017-10,month,39.43
airbnb/epoxy,activity,2017-11,month,27.17
airbnb/epoxy,activity,2017-12,month,33.6
airbnb/epoxy,activity,2018-01,month,38.85
airbnb/epoxy,activity,2018-02,month,17.67
airbnb/epoxy,activity,2018-03,month,17.14
airbnb/epoxy,activity,2018-04,month,27.97
airbnb/epoxy,activity,2018-05,month,26.71
airbnb/epoxy,activity,2018-06,month,38.7
airbnb/epoxy,activity,2018-07,month,40.88
airbnb/epoxy,activity,2018-08,month,49.17
airbnb/epoxy,activity,2018-09,month,69.5
airbnb/epoxy,activity,2018-10,month,90.13
airbnb/epoxy,activity,2018-11,month,53.55
airbnb/epoxy,activity,2018-12,month,54.36
airbnb/epoxy,activity,2019-01,month,54.71
airbnb/epoxy,activity,2019-02,month,53.68
airbnb/epoxy,activity,2019-03,month,37.92
airbnb/epoxy,activity,2019-04,month,37.74
airbnb/epoxy,activity,2019-05,month,44.16
airbnb/epoxy,activity,2019-06,month,43.14
