period,airbnb/epoxy,airbnb/javascript,airbnb/knowledge-repo,airbnb/lottie-android,airbnb/lottie-ios
2015-01,,1.13,,,
2015-02,,3.49,,,
2015-03,,7.29,,,
2015-04,,16.71,,,
2015-05,,12.69,,,
2015-06,,11.69,,,
2015-07,,23.05,,,
2015-08,,22.57,,,
2015-09,,20.97,,,
2015-10,,18.8,,,
2015-11,,21.96,,,
2015-12,,32.27,,,
2016-01,,37.77,,,
2016-02,,40.89,,,
2016-03,,36.15,,,
2016-04,,49.2,,,
2016-05,,46.91,,,
2016-06,,45.65,,,
2016-07,,41.32,,,
2016-08,1.99,60.2,,,
2016-09,4.77,62.0,2.79,,
2016-10,5.51,56.22,7.73,0.82,
2016-11,5.56,53.77,13.05,,
2016-12,6.84,61.05,17.23,1.33,
2017-01,7.11,60.05,16.12,,
2017-02,8.27,57.3,15.46,31.45,36.38
2017-03,9.55,58.91,10.35,33.26,37.62
2017-04,13.03,59.77,8.17,27.44,25.39
2017-05,12.72,61.03,11.16,27.72,18.64
2017-06,11.35,65.18,8.39,23.71,24.62
2017-07,12.16,65.69,14.27,26.63,28.52
2017-08,11.43,62.55,11.06,25.25,31.39
2017-09,11.77,63.68,11.04,22.55,26.65
2017-10,13.32,71.12,9.55,20.61,21.76
2017-11,13.91,50.49,11.04,28.94,28.55
2017-12,11.49,60.43,9.89,24.58,18.51
2018-01,13.5,61.33,7.63,25.83,18.13
2018-02,11.98,71.97,4.11,26.53,16.54
2018-03,9.25,64.68,6.39,31.94,16.15
2018-04,8.05,59.73,4.98,26.03,15.13
2018-05,8.63,61.69,8.31,26.84,13.12
2018-06,11.14,61.52,7.89,22.93,12.34
2018-07,14.61,61.22,5.75,26.76,12.18
2018-08,13.97,63.75,2.94,26.13,10.73
2018-09,18.54,60.52,4.98,26.38,8.36
2018-10,22.84,59.46,7.16,18.18,9.85
2018-11,23.35,54.39,2.22,17.74,9.82
2018-12,20.19,52.54,5.55,21.71,8.76
2019-01,18.77,55.93,4.72,15.35,11.12
2019-02,22.56,55.11,3.39,19.07,8.64
2019-03,14.87,50.66,3.22,21.5,25.07
2019-04,14.89,50.6,2.05,21.57,26.85
2019-05,15.52,54.53,3.02,28.02,25.69
2019-06,17.59,53.5,2.57,28.25,24.34
2019-07,14.23,59.48,2.06,31.43,23.93
2019-08,15.07,68.39,1.24,28.39,18.86
2019-09,13.79,67.75,1.13,22.08,14.85
2019-10,12.98,62.66,0.67,19.0,15.02
2019-11,17.0,54.73,1.63,20.85,18.77
2019-12,13.65,48.65,,16.61,13.71
2020-01,12.14,49.42,1.0,16.45,13.92
2020-02,9.41,50.62,2.21,18.65,11.16
2020-03,10.44,56.21,2.94,10.59,13.66
2020-04,10.51,50.07,2.02,12.18,14.58
