quarter,metric,scenario,value,lower_bound,upper_bound,units,information_date,evidence_status,source_reference,replacement_vs_incremental,treatment
2023Q1-2026Q2,NCLH_passenger_ticket_revenue_usd_m_kernel_rmse_ratio,W1,1.37645904249,,,ratio to seasonal naive; USD-level RMSE,2026-07-30T10:30:00+00:00,research_fail_no_ABNB_adoption,data/processed/forecast_methods/nclh_transfer_v1/results_v2/scores.csv,neither; cross-issuer diagnostic only,No ABNB forecast or valuation adjustment
2024Q1-2026Q2,NCLH_passenger_ticket_revenue_usd_m_kernel_rmse_ratio,W2,3.84074603305,,,ratio to seasonal naive; USD-level RMSE,2026-07-30T10:30:00+00:00,research_fail_no_ABNB_adoption,data/processed/forecast_methods/nclh_transfer_v1/results_v2/scores.csv,neither; cross-issuer diagnostic only,No ABNB forecast or valuation adjustment
2023Q1-2025Q1,NCLH_passenger_ticket_revenue_usd_m_lambda_range,season_Q1_frozen_pre2023_weights,2.3600725627,45.6761250291,48.0361975918,value: percentage-point range; bounds: minimum/maximum lambda percent,2026-03-02T11:30:00+00:00,research_fail_descriptive_n3_per_season,data/processed/forecast_methods/nclh_transfer_v1/results_v2/stability.csv,neither; cross-issuer diagnostic only,No ABNB forecast or valuation adjustment
2023Q2-2025Q2,NCLH_passenger_ticket_revenue_usd_m_lambda_range,season_Q2_frozen_pre2023_weights,2.39852715973,44.1378877138,46.5364148735,value: percentage-point range; bounds: minimum/maximum lambda percent,2026-03-02T11:30:00+00:00,research_fail_descriptive_n3_per_season,data/processed/forecast_methods/nclh_transfer_v1/results_v2/stability.csv,neither; cross-issuer diagnostic only,No ABNB forecast or valuation adjustment
2023Q3-2025Q3,NCLH_passenger_ticket_revenue_usd_m_lambda_range,season_Q3_frozen_pre2023_weights,2.00609913484,51.4649313769,53.4710305117,value: percentage-point range; bounds: minimum/maximum lambda percent,2026-03-02T11:30:00+00:00,research_fail_descriptive_n3_per_season,data/processed/forecast_methods/nclh_transfer_v1/results_v2/stability.csv,neither; cross-issuer diagnostic only,No ABNB forecast or valuation adjustment
2023Q4-2025Q4,NCLH_passenger_ticket_revenue_usd_m_lambda_range,season_Q4_frozen_pre2023_weights,3.18673085609,44.7987111817,47.9854420378,value: percentage-point range; bounds: minimum/maximum lambda percent,2026-03-02T11:30:00+00:00,research_fail_descriptive_n3_per_season,data/processed/forecast_methods/nclh_transfer_v1/results_v2/stability.csv,neither; cross-issuer diagnostic only,No ABNB forecast or valuation adjustment
2023Q1-2026Q2,NCLH_total_revenue_usd_m_kernel_rmse_ratio,W1,1.199835055,,,ratio to seasonal naive; USD-level RMSE,2026-07-30T10:30:00+00:00,research_fail_no_ABNB_adoption,data/processed/forecast_methods/nclh_transfer_v1/results_v2/scores.csv,neither; cross-issuer diagnostic only,No ABNB forecast or valuation adjustment
2024Q1-2026Q2,NCLH_total_revenue_usd_m_kernel_rmse_ratio,W2,3.46282083969,,,ratio to seasonal naive; USD-level RMSE,2026-07-30T10:30:00+00:00,research_fail_no_ABNB_adoption,data/processed/forecast_methods/nclh_transfer_v1/results_v2/scores.csv,neither; cross-issuer diagnostic only,No ABNB forecast or valuation adjustment
2023Q1-2025Q1,NCLH_total_revenue_usd_m_lambda_range,season_Q1_frozen_pre2023_weights,5.89034928341,67.0458747803,72.9362240637,value: percentage-point range; bounds: minimum/maximum lambda percent,2026-03-02T11:30:00+00:00,research_fail_descriptive_n3_per_season,data/processed/forecast_methods/nclh_transfer_v1/results_v2/stability.csv,neither; cross-issuer diagnostic only,No ABNB forecast or valuation adjustment
2023Q2-2025Q2,NCLH_total_revenue_usd_m_lambda_range,season_Q2_frozen_pre2023_weights,4.82815676529,66.5819821449,71.4101389101,value: percentage-point range; bounds: minimum/maximum lambda percent,2026-03-02T11:30:00+00:00,research_fail_descriptive_n3_per_season,data/processed/forecast_methods/nclh_transfer_v1/results_v2/stability.csv,neither; cross-issuer diagnostic only,No ABNB forecast or valuation adjustment
2023Q3-2025Q3,NCLH_total_revenue_usd_m_lambda_range,season_Q3_frozen_pre2023_weights,2.41678985447,75.7046343786,78.1214242331,value: percentage-point range; bounds: minimum/maximum lambda percent,2026-03-02T11:30:00+00:00,research_fail_descriptive_n3_per_season,data/processed/forecast_methods/nclh_transfer_v1/results_v2/stability.csv,neither; cross-issuer diagnostic only,No ABNB forecast or valuation adjustment
2023Q4-2025Q4,NCLH_total_revenue_usd_m_lambda_range,season_Q4_frozen_pre2023_weights,3.89353424044,66.0601689626,69.953703203,value: percentage-point range; bounds: minimum/maximum lambda percent,2026-03-02T11:30:00+00:00,research_fail_descriptive_n3_per_season,data/processed/forecast_methods/nclh_transfer_v1/results_v2/stability.csv,neither; cross-issuer diagnostic only,No ABNB forecast or valuation adjustment
