event_date,print_quarter,Index,quarter,guide_mid,actual,actual_publication
2022-05-03,2022Q1,0,2021Q4,1435,1532,2022-02-15
2022-08-02,2022Q2,0,2021Q4,1435,1532,2022-02-15
2022-08-02,2022Q2,1,2022Q1,1445,1509,2022-05-03
2022-11-01,2022Q3,0,2021Q4,1435,1532,2022-02-15
2022-11-01,2022Q3,1,2022Q1,1445,1509,2022-05-03
2022-11-01,2022Q3,2,2022Q2,2080,2104,2022-08-02
2023-02-14,2022Q4,0,2021Q4,1435,1532,2022-02-15
2023-02-14,2022Q4,1,2022Q1,1445,1509,2022-05-03
2023-02-14,2022Q4,2,2022Q2,2080,2104,2022-08-02
2023-02-14,2022Q4,3,2022Q3,2830,2884,2022-11-01
2023-05-09,2023Q1,0,2021Q4,1435,1532,2022-02-15
2023-05-09,2023Q1,1,2022Q1,1445,1509,2022-05-03
2023-05-09,2023Q1,2,2022Q2,2080,2104,2022-08-02
2023-05-09,2023Q1,3,2022Q3,2830,2884,2022-11-01
2023-05-09,2023Q1,4,2022Q4,1840,1902,2023-02-14
2023-08-03,2023Q2,0,2021Q4,1435,1532,2022-02-15
2023-08-03,2023Q2,1,2022Q1,1445,1509,2022-05-03
2023-08-03,2023Q2,2,2022Q2,2080,2104,2022-08-02
2023-08-03,2023Q2,3,2022Q3,2830,2884,2022-11-01
2023-08-03,2023Q2,4,2022Q4,1840,1902,2023-02-14
2023-08-03,2023Q2,5,2023Q1,1785,1818,2023-05-09
2023-11-01,2023Q3,0,2021Q4,1435,1532,2022-02-15
2023-11-01,2023Q3,1,2022Q1,1445,1509,2022-05-03
2023-11-01,2023Q3,2,2022Q2,2080,2104,2022-08-02
2023-11-01,2023Q3,3,2022Q3,2830,2884,2022-11-01
2023-11-01,2023Q3,4,2022Q4,1840,1902,2023-02-14
2023-11-01,2023Q3,5,2023Q1,1785,1818,2023-05-09
2023-11-01,2023Q3,6,2023Q2,2400,2484,2023-08-03
2024-02-13,2023Q4,0,2021Q4,1435,1532,2022-02-15
2024-02-13,2023Q4,1,2022Q1,1445,1509,2022-05-03
2024-02-13,2023Q4,2,2022Q2,2080,2104,2022-08-02
2024-02-13,2023Q4,3,2022Q3,2830,2884,2022-11-01
2024-02-13,2023Q4,4,2022Q4,1840,1902,2023-02-14
2024-02-13,2023Q4,5,2023Q1,1785,1818,2023-05-09
2024-02-13,2023Q4,6,2023Q2,2400,2484,2023-08-03
2024-02-13,2023Q4,7,2023Q3,3350,3397,2023-11-01
