window,signal,outcome,primary_family,eligible_event_ids,model,n,intercept,slope,slope_hc1_se,slope_95_lo,slope_95_hi,slope_hc1_t,slope_hc1_p,r2,n_parameters,status
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,same_rows_uncontrolled,16,-2.30035066023756,1.11666586564768,0.971159137899789,-0.966263325169515,3.19959505646488,1.14982789335903,0.269478397439462,0.105268127186353,2,descriptive_approximate_HC1_interval
all,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,plus_current_revenue_surprise,16,-2.76329278948625,1.1141965727111,1.00687000353474,-1.06101382405793,3.28940696948013,1.10659426619084,0.288526516202548,0.107015407411523,3,descriptive_approximate_HC1_interval
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,same_rows_uncontrolled,16,-0.091857749903275,0.513773745049372,0.37647166648998,-0.293677673616569,1.32122516371531,1.36470760160923,0.19387862973474,0.0960433674168134,2,descriptive_approximate_HC1_interval
all,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,plus_current_revenue_surprise,16,0.774588342461605,0.518395292928975,0.395984109091225,-0.33707636480905,1.373866950667,1.30913155610886,0.213157841517307,0.122422796767791,3,descriptive_approximate_HC1_interval
all,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,same_rows_uncontrolled,15,-4.23422571020347,0.973699979287605,0.933443489178169,-1.04288207731218,2.99028203588739,1.04312686367857,0.315900227704975,0.0822289798915872,2,descriptive_approximate_HC1_interval
all,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,plus_current_revenue_surprise,15,-2.97088407388038,1.04440276443149,1.07278930944257,-1.29300434651184,3.38180987537482,0.973539496748123,0.349501721269486,0.0951150594057353,3,descriptive_approximate_HC1_interval
all,published_guide_vs_implied_guide_pct,session_excess_pct,True,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,same_rows_uncontrolled,15,-1.02431471612304,0.336139377987505,0.321818062910399,-0.359106278207691,1.0313850341827,1.0445012779817,0.315287823481311,0.0432697139073756,2,descriptive_approximate_HC1_interval
all,published_guide_vs_implied_guide_pct,session_excess_pct,True,2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,plus_current_revenue_surprise,15,-0.593847580851592,0.360230427076318,0.344706965821892,-0.390821532532082,1.11128238668472,1.04503379041794,0.316602365238917,0.0498755812266066,3,descriptive_approximate_HC1_interval
W1_print_2023plus,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,same_rows_uncontrolled,13,-1.62960215902075,0.850036307528771,1.28422487200162,-1.97652357796738,3.67659619302492,0.661906124122862,0.521656259403829,0.0472775462127815,2,descriptive_approximate_HC1_interval
W1_print_2023plus,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,plus_current_revenue_surprise,13,-0.764650661844349,0.87544307969385,1.40427021194713,-2.25346593823254,4.00435209762024,0.623414975441216,0.546967004945863,0.0525257063095994,3,descriptive_approximate_HC1_interval
W1_print_2023plus,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,same_rows_uncontrolled,13,0.12048015732939,0.184998616196605,0.537891969468513,-0.998893626336056,1.36889085872927,0.343932660640763,0.737381433301412,0.0107601060241993,2,descriptive_approximate_HC1_interval
W1_print_2023plus,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,plus_current_revenue_surprise,13,-0.0339435264676327,0.180462630810221,0.569543475180607,-1.08855931413497,1.44948457575541,0.31685488233009,0.757869543985909,0.0115639115685262,3,descriptive_approximate_HC1_interval
W1_print_2023plus,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,same_rows_uncontrolled,13,-2.78074706534881,0.550207604597405,1.33743512983984,-2.39346726876532,3.49388247796012,0.411390124516389,0.688687964511752,0.0169239177067193,2,descriptive_approximate_HC1_interval
W1_print_2023plus,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,plus_current_revenue_surprise,13,-2.05682140558071,0.581597674455768,1.49021170406055,-2.73880092104621,3.90199626995774,0.390278557651254,0.704514824586668,0.0214634546985141,3,descriptive_approximate_HC1_interval
W1_print_2023plus,published_guide_vs_implied_guide_pct,session_excess_pct,True,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,same_rows_uncontrolled,13,-0.181768941792524,0.136335139163349,0.476564711540306,-0.912576718760217,1.18524699708691,0.286078964434231,0.780133424137191,0.00499301596291157,2,descriptive_approximate_HC1_interval
W1_print_2023plus,published_guide_vs_implied_guide_pct,session_excess_pct,True,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,plus_current_revenue_surprise,13,-0.328569655276913,0.129969727757696,0.508193600012468,-1.00235617676086,1.26229563227625,0.255748454436473,0.803328784210067,0.00588998936729945,3,descriptive_approximate_HC1_interval
W2_print_2024plus,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,same_rows_uncontrolled,9,-0.141496022057884,0.864553906194752,1.81591555256013,-3.42940404823344,5.15851186062294,0.476098078997055,0.64850536162748,0.0428576084326312,2,descriptive_approximate_HC1_interval
W2_print_2024plus,published_guide_vs_revenue_consensus_pct,gap_excess_pct,True,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,plus_current_revenue_surprise,9,-0.0927756909289799,0.861624649046035,1.91314856355911,-3.81968124412774,5.54293054221981,0.450369963659862,0.668259712768393,0.0428761767729325,3,descriptive_approximate_HC1_interval
W2_print_2024plus,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,same_rows_uncontrolled,9,0.608127381724468,-0.0868405481025682,0.713223123415263,-1.77334524252705,1.59966414632192,-0.121757897706307,0.906512398272202,0.00221152812309888,2,descriptive_approximate_HC1_interval
W2_print_2024plus,published_guide_vs_revenue_consensus_pct,session_excess_pct,True,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,plus_current_revenue_surprise,9,1.27958623564136,-0.127211284555522,0.73186304387787,-1.91801564003532,1.66359307092428,-0.17381842903486,0.867724346212324,0.0202498034159411,3,descriptive_approximate_HC1_interval
W2_print_2024plus,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,same_rows_uncontrolled,9,-2.02946018509161,0.858790443922398,1.98210063282341,-3.82813278154924,5.54571366939404,0.433272877118802,0.677854221937015,0.0349590747003682,2,descriptive_approximate_HC1_interval
W2_print_2024plus,published_guide_vs_implied_guide_pct,gap_excess_pct,True,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,plus_current_revenue_surprise,9,-1.88084736060046,0.85125245241189,2.0889065454799,-4.2601177296572,5.96262263448098,0.407511027362081,0.697773717930221,0.0350968808727126,3,descriptive_approximate_HC1_interval
W2_print_2024plus,published_guide_vs_implied_guide_pct,session_excess_pct,True,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,same_rows_uncontrolled,9,0.789091804932358,-0.0832162540426976,0.788319486864905,-1.94729563068663,1.78086312260124,-0.105561584394727,0.918891493939548,0.00167882498522276,2,descriptive_approximate_HC1_interval
W2_print_2024plus,published_guide_vs_implied_guide_pct,session_excess_pct,True,2024Q1;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,plus_current_revenue_surprise,9,1.52772821535902,-0.120681627641597,0.812136029663075,-2.107906903366,1.86654364808281,-0.148597800409943,0.886739469516935,0.0190897198973466,3,descriptive_approximate_HC1_interval
