window,signal,outcome,basis,n,intercept,slope,slope_hc1_se,slope_95_lo,slope_95_hi,slope_hc1_t,slope_hc1_p,r2,n_parameters,status,pearson,pearson_95_lo,pearson_95_hi,spearman,spearman_asymptotic_p
all,dolthub_guide_vs_revenue_pct,gap_excess_pct,separate_DoltHub_mirror_panel,20,-2.52251283469598,0.770904864821145,0.472405763457595,-0.22158281556381,1.7633925452061,1.63187015158071,0.120078151856931,0.161646700720057,2,descriptive_approximate_HC1_interval,0.402053106840448,-0.0492257694032744,0.717006370345995,0.487218045112782,0.0293419919037082
all,dolthub_guide_vs_revenue_pct,session_excess_pct,separate_DoltHub_mirror_panel,20,0.696693814142209,0.243890752199156,0.147094533823589,-0.0651433959098024,0.552924900308115,1.65805448958189,0.114631027794118,0.0649990827055227,2,descriptive_approximate_HC1_interval,0.254949176710816,-0.211424593418773,0.626758833539421,0.198496240601504,0.401503607003897
all,dolthub_guide_vs_implied_pct,gap_excess_pct,separate_DoltHub_mirror_panel,16,-6.72857305193156,1.54709834187086,0.575053051370979,0.313732212443876,2.78046447129785,2.69035759080391,0.017585507704321,0.29435763122928,2,descriptive_approximate_HC1_interval,0.542547353904965,0.0640744339880357,0.81820237829748,0.523529411764706,0.0374126481301494
all,dolthub_guide_vs_implied_pct,session_excess_pct,separate_DoltHub_mirror_panel,16,-0.487634583838845,0.258922024882533,0.300502331484994,-0.385591375374745,0.903435425139812,0.861630668897033,0.403407819596143,0.0432296112521672,2,descriptive_approximate_HC1_interval,0.207917318307463,-0.320857412685533,0.63787917034949,0.0823529411764706,0.761733078752474
W1_print_2023plus,dolthub_guide_vs_revenue_pct,gap_excess_pct,separate_DoltHub_mirror_panel,14,-2.88973913775097,1.59420774573792,0.799336002564185,-0.147395791863847,3.33581128333968,1.99441504026325,0.069330773612195,0.244830868380594,2,descriptive_approximate_HC1_interval,0.494803868599058,-0.0485114910206768,0.812163754378806,0.459340659340659,0.0984683761682902
W1_print_2023plus,dolthub_guide_vs_revenue_pct,session_excess_pct,separate_DoltHub_mirror_panel,14,0.432654661120816,0.033712878223206,0.421528032091978,-0.884717806163175,0.952143562609587,0.0799777847653316,0.937573245629162,0.000630908379185668,2,descriptive_approximate_HC1_interval,0.0251178896244433,-0.512288906293186,0.548388991548205,-0.195604395604396,0.502750091296957
W1_print_2023plus,dolthub_guide_vs_implied_pct,gap_excess_pct,separate_DoltHub_mirror_panel,14,-6.60580873532079,1.52677002441915,0.868867956484594,-0.366330626456236,3.41987067529453,1.75719453459464,0.104343414118626,0.206336326675105,2,descriptive_approximate_HC1_interval,0.45424258571286,-0.100577212291882,0.793563835687242,0.468131868131868,0.091376365068331
W1_print_2023plus,dolthub_guide_vs_implied_pct,session_excess_pct,separate_DoltHub_mirror_panel,14,0.4589832230571,-0.00318052938699054,0.398831993826321,-0.87216079441754,0.865799735643559,-0.00797460945015249,0.993768292182331,5.15971316328301e-06,2,descriptive_approximate_HC1_interval,-0.00227150020100614,-0.532209577639563,0.528945493475887,-0.217582417582418,0.454919373170033
W2_print_2024plus,dolthub_guide_vs_revenue_pct,gap_excess_pct,separate_DoltHub_mirror_panel,10,-1.83659008582545,2.00496731393294,0.879084471006834,-0.0222051114025827,4.03213973926847,2.28074477488678,0.0520108272598643,0.322750080315971,2,descriptive_approximate_HC1_interval,0.568110975352502,-0.0957731531889446,0.882182649132479,0.503030303030303,0.138333698394492
W2_print_2024plus,dolthub_guide_vs_revenue_pct,session_excess_pct,separate_DoltHub_mirror_panel,10,0.829712424317273,-0.0586843601286131,0.615866063061516,-1.47887404828038,1.36150532802315,-0.0952875367687721,0.926430033229238,0.00190856429051156,2,descriptive_approximate_HC1_interval,-0.0436871181300811,-0.655288682011086,0.602512219920332,-0.248484848484848,0.488776304519243
W2_print_2024plus,dolthub_guide_vs_implied_pct,gap_excess_pct,separate_DoltHub_mirror_panel,10,-6.70872919984394,2.16241071892054,0.894483475092537,0.0997281264853545,4.22509331135572,2.41749655430675,0.0420138747136466,0.326996791945971,2,descriptive_approximate_HC1_interval,0.571836333181069,-0.0903029184871072,0.883400349404318,0.503030303030303,0.138333698394492
W2_print_2024plus,dolthub_guide_vs_implied_pct,session_excess_pct,separate_DoltHub_mirror_panel,10,0.920353788885559,-0.0430213616776078,0.66896815887254,-1.5856647023576,1.49962197900239,-0.0643100289707582,0.950301285829096,0.000893399503932191,2,descriptive_approximate_HC1_interval,-0.0298897892922041,-0.647333660244695,0.611239673448846,-0.248484848484848,0.488776304519243
