window,signal,outcome,omission_type,omitted,n,intercept,slope,slope_hc1_se,slope_95_lo,slope_95_hi,slope_hc1_t,slope_hc1_p,r2,n_parameters,status,pearson,pearson_95_lo,pearson_95_hi,spearman,spearman_asymptotic_p
all,predicted_proxy_vs_origin_implied_guide_pct,gap_excess_pct,event,2023Q2,12,-4.41922701212045,1.39485886108887,0.674042467151848,-0.107001347860848,2.89671907003858,2.06939314518685,0.0653502337925435,0.218519310226048,2,descriptive_approximate_HC1_interval,0.467460490550857,-0.145466288751335,0.821084555287303,0.34965034965035,0.26523878689279
all,predicted_proxy_vs_origin_implied_guide_pct,gap_excess_pct,event,2023Q4,12,-6.8315963803553,1.61319508945867,0.741294678070978,-0.0385123835219308,3.26490256243928,2.17618598538517,0.0545963102094574,0.21102497248518,2,descriptive_approximate_HC1_interval,0.459374544881603,-0.155530471491377,0.817700928305325,0.426573426573427,0.166699987624945
all,predicted_proxy_vs_origin_implied_guide_pct,gap_excess_pct,event,2024Q1,12,-4.98338634057951,1.26141533010067,0.747564286423986,-0.404261700838006,2.92709236103935,1.68736703051281,0.12242515875529,0.147891532927887,2,descriptive_approximate_HC1_interval,0.384566682030421,-0.242956205456172,0.785177027533268,0.307692307692308,0.33058925941211
all,predicted_proxy_vs_origin_implied_guide_pct,gap_excess_pct,event,2024Q2,12,-4.82442459821833,1.32508730069517,0.719152350511402,-0.277283991976541,2.92745859336687,1.84256826770137,0.0951973867251211,0.167033452657312,2,descriptive_approximate_HC1_interval,0.408697262845387,-0.215827016970038,0.795915331169834,0.314685314685315,0.319138785503305
all,predicted_proxy_vs_origin_implied_guide_pct,gap_excess_pct,event,2024Q3,12,-3.1740603354971,0.775781747200448,0.802916702397595,-1.01322815232033,2.56479164672123,0.966204520199768,0.356727114428554,0.061216626152382,2,descriptive_approximate_HC1_interval,0.247419938873935,-0.380512427229883,0.719199094117686,0.153846153846154,0.633090681246262
all,predicted_proxy_vs_origin_implied_guide_pct,gap_excess_pct,event,2024Q4,12,-4.53926415425366,1.14908206243437,0.782169102383157,-0.593699303408775,2.89186342827751,1.46909671953709,0.172549747391528,0.128339551625206,2,descriptive_approximate_HC1_interval,0.358245099931885,-0.271470068852248,0.773182394357656,0.251748251748252,0.429918785032884
all,predicted_proxy_vs_origin_implied_guide_pct,gap_excess_pct,event,2025Q1,12,-7.24025866956663,1.52345592375953,0.726765500005747,-0.095878523086502,3.14279037060557,2.09621387331607,0.0624734876875696,0.280077844092351,2,descriptive_approximate_HC1_interval,0.529223812854591,-0.0641666546250164,0.846135211153105,0.461538461538462,0.130948069507173
all,predicted_proxy_vs_origin_implied_guide_pct,gap_excess_pct,event,2025Q2,12,-5.00272880718303,1.25917836476669,0.749780377547722,-0.411436424904331,2.9297931544377,1.67939626385667,0.123997886092981,0.146950970119941,2,descriptive_approximate_HC1_interval,0.383341844989483,-0.244307558109829,0.784625463929808,0.307692307692308,0.33058925941211
all,predicted_proxy_vs_origin_implied_guide_pct,gap_excess_pct,event,2025Q3,12,-4.57454020556205,1.10842999987365,0.864979827579379,-0.818865160140356,3.03572515988765,1.2814518495484,0.22895083308388,0.110953450243493,2,descriptive_approximate_HC1_interval,0.333096758080131,-0.297718063493035,0.76143821526117,0.188811188811189,0.556737056176831
all,predicted_proxy_vs_origin_implied_guide_pct,gap_excess_pct,event,2025Q4,12,-6.10061375059854,1.33516368015328,0.782357665076549,-0.408037829553044,3.07836518985961,1.70658988817173,0.118706030498522,0.174937050607336,2,descriptive_approximate_HC1_interval,0.418254767584705,-0.204808480590416,0.800102186173008,0.314685314685315,0.319138785503305
all,predicted_proxy_vs_origin_implied_guide_pct,gap_excess_pct,event,2026Q1,12,-4.82965271813273,0.820058781851507,0.932000533082529,-1.2565678159816,2.89668537968461,0.87989089355906,0.399569649316059,0.0594011530997737,2,descriptive_approximate_HC1_interval,0.243723517740439,-0.383871477663881,0.717294737700422,0.167832167832168,0.602099427786538
all,predicted_proxy_vs_origin_implied_guide_pct,gap_excess_pct,event,2026Q2,12,-5.2260460375472,1.23000055816949,0.779957545713674,-0.507853152335011,2.96785426867399,1.57700962690734,0.145872121369754,0.14110343530044,2,descriptive_approximate_HC1_interval,0.375637372076368,-0.252752308336616,0.781141390988581,0.34965034965035,0.26523878689279
all,predicted_proxy_vs_origin_implied_guide_pct,gap_excess_pct,event,2026Q3,12,-4.69826540460698,0.855992757497897,1.17798862616096,-1.76872946764928,3.48071498264507,0.72665621593271,0.484098974979937,0.0492528379193939,2,descriptive_approximate_HC1_interval,0.221929804035857,-0.403344084589564,0.705921156410019,0.167832167832168,0.602099427786538
all,predicted_proxy_vs_origin_implied_guide_pct,gap_excess_pct,year,2023,11,-6.02506170369805,1.75719312407159,0.682132784018034,0.214101560725713,3.30028468741746,2.57602796001245,0.0298907495246781,0.298576322174945,2,descriptive_approximate_HC1_interval,0.546421377853159,-0.0795186041389836,0.863315066774261,0.490909090909091,0.125204407138495
all,predicted_proxy_vs_origin_implied_guide_pct,gap_excess_pct,year,2024,9,-1.38396184936357,0.792225789243096,0.701208914720017,-0.865869815936913,2.4503213944231,1.12979993923697,0.295783109699808,0.0736287307072361,2,descriptive_approximate_HC1_interval,0.271346145554412,-0.479115457183974,0.792630411437113,0.15,0.700094230969142
