vintage_date,quarter,horizon_q,prior_basis,revenue_musd_forecast,leg
2021-11-04,2021Q4,0,PIT,1431.726663190047,naive
2021-11-04,2021Q4,0,full_sample,1471.1125827814571,guide_cushion
2021-11-04,2022Q1,1,PIT,1478.2231989868137,naive
2021-11-04,2022Q1,1,full_sample,1478.2231989868137,naive
2021-11-04,2022Q2,2,PIT,2224.8342397377637,naive
2021-11-04,2022Q2,2,full_sample,2224.8342397377637,naive
2022-02-15,2022Q1,0,PIT,1581.7529973227795,naive
2022-02-15,2022Q1,0,full_sample,1481.364238410596,guide_cushion
2022-02-15,2022Q2,1,PIT,2380.6541729717146,naive
2022-02-15,2022Q2,1,full_sample,2380.6541729717146,naive
2022-02-15,2022Q3,2,PIT,3989.156093586311,naive
2022-02-15,2022Q3,2,full_sample,3989.156093586311,naive
2022-05-03,2022Q2,0,PIT,2271.1555806087936,naive
2022-05-03,2022Q2,0,full_sample,2132.3443708609275,guide_cushion
2022-05-03,2022Q3,1,PIT,3805.6741826381062,naive
2022-05-03,2022Q3,1,full_sample,3805.6741826381062,naive
2022-05-03,2022Q4,2,PIT,2606.2998872604285,naive
2022-05-03,2022Q4,2,full_sample,2606.2998872604285,naive
2022-08-02,2022Q3,0,PIT,2955.342560553633,guide_cushion
2022-08-02,2022Q3,0,full_sample,2901.218543046358,guide_cushion
2022-08-02,2022Q4,1,PIT,2414.4779026217225,naive
2022-08-02,2022Q4,1,full_sample,2414.4779026217225,naive
2022-08-02,2023Q1,2,PIT,2378.229213483146,naive
2022-08-02,2023Q1,2,full_sample,2378.229213483146,naive
2022-11-01,2022Q4,0,PIT,1898.302175162312,guide_cushion
2022-11-01,2022Q4,0,full_sample,1886.3046357615895,guide_cushion
2022-11-01,2023Q1,1,PIT,1945.4430040232455,naive
2022-11-01,2023Q1,1,full_sample,1945.4430040232455,naive
2022-11-01,2023Q2,2,PIT,2712.532856504247,naive
2022-11-01,2023Q2,2,full_sample,2712.532856504247,naive
2023-02-14,2023Q1,0,PIT,1845.146739130435,guide_cushion
2023-02-14,2023Q1,0,full_sample,1829.9205298013246,guide_cushion
2023-02-14,2023Q2,1,PIT,2612.1462140992166,naive
2023-02-14,2023Q2,1,full_sample,2612.1462140992166,naive
2023-02-14,2023Q3,2,PIT,3580.527415143603,naive
2023-02-14,2023Q3,2,full_sample,3580.527415143603,naive
2023-05-09,2023Q2,0,PIT,2463.332309110463,guide_cushion
2023-05-09,2023Q2,0,full_sample,2460.3973509933776,guide_cushion
2023-05-09,2023Q3,1,PIT,3474.5606361829027,naive
2023-05-09,2023Q3,1,full_sample,3474.5606361829027,naive
2023-05-09,2023Q4,2,PIT,2291.475149105368,naive
2023-05-09,2023Q4,2,full_sample,2291.475149105368,naive
2023-08-03,2023Q3,0,PIT,3462.880434782609,guide_cushion
2023-08-03,2023Q3,0,full_sample,3434.30463576159,guide_cushion
2023-08-03,2023Q4,1,PIT,2245.5171102661598,naive
2023-08-03,2023Q4,1,full_sample,2245.5171102661598,naive
2023-08-03,2024Q1,2,PIT,2146.3460076045626,naive
2023-08-03,2024Q1,2,full_sample,2146.3460076045626,naive
2023-11-01,2023Q4,0,PIT,2206.735193578123,guide_cushion
2023-11-01,2023Q4,0,full_sample,2204.1059602649007,guide_cushion
2023-11-01,2024Q1,1,PIT,2141.3821081830793,naive
2023-11-01,2024Q1,1,full_sample,2141.3821081830793,naive
2023-11-01,2024Q2,2,PIT,2925.848821081831,naive
2023-11-01,2024Q2,2,full_sample,2925.848821081831,naive
2024-02-13,2024Q1,0,PIT,2101.9769085380885,guide_cushion
2024-02-13,2024Q1,0,full_sample,2101.58940397351,guide_cushion
2024-02-13,2024Q2,1,PIT,2896.6940063091483,naive
2024-02-13,2024Q2,1,full_sample,2896.6940063091483,naive
2024-02-13,2024Q3,2,PIT,3961.380651945321,naive
2024-02-13,2024Q3,2,full_sample,3961.380651945321,naive
2024-05-08,2024Q2,0,PIT,2778.7109376284,guide_cushion
2024-05-08,2024Q2,0,full_sample,2778.198675496689,guide_cushion
2024-05-08,2024Q3,1,PIT,4002.4059405940593,naive
2024-05-08,2024Q3,1,full_sample,4002.4059405940593,naive
2024-05-08,2024Q4,2,PIT,2613.287128712871,naive
2024-05-08,2024Q4,2,full_sample,2613.287128712871,naive
2024-08-06,2024Q3,0,PIT,3793.8119812638674,guide_cushion
2024-08-06,2024Q3,0,full_sample,3793.112582781457,guide_cushion
2024-08-06,2024Q4,1,PIT,2453.7294685990337,naive
2024-08-06,2024Q4,1,full_sample,2453.7294685990337,naive
2024-08-06,2025Q1,2,PIT,2369.6521739130435,naive
2024-08-06,2025Q1,2,full_sample,2369.6521739130435,naive
2024-11-07,2024Q4,0,PIT,2475.5142270861834,guide_cushion
2024-11-07,2024Q4,0,full_sample,2475.774834437086,guide_cushion
2024-11-07,2025Q1,1,PIT,2353.2363850456286,naive
2024-11-07,2025Q1,1,full_sample,2353.2363850456286,naive
2024-11-07,2025Q2,2,PIT,3018.9979393582576,naive
2024-11-07,2025Q2,2,full_sample,3018.9979393582576,naive
2025-02-13,2025Q1,0,PIT,2301.0778224333208,guide_cushion
2025-02-13,2025Q1,0,full_sample,2306.6225165562914,guide_cushion
2025-02-13,2025Q2,1,PIT,3072.6059513074842,naive
2025-02-13,2025Q2,1,full_sample,3072.6059513074842,naive
2025-02-13,2025Q3,2,PIT,4172.8403967538325,naive
2025-02-13,2025Q3,2,full_sample,4172.8403967538325,naive
2025-05-01,2025Q2,0,PIT,3081.8268965730354,guide_cushion
2025-05-01,2025Q2,0,full_sample,3096.0000000000005,guide_cushion
2025-05-01,2025Q3,1,PIT,3958.4985994397757,naive
2025-05-01,2025Q3,1,full_sample,3958.4985994397757,naive
2025-05-01,2025Q4,2,PIT,2630.513538748833,naive
2025-05-01,2025Q4,2,full_sample,2630.513538748833,naive
2025-08-06,2025Q3,0,PIT,4139.566689730157,guide_cushion
2025-08-06,2025Q3,0,full_sample,4162.172185430464,guide_cushion
2025-08-06,2025Q4,1,PIT,2794.061135371179,naive
2025-08-06,2025Q4,1,full_sample,2794.061135371179,naive
2025-08-06,2026Q1,2,PIT,2559.720524017467,naive
2025-08-06,2026Q1,2,full_sample,2559.720524017467,naive
2025-11-06,2025Q4,0,PIT,2742.7074607169916,guide_cushion
2025-11-06,2025Q4,0,full_sample,2757.695364238411,guide_cushion
2025-11-06,2026Q1,1,PIT,2492.9903536977495,naive
2025-11-06,2026Q1,1,full_sample,2492.9903536977495,naive
2025-11-06,2026Q2,2,PIT,3397.1382636655953,naive
2025-11-06,2026Q2,2,full_sample,3397.1382636655953,naive
2026-02-12,2026Q1,0,PIT,2661.139952591579,guide_cushion
2026-02-12,2026Q1,0,full_sample,2675.682119205298,guide_cushion
2026-02-12,2026Q2,1,PIT,3468.0193548387097,naive
2026-02-12,2026Q2,1,full_sample,3468.0193548387097,naive
2026-02-12,2026Q3,2,PIT,4587.060483870968,naive
2026-02-12,2026Q3,2,full_sample,4587.060483870968,naive
2026-05-07,2026Q2,0,PIT,3639.950050096528,guide_cushion
2026-05-07,2026Q2,0,full_sample,3659.8410596026492,guide_cushion
2026-05-07,2026Q3,1,PIT,4826.764964788732,naive
2026-05-07,2026Q3,1,full_sample,4826.764964788732,naive
2026-05-07,2026Q4,2,PIT,3274.4207746478874,naive
2026-05-07,2026Q4,2,full_sample,3274.4207746478874,naive
2026-08-06,2026Q3,0,PIT,4814.690225759178,guide_cushion
2026-08-06,2026Q3,0,full_sample,4849.0331125827815,guide_cushion
2026-08-06,2026Q4,1,PIT,3237.410852713178,naive
2026-08-06,2026Q4,1,full_sample,3237.410852713178,naive
2026-08-06,2027Q1,2,PIT,3120.8733850129197,naive
2026-08-06,2027Q1,2,full_sample,3120.8733850129197,naive
2026-08-06,2027Q2,3,PIT,4204.671834625323,naive
2026-08-06,2027Q2,3,full_sample,4204.671834625323,naive
2026-08-06,2027Q3,4,PIT,5610.9180667116,naive_chained
2026-08-06,2027Q3,4,full_sample,5650.940397350993,naive_chained
2026-08-06,2027Q4,5,PIT,3772.7966268052796,naive_chained
2026-08-06,2027Q4,5,full_sample,3772.7966268052796,naive_chained
2026-09-11,2026Q3,0,PIT,4814.690225759178,guide_cushion
2026-09-11,2026Q3,0,full_sample,4849.0331125827815,guide_cushion
2026-09-11,2026Q4,1,PIT,3237.410852713178,naive
2026-09-11,2026Q4,1,full_sample,3237.410852713178,naive
2026-09-11,2027Q1,2,PIT,3120.8733850129197,naive
2026-09-11,2027Q1,2,full_sample,3120.8733850129197,naive
2026-09-11,2027Q2,3,PIT,4204.671834625323,naive
2026-09-11,2027Q2,3,full_sample,4204.671834625323,naive
2026-09-11,2027Q3,4,PIT,5610.9180667116,naive_chained
2026-09-11,2027Q3,4,full_sample,5650.940397350993,naive_chained
2026-09-11,2027Q4,5,PIT,3772.7966268052796,naive_chained
2026-09-11,2027Q4,5,full_sample,3772.7966268052796,naive_chained
