guide_id,guide_date,print_quarter,target_period,is_fy,fy,metric,guide_type,value,unit,quote,note
ABNB-4Q21-adj_ebitda_margin_yoy_pts-FY2022-033,2022-02-15,2021Q4,FY2022,True,2022,adj_ebitda_margin_yoy_pts,point,0.0,pts,we would expect Adjusted EBITDA margin to be directionally in-line with 2021,FY21 margin 26.6%
ABNB-1Q22-adj_ebitda_margin_yoy_pts-2Q22-039,2022-05-03,2022Q1,2022Q2,False,2022,adj_ebitda_margin_yoy_pts,floor,10.0,pts,driving a low double-digit EBITDA margin percentage improvement on a year-over-year basis,'low double-digit' improvement read as >=10 points y/y; 2Q21 margin 16.3%
ABNB-1Q22-adj_ebitda_margin_yoy_pts-FY2022-040,2022-05-03,2022Q1,FY2022,True,2022,adj_ebitda_margin_yoy_pts,floor,0.0,pts,We currently anticipate delivering modest Adjusted EBITDA margin expansion for the full-year 2022 relative to 2021,
ABNB-2Q22-adj_ebitda_margin_pct-3Q22-047,2022-08-02,2022Q2,2022Q3,False,2022,adj_ebitda_margin_pct,ceiling,49.0,pct,We expect Q3 2022 Adjusted EBITDA margin to be at or slightly below last year's all-time high margin of 49%,ceiling from the stated 3Q21 margin; actual 3Q22 50.5%
ABNB-2Q22-adj_ebitda_margin_yoy_pts-FY2022-048,2022-08-02,2022Q2,FY2022,True,2022,adj_ebitda_margin_yoy_pts,floor,0.0,pts,We continue to forecast delivering Adjusted EBITDA margin expansion for the full-year 2022 relative to 2021,
ABNB-3Q22-adj_ebitda_margin_pct-4Q22-055,2022-11-01,2022Q3,2022Q4,False,2022,adj_ebitda_margin_pct,floor,22.0,pct,expect quarterly Adjusted EBITDA margin to be in-line to modestly higher than last year's margin of 22%,
ABNB-4Q22-adj_ebitda_margin_yoy_pts-1Q23-062,2023-02-14,2022Q4,2023Q1,False,2023,adj_ebitda_margin_yoy_pts,ceiling,0.0,pts,"In Q1 2023, we expect Adjusted EBITDA margin to be slightly down on a year-over-year basis",
ABNB-4Q22-adj_ebitda_margin_yoy_pts-FY2023-064,2023-02-14,2022Q4,FY2023,True,2023,adj_ebitda_margin_yoy_pts,point,0.0,pts,"For the full year 2023, we expect to maintain the strong Adjusted EBITDA margin we delivered in 2022",
ABNB-1Q23-adj_ebitda_margin_yoy_pts-2Q23-072,2023-05-09,2023Q1,2023Q2,False,2023,adj_ebitda_margin_yoy_pts,ceiling,0.0,pts,"we expect Adjusted EBITDA to be similar to Adjusted EBITDA in Q2 2022 on a nominal basis, but lower on a margin basis",
ABNB-1Q23-adj_ebitda_margin_yoy_pts-FY2023-074,2023-05-09,2023Q1,FY2023,True,2023,adj_ebitda_margin_yoy_pts,point,0.0,pts,We continue to anticipate a full year Adjusted EBITDA margin that is broadly in-line with full-year 2022,
