vintage_date,prior_basis,years,share_q1,share_q2,share_q3,share_q4
2023-02-14,PIT,FY2021-22,0.021053604644823,0.1908667042456091,0.5964349324013571,0.1916447587082108
2023-05-09,PIT,FY2021-22,0.021053604644823,0.1908667042456091,0.5964349324013571,0.1916447587082108
2023-08-03,PIT,FY2021-22,0.021053604644823,0.1908667042456091,0.5964349324013571,0.1916447587082108
2023-11-01,PIT,FY2021-22,0.021053604644823,0.1908667042456091,0.5964349324013571,0.1916447587082108
2024-02-13,PIT,FY2021-23,0.0379430272410874,0.20197756558248195,0.5649743239460093,0.1951050832304214
2024-05-08,PIT,FY2021-23,0.0379430272410874,0.20197756558248195,0.5649743239460093,0.1951050832304214
2024-08-06,PIT,FY2021-23,0.0379430272410874,0.20197756558248195,0.5649743239460093,0.1951050832304214
2024-11-07,PIT,FY2021-23,0.0379430272410874,0.20197756558248195,0.5649743239460093,0.1951050832304214
2025-02-13,PIT,FY2022-24,0.08517676975320958,0.2301169019137671,0.4961604100470102,0.18854591828601308
2025-05-01,PIT,FY2022-24,0.08517676975320958,0.2301169019137671,0.4961604100470102,0.18854591828601308
2025-08-06,PIT,FY2022-24,0.08517676975320958,0.2301169019137671,0.4961604100470102,0.18854591828601308
2025-11-06,PIT,FY2022-24,0.08517676975320958,0.2301169019137671,0.4961604100470102,0.18854591828601308
2026-02-12,PIT,FY2023-25,0.09123028189413052,0.22938638025776018,0.48796546310950273,0.19141787473860658
2026-05-07,PIT,FY2023-25,0.09123028189413052,0.22938638025776018,0.48796546310950273,0.19141787473860658
2026-08-06,PIT,FY2023-25,0.09123028189413052,0.22938638025776018,0.48796546310950273,0.19141787473860658
2026-09-11,PIT,FY2023-25,0.09123028189413052,0.22938638025776018,0.48796546310950273,0.19141787473860658
,full_sample,FY2023-25,0.09123028189413052,0.22938638025776018,0.48796546310950273,0.19141787473860658
