method,object,target,window,horizon_q,prior_basis,spec_id,n,mae,rw_mae,bias,cov80,n_params,mae_ratio_seasonal_naive,rw_mae_ratio_seasonal_naive,mae_ratio_street,rw_mae_ratio_street,beats_seasonal_naive,rw_beats_seasonal_naive,survives_both_windows,rw_survives_both_windows,n_cmp_seasonal_naive,d_mean_seasonal_naive,t_nw1_seasonal_naive,p_nw1_seasonal_naive,k_better_seasonal_naive,p_sign_seasonal_naive,n_cmp_street,d_mean_street,t_nw1_street,p_nw1_street,k_better_street,p_sign_street,n_min_both_windows,w1_p_sign_seasonal_naive,survives_both_windows_n8,survives_both_windows_sig,is_oracle
street-bias,dispersion_conditioned,adj_ebitda_margin_pct,W1,0,PIT,rw_hl4_med,14,1.2232269750553424,0.8597211937888567,0.1341344995765382,1.0,5,0.5467993830326132,0.4494819588180263,0.7683210101496962,0.6877342496762582,True,True,True,True,14,-1.0138402437684657,-1.7050637391499524,0.08818253747634075,10.0,0.08978271484375,14,-0.3688510221570654,-0.9788644531288735,0.3276469580276675,9.0,0.21197509765625,10,0.08978271484375,True,True,False
street-bias,dispersion_conditioned,adj_ebitda_margin_pct,W1,0,PIT,rw_hl4,14,1.329812600239019,0.820465429271642,0.4425150631005622,1.0,5,0.5944446322619665,0.428958144751823,0.8352684997640862,0.6563315880334362,True,True,True,True,14,-0.9072546185847891,-1.315304537230295,0.1884075738712503,10.0,0.08978271484375,14,-0.2622653969733888,-0.5711464359426434,0.567900383662489,9.0,0.21197509765625,10,0.08978271484375,True,True,False
street-bias,dispersion_conditioned,adj_ebitda_margin_pct,W1,0,PIT,rw_hl4_usd,14,1.329812600239019,0.820465429271642,0.4425150631005622,1.0,5,0.5944446322619665,0.428958144751823,0.8352684997640862,0.6563315880334362,True,True,True,True,14,-0.9072546185847891,-1.315304537230295,0.1884075738712503,10.0,0.08978271484375,14,-0.2622653969733888,-0.5711464359426434,0.567900383662489,9.0,0.21197509765625,10,0.08978271484375,True,True,False
street-bias,street_plus_flowthrough,adj_ebitda_margin_pct,W1,0,PIT,rw_hl4_med,14,1.548492300753299,1.1324327197945816,0.8687228999369649,1.0,6,0.6921974841540327,0.5920617995697608,0.9726233912311938,0.9058899239467202,True,True,True,True,14,-0.6885749180705089,-0.8519358829702575,0.3942496795370731,9.0,0.21197509765625,14,-0.043585696459108654,-0.07258785753750617,0.9421340895107795,7.0,0.604736328125,10,0.21197509765625,True,False,False
baselines-margin,street,adj_ebitda_margin_pct,W1,0,PIT,street|adj_ebitda_margin_pct|h0|PIT,14,1.5920779972124075,1.2500776196525898,-1.2191457761029765,1.0,1,0.7116808935448443,0.6535692515380962,1.0,1.0,True,True,True,True,14,-0.6449892216114003,-1.8737857377835032,0.060959962949183044,9.0,0.21197509765625,14,0.0,0.0,1.0,0.0,,10,0.21197509765625,True,False,False
street-bias,street_plus_bias,adj_ebitda_margin_pct,W1,0,PIT,rw_hl4,14,1.5994726552413805,1.0174651245787705,1.0398862468100296,1.0,3,0.714986407999998,0.531954103875461,1.0046446581398147,0.8139215586161243,True,True,True,True,14,-0.6375945635824278,-0.7821521810185725,0.43412514344135844,10.0,0.08978271484375,14,0.00739465802897245,0.011768719060005584,0.9906101375157221,8.0,0.395263671875,10,0.08978271484375,True,True,False
street-bias,street_plus_bias,adj_ebitda_margin_pct,W1,0,PIT,rw_hl4_usd,14,1.5994726552413805,1.0174651245787705,1.0398862468100296,1.0,3,0.714986407999998,0.531954103875461,1.0046446581398147,0.8139215586161243,True,True,True,True,14,-0.6375945635824278,-0.7821521810185725,0.43412514344135844,10.0,0.08978271484375,14,0.00739465802897245,0.011768719060005584,0.9906101375157221,8.0,0.395263671875,10,0.08978271484375,True,True,False
street-bias,street_plus_bias,adj_ebitda_margin_pct,W1,0,PIT,rw_hl4_med,14,1.613628872402981,1.1298720394302937,0.7292502038012826,1.0,3,0.7213144329437652,0.5907230171431296,1.0135363187157331,0.9038415068532284,True,True,True,True,14,-0.6234383464208271,-0.9011812234454005,0.36749197258909616,10.0,0.08978271484375,14,0.021550875190573273,0.04202205664541088,0.9664811149849524,7.0,0.604736328125,10,0.08978271484375,True,True,False
street-bias,street_plus_flowthrough,adj_ebitda_margin_pct,W1,0,PIT,rw_hl4,14,1.6607963792190017,1.133875761485544,0.6924918534695756,1.0,6,0.7423989611238437,0.592816254863635,1.0431626981384794,0.9070442856185684,True,True,True,True,14,-0.5762708396048063,-0.7478612273079147,0.4545438664867405,9.0,0.21197509765625,14,0.06871838200659398,0.1211488729310609,0.9035731192231988,8.0,0.395263671875,10,0.21197509765625,True,False,False
street-bias,street_plus_flowthrough,adj_ebitda_margin_pct,W1,0,PIT,rw_hl4_usd,14,1.6607963792190017,1.133875761485544,0.6924918534695756,1.0,6,0.7423989611238437,0.592816254863635,1.0431626981384794,0.9070442856185684,True,True,True,True,14,-0.5762708396048063,-0.7478612273079147,0.4545438664867405,9.0,0.21197509765625,14,0.06871838200659398,0.1211488729310609,0.9035731192231988,8.0,0.395263671875,10,0.21197509765625,True,False,False
