quarter,print_date,knowable_from,has_actual,source,revenue_musd,nights_m,gbv_musd,adj_ebitda_musd,adj_ebitda_margin_pct,cor_cash_musd,ops_cash_musd,pd_cash_musd,sm_cash_musd,ga_cash_musd,ga_cash_ex_reserves_musd,total_cash_costs_musd,sbc_musd,da_musd,op_income_musd,op_margin_pct,net_income_musd,eps_diluted,fcf_musd,fcf_margin_pct,interest_income_musd,tax_rate_pct,tax_provision_musd,pretax_income_musd,diluted_shares_m,cfo_musd,capex_musd,adj_ebitda_margin_yoy_pp,cor_cash_pct_rev,cor_cash_per_night,ops_cash_pct_rev,ops_cash_per_night,pd_cash_pct_rev,pd_cash_per_night,sm_cash_pct_rev,sm_cash_per_night,ga_cash_pct_rev,ga_cash_per_night,total_cash_costs_pct_rev,sbc_pct_rev,adj_ebitda_per_night,revenue_per_night,eps_source
2020Q1,,,False,forward_row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ws02:reported
2020Q2,,,False,forward_row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ws02:reported
2020Q3,2020-11-15,2020-11-15,True,ws02,1342.331,61.8,8029.999999999999,501.4,37.35293306941433,227.325,165.041,192.984,111.95,174.133,173.233,840.9309999999999,29.4,29.6,418.737,31.19476492757748,219.328,0.0,330.7,24.63624843648847,4.325,28.569753657360966,87.724,307.052,299.206,338.3,7.6,,16.93509276028044,3.6783980582524274,12.295104560648603,2.670566343042071,14.376781881667043,3.122718446601942,8.339969798805214,1.8114886731391586,12.97243377378605,2.817686084142395,62.64706693058567,2.1902198489046296,8.11326860841424,21.72056634304207,ws02:reported
2020Q4,2021-02-25,2021-02-25,True,ws02,859.264,46.3,5910.0,-20.5,-2.38576269924028,209.747,188.404,247.49,206.522,201.372,200.67200000000003,879.764,2891.5,32.4,-3100.18,-360.7948197527186,-3887.851,-11.24,-267.0,-31.07310442425145,3.287,2.621188417688958,-104.651,-3992.502,345.755,-259.2,7.8,,24.410076530612244,4.530172786177107,21.926206614032477,4.069200863930885,28.80255660658424,5.345356371490281,24.03475532548786,4.460518358531318,23.4354051839714,4.349287257019439,102.38576269924027,336.50891926113513,-0.44276457883369336,18.558617710583153,ws02:reported
2021Q1,2021-05-13,2021-05-13,True,ws02,886.936,64.4,10300.0,-58.6,-6.607015613302425,254.515,174.024,219.346,203.224,141.305,140.705,945.5360000000001,229.5,38.3,-446.945,-50.39202377623639,-1172.211,-1.95,599.0,67.53587632027565,3.052,-0.5411260980768537,6.309,-1165.902,600.96,606.0,7.0,33.10408995432999,28.69598257371445,3.9520962732919247,19.620806912787394,2.70223602484472,24.73075847637259,3.4059937888198757,22.913039948767437,3.155652173913043,15.931814696889065,2.1941770186335403,106.60701561330242,25.875598690322636,-0.9099378881987578,13.772298136645961,ws02:reported
2021Q2,2021-08-12,2021-08-12,True,ws02,1335.196,83.1,13400.0,218.0,16.327190914292736,294.427,193.889,205.922,291.259,167.575,167.575,1117.196,233.0,36.0,-51.278,-3.8404848426747837,-68.217,-0.11,782.0,58.568180252187695,2.942,-19.71255089147831,11.233,-56.984,611.739,789.6,7.6,135.00426858460165,22.051219446433336,3.543044524669074,14.521388620097726,2.333200962695548,15.422604621343984,2.478002406738869,21.813950910577926,3.504921780986763,12.550591823222959,2.016546329723225,83.67280908570727,17.45062148178994,2.6233453670276776,16.06734055354994,ws02:reported
2021Q3,2021-11-04,2021-11-04,True,ws02,2237.432,79.7,11900.0,1101.0,49.208199400026466,311.58,217.168,213.133,267.145,166.059,164.059,1136.4319999999998,211.0,34.0,851.973,38.07816282237851,833.893,1.22,529.2,23.652115460939154,2.962,1.947774022938229,16.565,850.458,681.916,534.8,5.6,11.855266330612139,13.925786347920296,3.909410288582183,9.706127381748361,2.724818067754078,9.525786705473061,2.674190715181932,11.939804204105423,3.3518820577164363,7.421856843023611,2.0835508155583438,50.79180059997354,9.43045419927846,13.814303638644917,28.073174404015052,ws02:reported
2021Q4,2022-02-15,2022-02-15,True,ws02,1532.436,73.4,11300.0,333.0,21.730108141547184,295.478,213.646,241.486,324.403,155.769,155.769,1199.436,226.0,30.0,75.25,4.910482395349627,54.535,0.08,378.0,24.666609241756262,4.044,24.704534158060422,17.893,72.428,680.896,382.0,4.0,24.115870840787466,19.28158826861285,4.02558583106267,13.941593645672642,2.9107084468664848,15.758308993001991,3.2899999999999996,21.169105920247244,4.419659400544959,10.164796441743736,2.1221934604904633,78.26989185845281,14.747761081050042,4.536784741144414,20.877874659400543,ws02:reported
2022Q1,2022-05-03,2022-05-03,True,ws02,1508.937,102.1,17200.0,229.0,15.176246589486507,362.623,221.317,245.051,323.409,166.459,167.459,1279.937,195.0,29.0,-5.131,-0.3400407041513331,-18.792,-0.03,1196.0,79.26109572500377,4.744,-132.40168191936678,10.706,-8.086,635.314,1202.0,6.0,21.783262202788933,24.031685882180632,3.551645445641528,14.667080202818276,2.167649363369246,16.23997555895309,2.400107737512243,21.432902765324197,3.1675710088148876,11.031540746896658,1.6303525954946132,84.82375341051349,12.923004737772354,2.2428991185112634,14.779010773751224,ws02:reported
2022Q2,2022-08-02,2022-08-02,True,ws02,2104.107,103.7,17000.0,711.0,33.79105720383992,390.107,241.47,230.118,349.882,187.836,185.836,1393.107,247.0,26.0,368.823,17.52871883416575,378.841,0.56,796.0,37.830775716253974,20.247,1.11455948798129,4.27,383.111,683.536,801.0,5.0,17.463866289547184,18.540264349674235,3.761880424300868,11.47612740226614,2.32854387656702,10.936611113408206,2.2190742526518803,16.62852697129946,3.3739826422372228,8.927112547033017,1.8113404050144648,66.20894279616009,11.738946736073784,6.856316297010608,20.290327868852458,ws02:reported
