target,window,horizon_q,n,hardest_ew,mae_ew,hardest_rw,rw_mae,seasonal_naive_mae_ew,seasonal_naive_mae_rw,weightings_agree
adj_ebitda_margin_pct,W1,0,14,street,1.5920779972124077,street,1.2500776196525898,2.237067218823808,1.9126934394644228,True
adj_ebitda_margin_pct,W1,1,13,street,1.641185090162728,street,1.2518242375424085,2.3503181244739397,1.9341452194061082,True
adj_ebitda_margin_pct,W1,2,12,seasonal_naive,2.477841075589576,seasonal_naive,1.959467748384467,2.477841075589576,1.959467748384467,True
adj_ebitda_margin_pct,W2,0,10,street,1.3111779281441884,street,1.1163388955245885,1.9588565169598684,1.7549763441101764,True
adj_ebitda_margin_pct,W2,1,9,street,0.9929592231647922,street,0.9687532106795841,1.5783802014718051,1.6013216367285434,True
adj_ebitda_margin_pct,W2,2,8,seasonal_naive,1.7208948015244596,seasonal_naive,1.663003881583562,1.7208948015244596,1.663003881583562,True
adj_ebitda_musd,W1,0,14,q_guide_implied,63.170004658540584,q_guide_implied,58.04283544856875,123.42857142857144,115.99296979805496,True
adj_ebitda_musd,W1,1,13,street,65.49605000000003,street,57.93268040986621,130.38461538461542,117.5439459681843,True
adj_ebitda_musd,W1,2,12,seasonal_naive_drift,114.58333333333333,seasonal_naive_drift,91.41372912203694,132.25,117.76087111335046,True
adj_ebitda_musd,W2,0,10,street,58.11772799999999,q_guide_implied,55.99248867244861,97.8,106.40999769497864,False
adj_ebitda_musd,W2,1,9,street,46.73704000000001,street,50.82027590775781,90.66666666666666,104.05573299087301,True
adj_ebitda_musd,W2,2,8,seasonal_naive_drift,77.0,seasonal_naive_drift,74.32895395016476,92.625,105.59669008296592,True
cor_cash_musd,W1,0,14,seasonal_naive_drift,24.43914285714287,seasonal_naive_drift,23.72228244053558,53.651500000000006,60.804975513545365,True
cor_cash_musd,W1,1,13,seasonal_naive_drift,21.45376923076924,seasonal_naive_drift,23.952129334173392,52.74953846153847,60.71953332434555,True
cor_cash_musd,W1,2,12,seasonal_naive_drift,24.996833333333335,seasonal_naive_drift,26.505917910590313,53.65425,61.147443172952535,True
cor_cash_musd,W2,0,10,seasonal_naive_drift,26.8,seasonal_naive_drift,24.27735659920105,54.699999999999996,61.99882638470885,True
cor_cash_musd,W2,1,9,seasonal_naive_drift,28.33333333333333,seasonal_naive_drift,26.371634636718117,54.999999999999986,62.42228173754078,True
cor_cash_musd,W2,2,8,seasonal_naive_drift,29.875,seasonal_naive_drift,28.36456216796948,52.625,61.80826291129417,True
ops_cash_musd,W1,0,14,seasonal_naive_drift,18.836142857142864,seasonal_naive_drift,18.07328584423996,22.360642857142864,18.98414255726569,True
ops_cash_musd,W1,1,13,seasonal_naive,20.56661538461539,seasonal_naive,18.485193167165274,20.56661538461539,18.485193167165274,True
ops_cash_musd,W1,2,12,seasonal_naive,17.569666666666667,seasonal_naive,17.620469574581843,17.569666666666667,17.620469574581843,True
ops_cash_musd,W2,0,10,seasonal_naive,17.200000000000003,seasonal_naive,17.553172721683094,17.200000000000003,17.553172721683094,True
ops_cash_musd,W2,1,9,seasonal_naive,19.0,seasonal_naive,18.254207955784942,19.0,18.254207955784942,True
ops_cash_musd,W2,2,8,seasonal_naive,19.375,seasonal_naive,18.3737588112946,19.375,18.3737588112946,True
