quarter,qnum,revenue_musd,adj_ebitda_musd,sbc_musd,cfo_musd,capex_musd,fcf_reported_musd,unearned_fees_musd,funds_payable_musd,cash_musd,st_investments_musd,restricted_cash_musd,nights_m,gbv_musd,interest_income_musd,fcf_crosscheck_bridge_musd,fcf_crosscheck_delta_musd,d_unearned_fees_musd,fcf_exfloat_musd,fcf_less_sbc_musd,fcf_exfloat_less_sbc_musd,customer_float_musd,interest_earning_balances_musd,avg_interest_earning_balances_musd,avg_customer_float_musd,implied_yield_annualised_pct,customer_funds_share_of_balances_pct,interest_income_on_customer_funds_musd,fcf_margin_pct,fcf_exfloat_margin_pct,fcf_to_adj_ebitda_pct,fcf_exfloat_to_adj_ebitda_pct,fcf_less_sbc_to_adj_ebitda_pct,nights_yoy_pct,gbv_yoy_pct,revenue_yoy_pct,adj_ebitda_yoy_pct,fcf_reported_yoy_pct,fcf_exfloat_yoy_pct,unearned_fees_yoy_pct,sbc_yoy_pct,ttm_revenue_musd,ttm_adj_ebitda_musd,ttm_fcf_reported_musd,ttm_fcf_exfloat_musd,ttm_revenue_yoy_pct,ttm_adj_ebitda_yoy_pct,ttm_fcf_reported_yoy_pct,ttm_fcf_exfloat_yoy_pct
1Q21,1Q,887.0,-59.0,229.5,606.4,7.7,598.7,946.2,4014.9,4482.6,2086.7,19.9,64.4,10300.0,3.1,486.7,112.00000000000006,538.3000000000001,60.399999999999906,369.20000000000005,-169.10000000000008,4961.1,10604.1,9605.25,3775.1500000000005,0.12909606725488665,39.302985346555275,1.2183925457432137,67.49718151071026,6.809470124013519,-1014.7457627118646,-102.37288135593205,-625.7627118644069,,,,,,,,,,,,,,,,
2Q21,2Q,1335.0,217.0,232.9,789.7,7.7,782.0,1483.9,6301.7,5672.7,1755.3,14.8,83.1,13400.0,2.9,783.6,-1.6000000000000227,537.7,244.3,549.1,11.400000000000006,7785.6,13744.5,12174.3,6373.35,0.09528268565749161,52.35085384785984,1.5181747615879355,58.57677902621723,18.299625468164795,360.36866359447004,112.58064516129032,253.04147465437788,,,,,,,,,4423.4,638.0,,,,,,
3Q21,3Q,2237.0,1101.0,210.8,534.7,5.5,529.2,892.4,3940.5,5994.7,1926.0,14.8,79.7,11900.0,3.0,517.7,11.5,-591.5000000000001,1120.7000000000003,318.40000000000003,909.9000000000003,4832.9,11876.0,12810.25,6309.25,0.09367498682695498,49.25157588649714,1.4775472765949142,23.65668305766652,50.09834599910596,48.065395095367855,101.78928247048141,28.919164396003637,28.964401294498398,48.20719116236782,66.65425016762273,119.76047904191618,,,,,5318.1,1238.0,,,,,,
4Q21,4Q,1532.0,333.0,225.9,382.2,4.1,378.1,904.0,3715.0,6067.0,2255.0,15.0,73.4,11300.0,3.8,376.4,1.7000000000000455,11.600000000000023,366.49999999999994,152.20000000000002,140.59999999999994,4619.0,12052.0,11964.0,4725.95,0.12704781009695754,39.50142092945503,1.501053995319291,24.680156657963447,23.922976501305477,113.54354354354355,110.06006006006004,45.70570570570571,58.53131749460046,91.34056928052561,78.3261552787801,-1685.7142857142858,,,121.62294680068646,,5991.0,1592.0,2288.0,1791.9,,,,
1Q22,1Q,1509.0,229.0,195.0,1202.0,6.0,1196.0,1747.7,6104.7,6886.6,2435.7,14.8,102.1,17200.0,4.7,1196.0,0.0,843.7,352.29999999999995,1001.0,157.29999999999995,7852.4,15441.8,13746.9,6235.7,0.13675810546377729,45.36077224683383,2.13195629560119,79.25778661365142,23.346587143803838,522.2707423580786,153.8427947598253,437.117903930131,58.54037267080743,66.99029126213591,70.12401352874859,-488.13559322033893,99.76616001336227,483.2781456953651,84.70725005284294,-15.032679738562093,6613.0,1880.0,2885.3,2083.8,,,,
2Q22,2Q,2104.0,711.0,247.0,801.0,5.0,796.0,1980.9,7465.5,7838.0,2057.5,14.8,103.7,17000.0,20.3,794.7,1.2999999999999545,233.20000000000005,562.8,549.0,315.79999999999995,9446.4,17375.8,16408.8,8649.4,0.4948564185071425,52.71195943639998,10.700527765589197,37.832699619771866,26.74904942965779,111.9549929676512,79.1561181434599,77.21518987341773,24.78941034897715,26.865671641791057,57.602996254681635,227.64976958525347,1.7902813299232712,130.3724928366762,33.49282296650718,6.054100472305701,7382.0,2374.0,2899.3,2402.3,66.88520142876521,272.1003134796238,,
3Q22,3Q,2884.0,1457.0,234.0,964.0,6.0,958.0,1220.3,4805.4,7523.7,2103.9,1.5,99.7,15600.0,58.4,960.0,-2.0,-760.6000000000001,1718.6000000000001,724.0,1484.6000000000001,6025.7,14434.5,15905.15,7736.049999999999,1.4687066767682166,48.63864848806833,28.4049707170319,33.21775312066574,59.590846047156724,65.75154426904598,117.95470144131778,49.69114619080302,25.094102885821833,31.092436974789916,28.92266428252124,32.33424159854677,81.02796674225243,53.350584456143444,36.743612729717626,11.005692599620499,8029.0,2730.0,3328.1000000000004,3000.2,50.974972264530564,120.51696284329564,,
4Q22,4Q,1902.0,506.0,254.0,463.0,8.0,455.0,1182.0,4783.0,7378.0,2244.0,17.0,88.2,13500.0,103.0,455.0,0.0,-38.299999999999955,493.29999999999995,201.0,239.29999999999995,5965.0,14422.0,14428.25,5995.35,2.855509157382219,41.552856375513315,42.79944206677872,23.922187171398527,25.935856992639323,89.9209486166008,97.49011857707508,39.723320158102766,20.163487738419605,19.469026548672574,24.151436031331585,51.95195195195195,20.338534779158945,34.59754433833562,30.752212389380528,12.439132359451088,8399.0,2903.0,3405.0,3127.0,40.19362376898681,82.34924623115577,48.81993006993006,74.5075059992187
1Q23,1Q,1818.0,262.0,240.0,1587.0,6.0,1581.0,2172.0,7760.0,8166.0,2428.0,30.0,121.1,20400.0,146.0,1581.0,0.0,990.0,591.0,1341.0,351.0,9932.0,18384.0,16403.0,7948.5,3.5603243309150767,48.45759921965494,70.74809486069621,86.96369636963696,32.508250825082506,603.4351145038167,225.57251908396947,511.8320610687023,18.609206660137122,18.60465116279071,20.477137176938378,14.41048034934498,32.190635451505024,67.75475447062165,24.277622017508715,23.076923076923084,8708.0,2936.0,3790.0,3365.7,31.680024194767874,56.17021276595744,31.355491629986474,61.51742009789805
2Q23,2Q,2484.0,819.0,304.0,909.0,9.0,900.0,2347.0,9144.0,7905.0,2435.0,29.0,115.1,19100.0,191.0,900.0,0.0,175.0,725.0,596.0,421.0,11491.0,19513.0,18948.5,10711.5,4.031981423331662,56.52954059688102,107.97142254004275,36.231884057971016,29.186795491143318,109.89010989010988,88.52258852258852,72.77167277167277,10.993249758919955,12.352941176470589,18.060836501901136,15.189873417721511,13.065326633165819,28.820184790334057,18.48149830884951,23.076923076923084,9088.0,3044.0,3894.0,3527.8999999999996,23.11026821999458,28.22240943555181,34.30828130928154,46.85509719851806
3Q23,3Q,3397.0,1834.0,286.0,1325.0,15.0,1310.0,1467.0,5986.0,8175.0,2787.0,24.0,113.2,18300.0,192.0,1310.0,0.0,-880.0,2190.0,1024.0,1904.0,7453.0,16972.0,18242.5,9472.0,4.209949294230506,51.92270796217624,99.69159928737838,38.56343832793642,64.46864880777156,71.42857142857143,119.41112322791712,55.83424209378408,13.54062186559679,17.307692307692314,17.787794729542306,25.87508579272477,36.74321503131524,27.42930292098218,20.216340244202247,22.222222222222232,9601.0,3421.0,4246.0,3999.2999999999993,19.579026030638925,25.31135531135531,27.5803010726841,33.30111325911604
4Q23,4Q,2218.0,738.0,270.0,63.0,17.0,46.0,1427.0,5869.0,6874.0,3197.0,24.0,98.8,15500.0,192.0,46.0,0.0,-40.0,86.0,-224.0,-184.0,7296.0,15964.0,16468.0,7374.5,4.663589992713141,44.78078698081127,85.97911100315764,2.073940486925158,3.8773669972948603,6.233062330623306,11.653116531165312,-30.352303523035232,12.01814058956916,14.814814814814813,16.61409043112514,45.8498023715415,-89.8901098901099,-82.56638962092033,20.727580372250422,6.299212598425208,9917.0,3653.0,3837.0,3591.999999999999,18.073580188117646,25.835342748880464,12.687224669603525,14.870482890949766
