as_of,horizon,sessions,window_start,ticker,price_return_pct,abnb_rank_in_window,n_in_window,abnb_minus_qqq_pp,abnb_minus_mtum_pp
2026-09-04,3m,63,2026-06-05,ABNB,36.24,1.0,17,34.16,36.66
2026-09-04,3m,63,2026-06-05,DASH,35.03,,17,,
2026-09-04,3m,63,2026-06-05,EXPE,30.4,,17,,
2026-09-04,3m,63,2026-06-05,BKNG,16.55,,17,,
2026-09-04,3m,63,2026-06-05,UBER,7.14,,17,,
2026-09-04,3m,63,2026-06-05,IWM,5.35,,17,,
2026-09-04,3m,63,2026-06-05,IVE,4.94,,17,,
2026-09-04,3m,63,2026-06-05,SPY,4.69,,17,,
2026-09-04,3m,63,2026-06-05,IVW,4.52,,17,,
2026-09-04,3m,63,2026-06-05,JETS,3.08,,17,,
2026-09-04,3m,63,2026-06-05,QQQ,2.08,,17,,
2026-09-04,3m,63,2026-06-05,XLY,0.24,,17,,
2026-09-04,3m,63,2026-06-05,MTUM,-0.42,,17,,
2026-09-04,3m,63,2026-06-05,HLT,-9.26,,17,,
2026-09-04,3m,63,2026-06-05,H,-14.02,,17,,
2026-09-04,3m,63,2026-06-05,MAR,-14.09,,17,,
2026-09-04,3m,63,2026-06-05,TRIP,-21.33,,17,,
2026-09-04,6m,126,2026-03-09,ABNB,35.75,1.0,17,17.17,12.19
2026-09-04,6m,126,2026-03-09,EXPE,23.83,,17,,
2026-09-04,6m,126,2026-03-09,MTUM,23.55,,17,,
2026-09-04,6m,126,2026-03-09,DASH,19.9,,17,,
2026-09-04,6m,126,2026-03-09,QQQ,18.58,,17,,
2026-09-04,6m,126,2026-03-09,IVW,17.55,,17,,
2026-09-04,6m,126,2026-03-09,IWM,17.2,,17,,
2026-09-04,6m,126,2026-03-09,SPY,14.16,,17,,
2026-09-04,6m,126,2026-03-09,JETS,11.76,,17,,
2026-09-04,6m,126,2026-03-09,IVE,10.27,,17,,
2026-09-04,6m,126,2026-03-09,BKNG,9.09,,17,,
2026-09-04,6m,126,2026-03-09,H,6.68,,17,,
2026-09-04,6m,126,2026-03-09,MAR,2.74,,17,,
2026-09-04,6m,126,2026-03-09,HLT,2.64,,17,,
2026-09-04,6m,126,2026-03-09,UBER,2.6,,17,,
2026-09-04,6m,126,2026-03-09,XLY,0.68,,17,,
2026-09-04,6m,126,2026-03-09,TRIP,-12.06,,17,,
2026-09-04,12m,252,2025-09-05,ABNB,46.95,1.0,17,21.54,21.28
2026-09-04,12m,252,2025-09-05,EXPE,39.68,,17,,
2026-09-04,12m,252,2025-09-05,MAR,28.19,,17,,
2026-09-04,12m,252,2025-09-05,IWM,25.79,,17,,
2026-09-04,12m,252,2025-09-05,MTUM,25.68,,17,,
2026-09-04,12m,252,2025-09-05,QQQ,25.41,,17,,
2026-09-04,12m,252,2025-09-05,IVW,21.66,,17,,
2026-09-04,12m,252,2025-09-05,SPY,20.31,,17,,
2026-09-04,12m,252,2025-09-05,IVE,18.5,,17,,
2026-09-04,12m,252,2025-09-05,H,14.82,,17,,
2026-09-04,12m,252,2025-09-05,HLT,14.5,,17,,
2026-09-04,12m,252,2025-09-05,JETS,11.12,,17,,
2026-09-04,12m,252,2025-09-05,XLY,-1.49,,17,,
2026-09-04,12m,252,2025-09-05,BKNG,-11.64,,17,,
2026-09-04,12m,252,2025-09-05,DASH,-14.23,,17,,
2026-09-04,12m,252,2025-09-05,UBER,-16.74,,17,,
2026-09-04,12m,252,2025-09-05,TRIP,-47.11,,17,,
