scenario,quarter,prior_quarter,reference_growth_pct,m1_level_lap_pts,m2_pull_forward_pts,m3_cancellation_deferral_pts,m4_propensity_drag_pts,m3_plus_m4_tail_pts,total_rnpl_pts,nights_yoy_pct,nights_mm,reference_nights_mm,prior_year_nights_mm
bear,3Q26,3Q25,9.89,0.067,0.134,0.089,-1.425,-1.336,-1.135,8.76,145.3,146.8,133.6
bear,4Q26,4Q25,8.9,-0.78,-0.157,-0.101,-1.281,-1.382,-2.319,6.58,129.9,132.7,121.9
bear,1Q27,1Q26,8.17,-1.224,-0.942,-0.273,-0.456,-0.728,-2.894,5.28,164.4,169.0,156.2
bear,2Q27,2Q26,8.17,-1.83,-0.075,-0.126,-0.394,-0.521,-2.426,5.74,156.8,160.4,148.3
bear,3Q27,3Q26,8.17,-1.897,-0.304,-0.158,-0.133,-0.291,-2.492,5.68,153.5,158.8,145.3
bear,4Q27,4Q26,8.17,-1.93,-0.155,-0.118,-0.0,-0.118,-2.202,5.97,137.7,143.6,129.9
base,3Q26,3Q25,9.89,0.304,-0.113,-0.019,-0.568,-0.587,-0.396,9.49,146.3,146.8,133.6
base,4Q26,4Q25,8.9,-0.59,-0.156,-0.095,-0.446,-0.542,-1.288,7.61,131.2,132.7,121.9
base,1Q27,1Q26,8.17,-0.996,-0.457,-0.149,-0.097,-0.246,-1.699,6.47,166.3,169.0,156.2
base,2Q27,2Q26,8.17,-1.55,-0.043,-0.071,-0.065,-0.136,-1.729,6.44,157.9,160.4,148.3
base,3Q27,3Q26,8.17,-1.684,-0.043,-0.039,-0.033,-0.072,-1.799,6.37,155.6,158.8,146.3
base,4Q27,4Q26,8.17,-1.75,-0.043,-0.031,-0.0,-0.031,-1.824,6.35,139.5,143.6,131.2
bull,3Q26,3Q25,9.89,0.541,0.0,-0.022,-0.158,-0.18,0.361,10.25,147.3,146.8,133.6
bull,4Q26,4Q25,8.9,-0.4,0.0,-0.054,-0.096,-0.15,-0.55,8.35,132.1,132.7,121.9
bull,1Q27,1Q26,8.17,-0.768,0.0,-0.053,-0.011,-0.064,-0.832,7.34,167.7,169.0,156.2
bull,2Q27,2Q26,8.17,-1.27,0.0,-0.029,-0.0,-0.029,-1.299,6.87,158.5,160.4,148.3
bull,3Q27,3Q26,8.17,-1.471,0.0,-0.011,-0.0,-0.011,-1.482,6.69,157.1,158.8,147.3
bull,4Q27,4Q26,8.17,-1.57,0.0,-0.004,-0.0,-0.004,-1.574,6.6,140.8,143.6,132.1
bear,FY27,FY26,,,,,,,,5.64,612.4,,
base,FY27,FY26,,,,,,,,6.41,619.3,,
bull,FY27,FY26,,,,,,,,6.88,624.1,,
