scenario,quarter,rnpl_share_of_gbv_pct,unearned_fees_norm_musd,unearned_fees_musd,uf_shortfall_musd,fcf_drag_in_quarter_musd,prior_year_quarter,prior_year_drag_musd,yoy_change_in_drag_musd,label
central,3Q26,22.0,2068.117877737863,1762.096019900998,306.02185783686514,159.61191923276533,3Q25,-29.685062477230986,189.29698170999632,derived
central,4Q26,23.0,2047.6053181836114,1730.8466104091433,316.7587077744681,-10.736849937602983,4Q25,-74.68137651485404,63.944526577251054,derived
central,1Q27,25.0,3523.9369941628656,2931.3902430464764,592.5467511163893,-275.78804334192114,1Q26,-340.1940162252754,64.40597288335425,derived
central,2Q27,25.0,3593.539905828967,2989.2894893961134,604.2504164328539,-11.703665316464594,2Q26,-24.010886947378367,12.307221630913773,derived
bear,3Q26,24.0,2068.117877737863,1734.2758510067376,333.84202673112554,131.79175033850493,3Q25,-29.685062477230986,161.4768128157359,derived
bear,4Q26,27.0,2047.6053181836114,1675.7581394918443,371.8471786917671,-38.00515196064157,4Q25,-74.68137651485404,36.67622455421247,derived
bear,1Q27,30.0,3523.9369941628656,2812.8808928231983,711.0561013396673,-339.2089226479002,1Q26,-340.1940162252754,0.9850935773752099,derived
bear,2Q27,30.0,3593.539905828967,2868.4394061095427,725.1004997194245,-14.04439837975724,2Q26,-24.010886947378367,9.966488567621127,derived
bull,3Q26,21.0,2068.117877737863,1776.0061043481285,292.1117733897347,173.52200367989576,3Q25,-29.685062477230986,203.20706615712675,derived
bull,4Q26,21.0,2047.6053181836114,1758.3908458677927,289.21447231581874,2.897301073915969,4Q25,-74.68137651485404,77.57867758877,derived
bull,1Q27,20.0,3523.9369941628656,3049.899593269754,474.0374008931117,-184.82292857729294,1Q26,-340.1940162252754,155.37108764798245,derived
bull,2Q27,20.0,3593.539905828967,3110.139572682684,483.4003331462832,-9.362932253171493,2Q26,-24.010886947378367,14.647954694206874,derived
