item,value,unit
pre-print close 6 Aug 2026,151.64,usd
reaction-session open 7 Aug 2026,164.7,usd
reaction-session close 7 Aug 2026,178.07,usd
day-1 raw close-to-close,17.43,pct
day-1 QQQ-excess close-to-close,16.26,pct
overnight gap (raw),8.61,pct
intraday on the reaction day (raw),8.12,pct
gap share of the day-1 move,49.4,pct of |move|
last close in the file,181.94,usd
last date in the file,2026-09-04,date
sessions since the reaction day,20,sessions
raw return since the reaction-day close,2.17,pct
QQQ-excess since the reaction-day close,2.74,pct
"executable: reaction open to last close, raw",10.47,pct
high close since the print,190.5,usd
date of the high close,2026-08-25,date
drawdown from that high to the last close,-4.49,pct
"short interest, 2026-08-14",2.17,pct of shares out
