cell,definition,metric,metric_desc,n,mean_pct,median_pct,hit_rate_negative,hit_rate_positive,min_pct,max_pct,sd_pct,se_pct,mean_over_se,separable_from_noise
all prints 1Q21-2Q26,every print in the requested window,excess_1d_pct,day-1 close-to-close excess (NOT executable),22,-0.05,-0.26,0.545,0.455,-12.3,16.26,8.41,1.79,-0.03,no - |mean| < 1 standard error
all prints 1Q21-2Q26,every print in the requested window,open_1d_excess_pct,day-1 executable (reaction open -> reaction close),22,1.23,1.16,0.273,0.727,-6.25,8.67,3.74,0.8,1.54,weak - |mean| between 1 and 2 standard errors
all prints 1Q21-2Q26,every print in the requested window,gap_excess_pct,overnight gap excess (not executable),22,-1.3,-1.6,0.591,0.409,-15.4,12.14,7.42,1.58,-0.82,no - |mean| < 1 standard error
all prints 1Q21-2Q26,every print in the requested window,drift_5d_excess_pct,+1..+5 drift from reaction close,22,-2.16,-2.1,0.545,0.455,-14.17,3.64,4.84,1.03,-2.1,"|mean| > 2 standard errors, but this is one of many post-hoc cells on 22 prints - treat as a base rate"
all prints 1Q21-2Q26,every print in the requested window,drift_20d_excess_pct,+1..+20 drift from reaction close,22,-2.53,-3.27,0.591,0.409,-17.74,10.94,7.31,1.56,-1.62,weak - |mean| between 1 and 2 standard errors
all prints 1Q21-2Q26,every print in the requested window,drift_60d_excess_pct,+1..+60 drift from reaction close,21,-3.42,-5.09,0.619,0.381,-28.32,23.21,13.18,2.88,-1.19,weak - |mean| between 1 and 2 standard errors
all prints 1Q21-2Q26,every print in the requested window,open_20d_excess_pct,executable 20 sessions from reaction open,22,-1.93,-2.64,0.682,0.318,-19.32,12.82,7.92,1.69,-1.14,weak - |mean| between 1 and 2 standard errors
(a) nights ACCELERATING vs prior quarter,nights_yoy_accel_pts > 0 (02_kpi_panel_quarterly.csv),excess_1d_pct,day-1 close-to-close excess (NOT executable),8,3.52,4.0,0.25,0.75,-10.0,16.26,8.79,3.11,1.13,weak - |mean| between 1 and 2 standard errors
(a) nights ACCELERATING vs prior quarter,nights_yoy_accel_pts > 0 (02_kpi_panel_quarterly.csv),open_1d_excess_pct,day-1 executable (reaction open -> reaction close),8,-0.81,-2.38,0.625,0.375,-6.25,7.72,4.9,1.73,-0.47,no - |mean| < 1 standard error
(a) nights ACCELERATING vs prior quarter,nights_yoy_accel_pts > 0 (02_kpi_panel_quarterly.csv),gap_excess_pct,overnight gap excess (not executable),8,4.23,4.86,0.25,0.75,-5.86,12.14,5.75,2.03,2.08,"|mean| > 2 standard errors, but this is one of many post-hoc cells on 22 prints - treat as a base rate"
(a) nights ACCELERATING vs prior quarter,nights_yoy_accel_pts > 0 (02_kpi_panel_quarterly.csv),drift_5d_excess_pct,+1..+5 drift from reaction close,8,-3.33,-0.36,0.5,0.5,-14.17,2.35,6.48,2.29,-1.45,weak - |mean| between 1 and 2 standard errors
(a) nights ACCELERATING vs prior quarter,nights_yoy_accel_pts > 0 (02_kpi_panel_quarterly.csv),drift_20d_excess_pct,+1..+20 drift from reaction close,8,-3.44,-2.37,0.625,0.375,-17.74,9.61,9.59,3.39,-1.02,weak - |mean| between 1 and 2 standard errors
(a) nights ACCELERATING vs prior quarter,nights_yoy_accel_pts > 0 (02_kpi_panel_quarterly.csv),drift_60d_excess_pct,+1..+60 drift from reaction close,7,-5.86,-5.85,0.571,0.429,-24.45,10.07,13.17,4.98,-1.18,weak - |mean| between 1 and 2 standard errors
(a) nights ACCELERATING vs prior quarter,nights_yoy_accel_pts > 0 (02_kpi_panel_quarterly.csv),open_20d_excess_pct,executable 20 sessions from reaction open,8,-5.18,-5.78,0.75,0.25,-19.32,12.82,9.46,3.34,-1.55,weak - |mean| between 1 and 2 standard errors
(a) nights DECELERATING vs prior quarter,nights_yoy_accel_pts < 0,excess_1d_pct,day-1 close-to-close excess (NOT executable),11,-4.07,-3.86,0.909,0.091,-12.3,12.59,7.03,2.12,-1.92,weak - |mean| between 1 and 2 standard errors
(a) nights DECELERATING vs prior quarter,nights_yoy_accel_pts < 0,open_1d_excess_pct,day-1 executable (reaction open -> reaction close),11,1.77,0.94,0.091,0.909,-0.26,4.11,1.63,0.49,3.6,"|mean| > 2 standard errors, but this is one of many post-hoc cells on 22 prints - treat as a base rate"
