norm,quarter,B,u_pct
"note baseline: next-Q rev, 2023+2024+1H25",3Q25,1.0,1.448
"note baseline: next-Q rev, 2023+2024+1H25",3Q25,1.05,6.141
"note baseline: next-Q rev, 2023+2024+1H25",3Q25,1.1,10.408
"note baseline: next-Q rev, 2023+2024+1H25",4Q25,1.0,5.499
"note baseline: next-Q rev, 2023+2024+1H25",4Q25,1.05,9.999
"note baseline: next-Q rev, 2023+2024+1H25",4Q25,1.1,14.09
"note baseline: next-Q rev, 2023+2024+1H25",1Q26,1.0,13.911
"note baseline: next-Q rev, 2023+2024+1H25",1Q26,1.05,18.011
"note baseline: next-Q rev, 2023+2024+1H25",1Q26,1.1,21.737
"note baseline: next-Q rev, 2023+2024+1H25",2Q26,1.0,15.377
"note baseline: next-Q rev, 2023+2024+1H25",2Q26,1.05,19.407
"note baseline: next-Q rev, 2023+2024+1H25",2Q26,1.1,23.07
"next-Q rev, 2022+2023+2024",3Q25,1.0,0.289
"next-Q rev, 2022+2023+2024",3Q25,1.05,5.037
"next-Q rev, 2022+2023+2024",3Q25,1.1,9.354
"next-Q rev, 2022+2023+2024",4Q25,1.0,3.702
"next-Q rev, 2022+2023+2024",4Q25,1.05,8.287
"next-Q rev, 2022+2023+2024",4Q25,1.1,12.456
"next-Q rev, 2022+2023+2024",1Q26,1.0,12.287
"next-Q rev, 2022+2023+2024",1Q26,1.05,16.464
"next-Q rev, 2022+2023+2024",1Q26,1.1,20.261
"next-Q rev, 2022+2023+2024",2Q26,1.0,14.937
"next-Q rev, 2022+2023+2024",2Q26,1.05,18.987
"next-Q rev, 2022+2023+2024",2Q26,1.1,22.67
"next-Q rev, 2023+2024 only (no 1H25)",3Q25,1.0,1.448
"next-Q rev, 2023+2024 only (no 1H25)",3Q25,1.05,6.141
"next-Q rev, 2023+2024 only (no 1H25)",3Q25,1.1,10.408
"next-Q rev, 2023+2024 only (no 1H25)",4Q25,1.0,5.499
"next-Q rev, 2023+2024 only (no 1H25)",4Q25,1.05,9.999
"next-Q rev, 2023+2024 only (no 1H25)",4Q25,1.1,14.09
"next-Q rev, 2023+2024 only (no 1H25)",1Q26,1.0,13.929
"next-Q rev, 2023+2024 only (no 1H25)",1Q26,1.05,18.027
"next-Q rev, 2023+2024 only (no 1H25)",1Q26,1.1,21.753
"next-Q rev, 2023+2024 only (no 1H25)",2Q26,1.0,15.333
"next-Q rev, 2023+2024 only (no 1H25)",2Q26,1.05,19.365
"next-Q rev, 2023+2024 only (no 1H25)",2Q26,1.1,23.03
"next-Q rev, 2022-2024 +1H25",3Q25,1.0,0.289
"next-Q rev, 2022-2024 +1H25",3Q25,1.05,5.037
"next-Q rev, 2022-2024 +1H25",3Q25,1.1,9.354
"next-Q rev, 2022-2024 +1H25",4Q25,1.0,3.702
"next-Q rev, 2022-2024 +1H25",4Q25,1.05,8.287
"next-Q rev, 2022-2024 +1H25",4Q25,1.1,12.456
"next-Q rev, 2022-2024 +1H25",1Q26,1.0,12.69
"next-Q rev, 2022-2024 +1H25",1Q26,1.05,16.847
"next-Q rev, 2022-2024 +1H25",1Q26,1.1,20.627
"next-Q rev, 2022-2024 +1H25",2Q26,1.0,15.069
"next-Q rev, 2022-2024 +1H25",2Q26,1.05,19.113
"next-Q rev, 2022-2024 +1H25",2Q26,1.1,22.79
"same-quarter GBV, 2023+2024+1H25",3Q25,1.0,2.245
"same-quarter GBV, 2023+2024+1H25",3Q25,1.05,6.9
"same-quarter GBV, 2023+2024+1H25",3Q25,1.1,11.131
"same-quarter GBV, 2023+2024+1H25",4Q25,1.0,7.07
"same-quarter GBV, 2023+2024+1H25",4Q25,1.05,11.495
"same-quarter GBV, 2023+2024+1H25",4Q25,1.1,15.518
"same-quarter GBV, 2023+2024+1H25",1Q26,1.0,13.311
"same-quarter GBV, 2023+2024+1H25",1Q26,1.05,17.439
"same-quarter GBV, 2023+2024+1H25",1Q26,1.1,21.192
"same-quarter GBV, 2023+2024+1H25",2Q26,1.0,15.171
"same-quarter GBV, 2023+2024+1H25",2Q26,1.05,19.211
"same-quarter GBV, 2023+2024+1H25",2Q26,1.1,22.883
"same-quarter GBV, 2022-2024",3Q25,1.0,0.996
"same-quarter GBV, 2022-2024",3Q25,1.05,5.71
"same-quarter GBV, 2022-2024",3Q25,1.1,9.996
"same-quarter GBV, 2022-2024",4Q25,1.0,5.568
"same-quarter GBV, 2022-2024",4Q25,1.05,10.065
"same-quarter GBV, 2022-2024",4Q25,1.1,14.153
"same-quarter GBV, 2022-2024",1Q26,1.0,10.682
"same-quarter GBV, 2022-2024",1Q26,1.05,14.935
"same-quarter GBV, 2022-2024",1Q26,1.1,18.802
"same-quarter GBV, 2022-2024",2Q26,1.0,13.991
"same-quarter GBV, 2022-2024",2Q26,1.05,18.087
"same-quarter GBV, 2022-2024",2Q26,1.1,21.81
"trailing-4 revenue, 2023+2024+1H25",3Q25,1.0,0.286
"trailing-4 revenue, 2023+2024+1H25",3Q25,1.05,5.035
"trailing-4 revenue, 2023+2024+1H25",3Q25,1.1,9.351
"trailing-4 revenue, 2023+2024+1H25",4Q25,1.0,1.614
"trailing-4 revenue, 2023+2024+1H25",4Q25,1.05,6.299
"trailing-4 revenue, 2023+2024+1H25",4Q25,1.1,10.559
"trailing-4 revenue, 2023+2024+1H25",1Q26,1.0,11.135
"trailing-4 revenue, 2023+2024+1H25",1Q26,1.05,15.367
"trailing-4 revenue, 2023+2024+1H25",1Q26,1.1,19.214
"trailing-4 revenue, 2023+2024+1H25",2Q26,1.0,14.455
"trailing-4 revenue, 2023+2024+1H25",2Q26,1.05,18.528
"trailing-4 revenue, 2023+2024+1H25",2Q26,1.1,22.232
"trailing-4 revenue, 2022-2024",3Q25,1.0,0.103
"trailing-4 revenue, 2022-2024",3Q25,1.05,4.86
"trailing-4 revenue, 2022-2024",3Q25,1.1,9.185
"trailing-4 revenue, 2022-2024",4Q25,1.0,0.701
"trailing-4 revenue, 2022-2024",4Q25,1.05,5.429
"trailing-4 revenue, 2022-2024",4Q25,1.1,9.728
"trailing-4 revenue, 2022-2024",1Q26,1.0,13.719
"trailing-4 revenue, 2022-2024",1Q26,1.05,17.828
"trailing-4 revenue, 2022-2024",1Q26,1.1,21.563
"trailing-4 revenue, 2022-2024",2Q26,1.0,16.838
"trailing-4 revenue, 2022-2024",2Q26,1.05,20.798
"trailing-4 revenue, 2022-2024",2Q26,1.1,24.398
