print_quarter,kpi_quarter,print_date,reaction_date,in_requested_window,pre_close,reaction_open,reaction_close,raw_1d_pct,excess_1d_pct,gap_pct,gap_excess_pct,intraday_pct,intraday_excess_pct,gap_share_of_day1_abs,drift_5d_excess_pct,drift_20d_excess_pct,drift_60d_excess_pct,open_1d_excess_pct,open_5d_excess_pct,open_20d_excess_pct,open_60d_excess_pct,runup_20d_excess_pct,nights_m,nights_yoy_pct,nights_accel_vs_prior_q_pts,nights_accel_vs_prior_year_pts,gbv_yoy_pct,adr_yoy_pct,revenue_yoy_pct,fcf_margin_pct,fcf_margin_yoy_chg_pts,cons_revenue_musd,cons_revenue_vendor,revenue_surprise_pct,cons_nights_m,nights_surprise_pct,gbv_surprise_pct,next_quarter,next_q_cons_revenue_musd,next_q_cons_vendor,next_q_guide_mid_musd,guide_vs_street_pct,guide_implied_next_q_rev_yoy_pct,guide_implied_rev_decel_pts,pt_raises_60d_pre,pt_cuts_60d_pre,pt_net_60d_pre,estimate_direction_proxy,point_in_time_consensus_revision_direction,ws09_day1_excess_pct,ws09_runup_20d_excess_pct,ws09_drift_5d_excess_pct,ws09_drift_20d_excess_pct,ws09_drift_60d_excess_pct
2020Q4,4Q20,2021-02-25,2021-02-26,False,182.05999755859375,194.17999267578125,206.3500061035156,13.34176033760761,12.922993552963312,6.657143403117338,5.691756560142047,6.267387932213175,6.8087814487666325,49.89703933110127,-11.123561123199243,-16.075495451518186,-39.98388595730297,6.8087814487666325,-3.4639344914617065,-7.84897892781764,-34.159540888706786,-7.469222597892832,46.3,,,,,,,,,739.7,Yahoo/unattributed,16.128,,,,,,,,,,,1,0,1,rising,MISSING - needs Bloomberg BEst,11.659448730469224,-7.469235378142336,-11.478268516106715,-16.582962991301365,-40.88356664550629
2021Q1,1Q21,2021-05-13,2021-05-14,True,135.75,137.67999267578125,141.1999969482422,4.014730716937165,1.8070466211788316,1.4217257280156437,0.4008671437449651,2.556656347847208,1.3818242110785084,35.41272947691688,-4.786265759244667,0.12117264124773541,-7.6126897725797615,1.3818242110785084,-3.0061314127790006,2.037182927541137,-5.757890116125464,-16.06428024847081,64.4,,,,,,,67.5,,714.4,Refinitiv,24.16,62.5,3.04,30.877,,,,,,,,0,0,0,flat/none,MISSING - needs Bloomberg BEst,1.044319196524512,-16.06429076970751,-3.88266074645518,-0.7362906434130405,-8.116110665974674
2021Q2,2Q21,2021-08-12,2021-08-13,True,151.14999389648438,146.66000366210938,152.75999450683594,1.0651674994139881,0.7141734175141634,-2.9705527063732418,-3.068508212137766,4.159273620898274,3.906482667419997,278.8812752930895,-5.635334451500196,2.912730116351314,23.20583042453155,3.906482667419997,-1.6659614224246444,10.276646566140869,29.126822645575622,7.982851895573795,83.1,,,,,,,58.6,,1260.0,Refinitiv,5.952,79.2,4.924,15.917,,,,,,,,0,0,0,flat/none,MISSING - needs Bloomberg BEst,0.8130728341506854,7.982838524414393,-6.286730704598331,3.415100356415035,26.3561703736056
2021Q3,3Q21,2021-11-04,2021-11-05,True,178.4499969482422,186.1499938964844,201.6199951171875,12.984028335772724,12.888602470259292,4.314932518869985,3.8578968806198377,8.31050321135427,8.670467817555538,33.23261785390419,3.418656194165426,-7.190665656129058,-17.175747765253213,8.670467817555538,5.295388930346534,-6.194621873223527,-7.062500661484572,-4.493391584720707,79.7,28.96,,,48.21,14.8,66.65,23.7,,2050.0,Refinitiv,9.122,80.8,-1.361,-3.331,2021Q4,,,1435.0,,67.03526946804794,0.3852694680479374,2,0,2,rising,MISSING - needs Bloomberg BEst,13.556834911666128,-4.493394171215348,3.975411209831469,-8.830175815018794,-21.232759963579028
2021Q4,4Q21,2022-02-15,2022-02-16,True,180.07000732421875,178.2949981689453,186.63999938964844,3.6485765525628766,3.673847194366908,-0.985732816724727,-0.33709396941561387,4.680446062090726,4.053008049895768,27.01691474809037,-10.83825450630943,-12.328090725749396,-19.733282182965528,4.053008049895768,-8.951174548348417,-8.829273885706257,-17.260536509020753,20.29851859364197,73.4,58.53,29.57,,91.34,20.43,78.33,24.7,,1460.0,Refinitiv,4.932,74.96,-2.081,1.986,2022Q1,1240.0,CNBC unattributed,1445.0,16.532,62.90868094701241,-15.421319052987592,0,2,-2,falling,MISSING - needs Bloomberg BEst,4.271477728048936,20.298502439833698,-14.149887368854442,-15.674857261495923,-27.643161618694577
2022Q1,1Q22,2022-05-03,2022-05-04,True,145.0,152.5500030517578,156.17999267578125,7.710339776400854,4.329121994690466,5.206898656384706,5.053209984683282,2.379540839990568,-0.8430355351928043,67.53137744099857,-14.174364650819992,-17.741093009591545,-24.452401781632794,-0.8430355351928043,-18.064745206185062,-19.319019616857812,-26.04435443027637,-4.419254702840947,102.1,58.54,0.01,,66.99,5.16,70.12,79.3,11.799999999999997,1450.0,Refinitiv,4.069,100.87,1.219,3.99,2022Q2,1960.0,CNBC unattributed,2080.0,6.122,55.80524344569289,-14.314756554307117,0,1,-1,falling,MISSING - needs Bloomberg BEst,3.396611270162864,-4.41923984908591,-12.388480432666883,-15.60525062732424,-21.693337987156347
2022Q2,2Q22,2022-08-02,2022-08-03,True,116.33999633789062,108.2249984741211,115.0199966430664,-1.1346052401364104,-3.857866921122699,-6.9752433550030695,-7.52243938916436,6.278584675212673,4.11436157138223,614.7727075687096,2.284041670181236,5.663310974992686,12.91788438399103,4.11436157138223,5.416772062076669,8.76111966277574,18.607927406417236,11.72536937868436,103.7,24.79,-33.75,,26.87,1.42,57.6,37.8,-20.800000000000004,2110.0,Refinitiv,-0.284,106.4,-2.538,,2022Q3,2770.0,StreetAccount,2830.0,2.166,26.50871703173894,-31.091282968261062,0,10,-10,falling,MISSING - needs Bloomberg BEst,-4.35883941385724,11.725361240324816,2.807611295212986,6.250704983982413,14.174846620296456
2022Q3,3Q22,2022-11-01,2022-11-02,True,109.0500030517578,102.6449966430664,94.41000366210938,-13.425033452497859,-9.997316111111399,-5.8734582571734695,-5.862553971289941,-8.022790443057893,-4.605604767859774,43.75004559918363,2.349987770327433,-3.287881778487156,6.795995641815877,-4.605604767859772,-1.6345409241550923,-7.137323703791177,1.1368484607032325,0.8999221501621246,99.7,25.09,0.3,-3.870000000000001,31.09,4.89,28.92,33.2,9.500000000000004,2800.0,Refinitiv,3.0,,,,2022Q4,1850.0,Refinitiv,1840.0,-0.541,20.10443864229765,-8.81556135770235,0,3,-3,falling,MISSING - needs Bloomberg BEst,-9.869371729521815,0.8999117463037387,2.081825971723151,-3.7479112915054458,4.563159619245228
2022Q4,4Q22,2023-02-14,2023-02-15,True,120.87000274658205,130.0,137.00999450683594,13.353182256554796,12.587084097299494,7.5535675072003094,8.156666481451536,5.392303466796866,4.014798615662896,56.56754593829064,-4.413424100618002,-11.681585651161441,-28.31620816525573,4.014798615662896,1.3467920254149113,-10.672748360077655,-21.447443969730763,10.399888960575376,88.2,20.16,-4.93,-38.370000000000005,19.47,-0.52,24.15,23.9,-0.8000000000000007,1860.0,Refinitiv,2.258,89.7,-1.672,,2023Q1,1690.0,Refinitiv,1785.0,5.621,18.290258449304165,-5.8597415506958335,3,3,0,flat/none,MISSING - needs Bloomberg BEst,15.10291305188116,10.399872516155817,-6.984181834428149,-15.99315285432261,-37.173904861213146
2023Q1,1Q23,2023-05-09,2023-05-10,True,127.06999969482422,109.8499984741211,113.19000244140624,-10.923111109429973,-12.011284172668269,-13.551586733343267,-14.322629002900644,3.0405134398540756,2.725809149277625,124.06343392080043,-6.132867600786196,-6.573929672798884,11.119572852198779,2.725809149277625,-4.979797493899863,-1.5214077445124374,12.816622543849498,9.381400077894032,121.1,18.61,-1.55,-39.93,18.6,0.21,20.48,87.0,7.700000000000003,1790.0,Refinitiv,1.564,,,,2023Q2,2420.0,Refinitiv,2400.0,-0.826,14.068441064638781,-6.411558935361219,2,0,2,rising,MISSING - needs Bloomberg BEst,-13.257044387189454,9.381432495113273,-6.1472124810953535,-6.8467788188352525,10.256915351427953
