alternative,size / test,verdict
FX translation of non-USD funds payable,"+627mm in the 4Q25 balance, -258mm in the 4Q24 base; swing $885mm = 14.9pts of the reported +17.3% y/y",SURVIVES - and is on its own larger than the whole divergence
Depressed 4Q24 base,4Q24 FP y/y +1.06% vs GBV +13.55%; two-year FP CAGR at 4Q25 still lags GBV by ~5.8pts,"SURVIVES - same root cause as the FX item, not additive to it"
Single-fee migration (the note's explanation),"sign is wrong: UF/FP rises 3-4% under migration, observed UF/FP falls 8-13%; and the 2Q26 10-Q never mentions the fee structure in MD&A, attributing the UF shortfall to flexible payment options",REFUTED
Pay Less Upfront / pay-part-now-part-later mix,full fee to UF on first instalment vs partial payment to FP -> a shift INTO PLU raises UF/FP; a shift OUT of PLU into RNPL lowers it.  Explains both the 0.23-0.30 level and the 1H26 fall,"SURVIVES - and it is an RNPL-adoption story, not a fee story"
Lead-time lengthening (longer-dated book),scales BOTH stocks by the same factor B; cancels out of the UF/FP ratio entirely,cannot produce a divergence; only rescales the level
Occupancy / lodging taxes collected,grows with GBV; would have to change tax-collection coverage discontinuously in 4Q25 to matter; no such disclosure in the FY25 10-K or 2Q26 10-Q,not supported
Host payout timing after check-in,"would raise FP without touching UF; undisclosed, so unfalsifiable from the filings",SURVIVES as an unquantifiable residual
Experiences / Services seats,"'For experiences and services, we only earn a host fee' (10-K p.45); 'Substantially all of the bookings on our platform to date have come from nights' (2Q26 10-Q). Immaterial",does not survive on size
Strict-to-Firm cancellation-policy migration,"10-K p.9 mentions 'updates to cancellation policies' in 2025 but gives no payment-timing change; cancellation policy changes what is REVERSED out of both lines, symmetrically",no mechanism to split the two lines
Hedge cash / derivative settlements,"hedges sit in cash and other income, not in funds payable; 10-K 10% adverse-move sensitivity on NET monetary assets is only $38mm",too small
Funds receivable vs funds held mix,"10-Q balance sheet shows funds receivable = funds payable exactly ($6,959 / $12,224), so the asset side carries no independent information",no effect
