booking_quarter,units,3Q25,4Q25,1Q26,2Q26,3Q26,4Q26,1Q27,2Q27,3Q27,4Q27,cohort_total,scenario
3Q25,mm nights,0.099,0.057,0.018,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.181,bear
4Q25,mm nights,0.0,0.256,0.148,0.045,0.014,0.004,0.001,0.0,0.0,0.0,0.468,bear
1Q26,mm nights,0.0,0.0,0.957,0.555,0.17,0.052,0.016,0.002,0.0,0.0,1.753,bear
2Q26,mm nights,0.0,0.0,0.0,0.965,0.559,0.171,0.052,0.016,0.002,0.0,1.765,bear
3Q26,mm nights,0.0,0.0,0.0,0.0,1.149,0.665,0.204,0.063,0.019,0.003,2.102,bear
4Q26,mm nights,0.0,0.0,0.0,0.0,0.0,1.132,0.655,0.201,0.062,0.019,2.068,bear
1Q27,mm nights,0.0,0.0,0.0,0.0,0.0,0.0,1.424,0.826,0.253,0.078,2.58,bear
2Q27,mm nights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.363,0.789,0.242,2.394,bear
3Q27,mm nights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.349,0.781,2.131,bear
4Q27,mm nights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.225,1.225,bear
RECOGNISED IN QUARTER,mm nights,0.099,0.313,1.122,1.571,1.893,2.025,2.352,2.471,2.475,2.347,,bear
"of which from earlier cohorts, %",%,0.0,18.3,14.7,38.6,39.3,44.1,39.5,44.8,45.5,47.8,,bear
3Q25,mm nights,0.099,0.062,0.022,0.007,0.003,0.0,0.0,0.0,0.0,0.0,0.193,base
4Q25,mm nights,0.0,0.207,0.13,0.045,0.016,0.005,0.001,0.0,0.0,0.0,0.403,base
1Q26,mm nights,0.0,0.0,0.597,0.377,0.13,0.045,0.015,0.003,0.0,0.0,1.167,base
2Q26,mm nights,0.0,0.0,0.0,0.603,0.379,0.131,0.045,0.016,0.003,0.0,1.177,base
3Q26,mm nights,0.0,0.0,0.0,0.0,0.627,0.395,0.136,0.047,0.016,0.003,1.224,base
4Q26,mm nights,0.0,0.0,0.0,0.0,0.0,0.597,0.375,0.13,0.045,0.015,1.162,base
1Q27,mm nights,0.0,0.0,0.0,0.0,0.0,0.0,0.749,0.473,0.163,0.056,1.441,base
2Q27,mm nights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.718,0.452,0.156,1.326,base
3Q27,mm nights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.711,0.447,1.158,base
4Q27,mm nights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.645,0.645,base
RECOGNISED IN QUARTER,mm nights,0.099,0.269,0.749,1.032,1.154,1.173,1.322,1.385,1.389,1.323,,base
"of which from earlier cohorts, %",%,0.0,23.2,20.2,41.6,45.7,49.1,43.4,48.2,48.9,51.2,,base
3Q25,mm nights,0.066,0.048,0.02,0.008,0.004,0.001,0.0,0.0,0.0,0.0,0.146,bull
4Q25,mm nights,0.0,0.122,0.088,0.037,0.016,0.007,0.001,0.0,0.0,0.0,0.271,bull
1Q26,mm nights,0.0,0.0,0.262,0.19,0.08,0.034,0.014,0.003,0.0,0.0,0.583,bull
2Q26,mm nights,0.0,0.0,0.0,0.264,0.192,0.081,0.034,0.014,0.003,0.0,0.588,bull
3Q26,mm nights,0.0,0.0,0.0,0.0,0.262,0.19,0.08,0.034,0.014,0.003,0.582,bull
4Q26,mm nights,0.0,0.0,0.0,0.0,0.0,0.238,0.172,0.073,0.031,0.013,0.527,bull
1Q27,mm nights,0.0,0.0,0.0,0.0,0.0,0.0,0.298,0.217,0.091,0.039,0.645,bull
2Q27,mm nights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.207,0.088,0.581,bull
3Q27,mm nights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283,0.205,0.489,bull
4Q27,mm nights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.257,bull
RECOGNISED IN QUARTER,mm nights,0.066,0.169,0.37,0.5,0.553,0.55,0.6,0.626,0.63,0.604,,bull
"of which from earlier cohorts, %",%,0.0,28.0,29.3,47.2,52.7,56.7,50.3,54.3,55.0,57.4,,bull
