line,tag,source,bear,base,bull,unit,note
A. Starting point: ABNB close 4 Sep 2026,measured,data/processed/overnight/20_prices_ohlc.csv,181.94,181.94,181.94,usd,last session in the price file
"B. 4Q26 nights y/y, RNPL module",derived,data/processed/rnpl_short_audit/rnpl_nights_module.csv,6.58,7.61,8.35,pct,team baseline 8.90; guide language today is 'low double digits' for 3Q26 nights
"C. 1Q27 nights y/y, RNPL module",derived,data/processed/rnpl_short_audit/rnpl_nights_module.csv,5.28,6.47,7.34,pct,against a +17.9% 1Q26 comp; module falsified if the 1Q27 guide is >= +8.2%
D. Implied 4Q26 nights guide vs the current 'low double digits' frame,derived,"B minus 10.0 (bottom of the 'low double' bucket, 02_guidance_ledger.csv)",-3.42,-2.3899999999999997,-1.6500000000000004,pp,the size of the KPI-language step-down the Street would have to absorb
E. Revenue-growth step implied by D,,,,,,pp,BLANK - needs the ADR and take-rate legs held flat or moved explicitly; fill from data/processed/rnpl_short_audit/fy27_quarterly_phasing_rnpl_aware.csv once the ADR path is agreed
F. Multiple effect: +0.48 turns of EV/EBITDA per point of forward revenue growth,measured (repo regression),"research/notes/overnight/12_valuation-multiple-regime.md b=+0.48, t 8.3, 2023-26 monthly",,,,turns,"BLANK until E is filled. Applied ONCE, to E, and never also to a margin line (margin's coefficient is statistically zero)."
"G. Reaction at the 5 Nov print - day-1 executable, from the analogue cell",base rate,"qog_momentum_cells.csv, cell '(b) nights DECELERATED while revenue BEAT'",-0.26,0.88,4.01,pct excess vs QQQ,"executable entry. Day-one direction is NOT predictable (73% of the legacy day-1 number is the untradable overnight gap); this is a dispersion, not a forecast."
"H. 20-session drift after the print, from the analogue cell",base rate,"qog_momentum_cells.csv, same cell, drift_20d_excess_pct",-11.68,-4.4,10.94,pct excess vs QQQ,quote as a base rate with a story; no p-value (RED_TEAM ruling)
"I. 60-session drift after the print, same cell",base rate,"qog_momentum_cells.csv, same cell, drift_60d_excess_pct",-28.32,-4.2,11.12,pct excess vs QQQ,the 3-month leg of the path
J. February (1Q27 guide) print - the trade the audit prefers,,,,,,pct excess vs QQQ,BLANK - the analogue cell for 'guide implies a KPI deceleration against a hard comp' has too few members to quote separately; fill from cell (c') once a Bloomberg peer sample (BKNG/EXPE) widens n
K. Estimate-revision leg: FY27 revenue consensus change over the path,,,,,,pct,"BLANK - needs Bloomberg BEst point-in-time FY27 revenue history (spec row 1). Today's level is FY27 revenue $15,730M Zacks n=13 as of 11 Sep 2026 15:44 ET and $15,757.8M Alpha Vantage n=44 same day (A1_consensus_vintages.md); no history."
L. Total 3-to-12-month expected excess return,,,,,,pct,"BLANK - it is F + H/I + K, and two of the three are blank. Do not sum G into it: G is a one-day dispersion, not an expected return."
M. Position sizing,assumed,docs/rnpl-short-audit/00_SYNTHESIS.md item 7 (note 03),1.0,1.5,2.0,pct notional,underwrite to a +17% day: 7 Aug 2026 was +17.4% raw. 1-2% notional.
N. Flip rule,pre-registered,"docs/rnpl-short-audit/00_SYNTHESIS.md section 2, D1_prereg_thresholds.csv",,,,,3Q26 nights >= 10.3% or a 4Q26 nights guide >= 9.5% weakens; a 1Q27 guide >= +8.2% falsifies the module outright.
