scenario,rnpl_share_fy27_pct,term,value_musd,low_musd,high_musd,kind,label,note
bear,30.0,A. FCF 2027 if RNPL did not exist,6030.886374749391,,,start,derived,"FY25 ex-float conversion 36.6% on base FY27 revenue $15,842m, plus the pre-RNPL seasonal change in unearned fees $225m"
bear,30.0,B. Transition: RNPL share still stepping up,-86.76017253700712,,,step,derived,"unearned-fees shortfall grows from $372m (4Q26 at 27% of GBV) to $459m (4Q27 at 30%); the FCF effect is the increment, not the level"
bear,30.0,C. Permanent: interest income on float never collected,-35.380349955128864,-13.509344666523338,-122.59151968114766,step,derived,"float loss $1,147m (range $438-3,448m) at an ASSUMED blended yield of 3.08% (1H26 implied; 3.56% FY25). No customer-funds yield is disclosed."
bear,30.0,"D. Permanent: +1pt platform cancellation rate, processing cost",-10.77343625410734,0.0,-21.54687250821468,step,derived,"1,423m extra cancelled GBV at a 1.51% merchant-fee rate; zero if the cancellation lands before the RNPL payment date, full if after"
bear,30.0,E. Single-fee migration working capital,0.0,0.0,0.0,step,measured,"10-K Note 2: host and guest fees are recorded as cash with a corresponding amount in unearned fees under BOTH structures, so the migration adds no float"
bear,30.0,F. FCF 2027 with RNPL,5897.972416003147,,,end,derived,margin 37.2% on base FY27 revenue
bear,30.0,MEMO: same deltas on the repo base-case FY27 FCF,5287.086041253757,,,memo,derived,"data/processed/overnight/13_model_annual.csv Base 2027 FCF $5,420m carries its own P&L assumptions; only the RNPL deltas belong to this object"
bear,30.0,"MEMO: pass-through, RNPL GBV share to unearned-fees shortfall rate",0.6725963058907106,,,memo,derived,pinned on 2Q26: shortfall 14.1% of norm at a measured ~21% RNPL GBV share
bear,30.0,"MEMO: blended implied yield on interest-earning balances, 1H26 (pct)",3.0845046621331518,,3.5552835738640267,memo,assumed,no customer-funds yield is disclosed; interest income over average (cash + short-term investments + restricted cash + funds held on behalf of customers)
bear,30.0,MEMO: merchant-fee rate on pay-in volume (pct),1.5145454545454546,,,memo,derived,"FY25 merchant fees and chargebacks $1,666m over FY25 GBV grossed up for a 17% cancellation rate"
bear,30.0,MEMO: revenue at risk from +1pt cancellation rate (not in the bridge),-188.50280120481932,,,memo,derived,"belongs to the KPI-inflation object, not here; carried to avoid double counting"
central,25.0,A. FCF 2027 if RNPL did not exist,6030.886374749391,,,start,derived,"FY25 ex-float conversion 36.6% on base FY27 revenue $15,842m, plus the pre-RNPL seasonal change in unearned fees $225m"
