test,value,tail_3q26_pts,tail_4q26_pts,move_3q26_pts,move_4q26_pts,moves_3q26_by_more_than_0p2,note
"reference (base scenario, M1/M2 off)","delta=4pp, r=1.33, L=2.2, u=7%, rebook 25%",-0.587,-0.542,0.0,0.0,no,the cell every other row is measured against
c1 baseline cancellations recognised in the booking month,0%,-0.587,-0.542,0.0,0.0,no,24h grace period (D012). INERT: it applies in both years and cancels
c1 baseline cancellations recognised in the booking month,25%,-0.587,-0.542,0.0,0.0,no,24h grace period (D012). INERT: it applies in both years and cancels
c1 baseline cancellations recognised in the booking month,50%,-0.587,-0.541,0.0,0.001,no,24h grace period (D012). INERT: it applies in both years and cancels
c2 excess cancellations recognised in the stay month,70%,-0.586,-0.537,0.001,0.005,no,"only matters at quarter boundaries, i.e. one month in three. INERT"
c2 excess cancellations recognised in the stay month,85%,-0.587,-0.542,0.0,0.0,no,"only matters at quarter boundaries, i.e. one month in three. INERT"
c2 excess cancellations recognised in the stay month,100%,-0.588,-0.546,-0.001,-0.004,no,"only matters at quarter boundaries, i.e. one month in three. INERT"
c3 same-quarter rebooking offset,0%,-0.783,-0.722,-0.196,-0.18,no,THE widest assumption. Scales the whole tail linearly. Never measured
c3 same-quarter rebooking offset,25%,-0.587,-0.542,0.0,0.0,no,THE widest assumption. Scales the whole tail linearly. Never measured
c3 same-quarter rebooking offset,50%,-0.391,-0.361,0.196,0.181,no,THE widest assumption. Scales the whole tail linearly. Never measured
"c4 mean lead time, months",1.8,-0.592,-0.531,-0.005,0.011,no,derived range from Little's Law on the unearned-fee pool
"c4 mean lead time, months",2.2,-0.587,-0.542,0.0,0.0,no,derived range from Little's Law on the unearned-fee pool
"c4 mean lead time, months",3.0,-0.573,-0.554,0.014,-0.012,no,derived range from Little's Law on the unearned-fee pool
c5 RNPL / non-RNPL ADR ratio,1.0,-0.736,-0.672,-0.149,-0.13,no,"matters only at a FIXED delta. Under the management-implied rule delta = 1/p, so delta x p is identically 1 and the ratio cancels exactly"
c5 RNPL / non-RNPL ADR ratio,1.15,-0.66,-0.606,-0.073,-0.064,no,"matters only at a FIXED delta. Under the management-implied rule delta = 1/p, so delta x p is identically 1 and the ratio cancels exactly"
c5 RNPL / non-RNPL ADR ratio,1.25,-0.617,-0.568,-0.03,-0.026,no,"matters only at a FIXED delta. Under the management-implied rule delta = 1/p, so delta x p is identically 1 and the ratio cancels exactly"
c5 RNPL / non-RNPL ADR ratio,1.33,-0.587,-0.542,0.0,0.0,no,"matters only at a FIXED delta. Under the management-implied rule delta = 1/p, so delta x p is identically 1 and the ratio cancels exactly"
"c6 incremental RNPL propensity, pp",2.0,-0.294,-0.271,0.293,0.271,YES,scenario input in every cell; never measured
"c6 incremental RNPL propensity, pp",4.0,-0.587,-0.542,0.0,0.0,no,scenario input in every cell; never measured
"c6 incremental RNPL propensity, pp",6.0,-0.881,-0.812,-0.294,-0.27,YES,scenario input in every cell; never measured
a1 2025 base-year RNPL GBV share,slow 2.5 / 7.0,-0.608,-0.588,-0.021,-0.046,no,a slower 2025 ramp lowers the prior-year base and WIDENS the y/y drag
a1 2025 base-year RNPL GBV share,fast 6.0 / 12.0,-0.56,-0.474,0.027,0.068,no,a faster 2025 ramp raises the base and SHRINKS the drag
a2 2025 base-year RNPL share forced to ZERO,0 / 0,-0.638,-0.718,-0.051,-0.176,no,"the limiting 'pre-RNPL 2025 base' case the audit asks about. This is the ONLY route by which the forward solve's base-year treatment moves the answer materially, and it moves 4Q26 more than 3Q26"
"b1 x% of PR #32's fitted +2.40 NA RNPL points is pull-forward, not level",x=10%,,,-0.069,,no,"PR #32 sets x=0. Theo's bridge uses -0.10 to -0.30 pts in 3Q26, which implies x = 14% to 43%"
