fact,value,label,source,quote
FCF definition / float exclusion,CFO less purchases of property and equipment,measured,"data/raw/regulatory/quantification/abnb_2025_10k.json p.43, Item 7, 'Free Cash Flow Reconciliation'","Our FCF is impacted by the timing of GBV because we collect our service fees at the time of booking, which is generally before a stay, experience, or service occurs. Funds held on behalf of our customers and amounts payable to our customers do not impact FCF, except interest earned on these funds."
"FCF definition, RNPL amendment",same definition; RNPL named as a timing shift,measured,"data/raw/regulatory/quantification/abnb_2026q2_10q.html Part I Item 2, 'Free Cash Flow Reconciliation'","Our FCF is impacted by the timing of GBV, as we generally collect our service fees at booking, which typically occurs before a stay, experience, or service. For bookings under RNPL, we collect payment closer to the date of stay. The continued expansion of RNPL results in a shift in timing of when cash for unearned fees is received, which impacts our FCF. Funds held on behalf of customers and amounts payable to customers do not impact FCF, except for interest earned on those funds."
Seasonality of FCF,"Q1 highest, Q4 lowest",measured,"data/raw/regulatory/quantification/abnb_2026q2_10q.html Part I Item 2, 'Seasonality'","Seasonality in GBV also affects FCF. Unearned fees typically rise when GBV rises since guests pay at the time of booking. As such, FCF is typically highest in the first quarter and lowest in the fourth quarter. However, increasing adoption of RNPL, which shifts payment and unearned fees closer to the date of stay, is changing the typical seasonal dynamics between GBV and FCF."
RNPL cash mechanics,"no unearned fees, no operating cash flow until payment",measured,"data/raw/regulatory/quantification/abnb_2026q2_10q.html Part I Item 2, 'Liquidity and Capital Resources'","This reflected unearned fees growing at a rate less than the GBV growth rate during the six months ended June 30, 2026, compared to the same period in the prior year, which was primarily due to the increased guest adoption of our flexible payment options, which allow guests to pay closer to check-in dates rather than at time of booking, shifting the timing of cash collection and its recognition in operating activities. For example, under our RNPL option, payment is collected closer to check-in rather than at booking. Accordingly, unearned fees are not recorded, and operating cash flows are not generated until payment is received."
"Interest income, composition",FY2023 $721m / FY2024 $818m / FY2025 $705m,measured,"data/raw/regulatory/quantification/abnb_2025_10k.json p.46-47, Item 7, 'Interest Income'; income statement p.55","Interest income consists primarily of interest earned on our cash, cash equivalents, marketable securities, and amounts held on behalf of customers."
"Interest income, 2Q26",2Q26 $183m vs 2Q25 $190m; 1H26 $338m vs 1H25 $363m,measured,"data/raw/regulatory/quantification/abnb_2026q2_10q.html Part I Item 2, 'Interest Income'","Interest income decreased by $7 million, or 4%, and $25 million, or 7%, respectively, primarily due to lower interest earned on our investment portfolio, driven by lower interest rates, partially offset by a slight increase in interest income on operating cash."
Payment-processing cost share,"merchant fees and chargebacks FY2023 $1,369m / FY2024 $1,508m / FY2025 $1,666m",measured,"data/raw/regulatory/quantification/abnb_2025_10k.json p.85, Note 16 segment table, 'Merchant fees and chargebacks'","Cost of revenue includes payment processing costs, including merchant fees and chargebacks, costs associated with third-party data centers used to host our platform, and amortization of internally developed software and acquired technology. As the merchant of record, we bear all payment processing costs for our bookings, including those from chargebacks due to both fraud and non-fraud activities."
Merchant fee driver,"FY2025 cost of revenue +$208m, of which +$188m merchant fees",measured,"data/raw/regulatory/quantification/abnb_2025_10k.json p.45, Item 7, 'Cost of Revenue'","Cost of revenue increased $208 million, or 11%, primarily due to a $188 million increase in merchant fees, due to higher pay-in volumes, a $28 million increase in amortization costs related to capitalized internal-use software projects, and a $27 million increase in data hosting services. These increases were partially offset by a reduction in chargebacks of $29 million and a reduction in other service costs of $12 million, which includes authentication, translation, and SMS services."
"Refunds, size",variable-consideration estimate immaterial at 31 Dec 2024 and 2025,measured,"data/raw/regulatory/quantification/abnb_2025_10k.json p.63, Note 2, 'Refunds'","The Company accounts for refunds, net of any recoveries, as variable consideration, which results in a reduction to revenue. ... The estimate for variable consideration was immaterial as of December 31, 2024 and 2025."
"Single-fee migration, cash treatment",host fee is collected at booking under BOTH structures; no incremental float,measured,"data/raw/regulatory/quantification/abnb_2025_10k.json pp.62-63, Note 2, 'Revenue Recognition' and 'Funds Receivable and Funds Payable'","For all bookings, the guest pays the booking amount to the Company, which disburses the booking amount to the host after check-in, net of the host's service fees. ... The Company records guest payments, net of service fees, as funds receivable and amounts held on behalf of customers with a corresponding amount in funds payable and amounts payable to customers when cash is received in advance of check-in. Host and guest fees are recorded as cash with a corresponding amount in unearned fees."
Customer-funds yield,NOT DISCLOSED - no separate yield on amounts held on behalf of customers,assumed,data/raw/regulatory/quantification/abnb_2025_10k.json p.46-47 (interest income is presented as one line only),"Interest income consists primarily of interest earned on our cash, cash equivalents, marketable securities, and amounts held on behalf of customers."
RNPL cancellation rate,RNPL bookings have experienced higher cancellation rates,measured,"data/raw/regulatory/quantification/abnb_2026q2_10q.html Part I Item 2, 'Gross Booking Value'","To date, RNPL bookings, which require no payment at the time of booking, have experienced higher cancellation rates than historic bookings in which some or all of the cash was received at the time of booking. As adoption of RNPL and our other flexible payment options continues to grow, the timing among GBV, revenue, and cash receipts may become less correlated."
