feature,label,source,country,asset_class,reading_3q26_yoy_pct,months_in,last_2q26_full_quarter,last_1q26,change_2q26_to_3q26_pp,last_period,knowable_before_5nov
abs_cpi_30033_M,ABS monthly CPI holiday travel and accommodation (indicator to Sep 2025 spliced with complete monthly CPI),abs,AU,holiday travel and accommodation (monthly CPI),1.1537293796174408,Jul,2.5107259948691083,3.802375124851798,-1.3569966152516675,2026-07,"yes: Aug ~30 Sep, Sep ~28 Oct"
abs_cpi_30033_Q,"ABS CPI holiday travel and accommodation, quarterly",abs,AU,"holiday travel and accommodation (CPI, bundles airfares)",,,2.487666631678387,3.799200168385597,,2026Q2,yes: Sep-quarter CPI 28 Oct
abs_cpi_40101_Q,"ABS CPI domestic holiday travel and accommodation, quarterly",abs,AU,"holiday travel and accommodation (CPI, bundles airfares)",,,4.480417754569199,5.739847205468429,,2026Q2,yes: Sep-quarter CPI 28 Oct
abs_cpi_40102_Q,"ABS CPI international holiday travel and accommodation, quarterly",abs,AU,"holiday travel and accommodation (CPI, bundles airfares)",,,0.47478370964337824,1.6679553739092023,,2026Q2,yes: Sep-quarter CPI 28 Oct
bea_pce_accommodations_price,BEA PCE accommodations price index (hotels plus housing at school),bea_held,US,"accommodation, all",3.4028694657160408,Jul,4.472169994215143,-0.9928998848972989,-1.0693005284991024,2026-07,yes: Aug PCE ~26 Sep
bea_pce_foreign_travel_by_us_residents_price,"BEA PCE foreign travel by US residents, price index",bea_held,US,travel deflator (outbound),2.4071343026535796,Jul,0.8193449848981812,1.8896038616321276,1.5877893177553983,2026-07,yes: Aug PCE ~26 Sep
bea_pce_inbound_foreign_travel_in_us_price,"BEA PCE inbound foreign travel in US, price index (negative PCE)",bea_held,US,travel deflator (inbound),6.746792268962154,Jul,7.2719047839216415,2.336818571828895,-0.5251125149594875,2026-07,yes: Aug PCE ~26 Sep
bls_CUSR0000SEHB02,"BLS CPI other lodging away from home incl hotels, SA",bls,US,hotel (CPI),2.764678961458855,"Jul,Aug",4.7265615638866,-1.1169432389064204,-1.9618826024277447,2026-08,yes: Sep PPI/CPI mid-Oct
bls_CUUR0000SEHB02,"BLS CPI other lodging away from home incl hotels, NSA",bls,US,hotel (CPI),2.7647606950717996,"Jul,Aug",4.726493361923656,-1.116994662537622,-1.9617326668518564,2026-08,yes: Sep PPI/CPI mid-Oct
bls_PCU7211--7211--,BLS PPI traveler accommodation 7211,bls,US,hotel,3.2248063491695955,"Jul,Aug",4.284340070251321,2.1561959538107502,-1.059533721081725,2026-08,yes: Sep PPI/CPI mid-Oct
