feature,label,source,country,asset_class,transform,lag,target,window,n,first_q,last_q,pearson_r,p,spearman_r,perm_p,knowable_before_print,target_basis,wf_n,wf_rmse,wf_rmse_naive,wf_rmse_prior,wf_rmse_ar1,wf_ratio_vs_naive,wf_ratio_vs_prior,wf_ratio_vs_ar1,sign_acc,wf_first_q,wf_last_q,jk_ratio_min,jk_ratio_max,jk_n_below_1,n_tests_on_target,p_bonferroni,flagged_r,beats_naive,beats_naive_and_ar1,survivor_j2,beats_short,beats_long,has_long,beats_both_windows
nz_cpi_CPIQ.SE9096_accommodation_services_nan,Stats NZ CPI accommodation_services_nan,nz_statsnz,NZ,accommodation services (CPI),level,0,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,0.6861272771941989,0.00673832209067346,0.6652035226122353,0.01098901098901099,yes: Sep-quarter CPI ~20 Oct,"disclosed-chained from 4Q24 only, modelled before",10,1.8026675955090479,2.366578726981209,2.64756769998427,2.475522735167864,0.761718836967878,0.6808768650258719,0.7281967440249786,0.8,1Q24,2Q26,0.6420421137670651,0.8582028114340259,10,56.0,0.37734603707771375,True,True,True,True,True,False,True,False
abs_cpi_40102_Q,"ABS CPI international holiday travel and accommodation, quarterly",abs,AU,"holiday travel and accommodation (CPI, bundles airfares)",level,0,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,0.4590627539957785,0.0986985963516685,0.4817753087357717,0.1108891108891109,yes: Sep-quarter CPI 28 Oct,"disclosed-chained from 4Q24 only, modelled before",10,2.0074751258472396,2.366578726981209,2.64756769998427,2.475522735167864,0.8482604457481795,0.758233727454511,0.8109297876075106,0.7,1Q24,2Q26,0.659254785247938,0.9581372153194382,10,56.0,1.0,False,True,True,False,True,False,True,False
abs_cpi_40102_Q,"ABS CPI international holiday travel and accommodation, quarterly",abs,AU,"holiday travel and accommodation (CPI, bundles airfares)",level,1,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,0.485825416621518,0.07819756630735761,0.3027670518201867,0.07892107892107893,yes: Sep-quarter CPI 28 Oct,"disclosed-chained from 4Q24 only, modelled before",10,2.0250302805931035,2.366578726981209,2.64756769998427,2.475522735167864,0.8556783924007538,0.7648644001077421,0.8180212816570183,0.7,1Q24,2Q26,0.6927431891028594,0.9690112535761278,10,56.0,1.0,False,True,True,False,True,False,True,False
nz_cpi_CPIQ.SE909601_domestic_accommodation_services_nan,Stats NZ CPI domestic_accommodation_services_nan,nz_statsnz,NZ,accommodation services (CPI),level,0,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,0.5403111097649661,0.04607874061797126,0.5149249859423615,0.057942057942057944,yes: Sep-quarter CPI ~20 Oct,"disclosed-chained from 4Q24 only, modelled before",10,2.0423234074149916,2.366578726981209,2.64756769998427,2.475522735167864,0.8629856189150169,0.7713961034602158,0.8250069281938962,0.7,1Q24,2Q26,0.7821268946553663,0.9443889805833532,10,56.0,1.0,False,True,True,False,True,False,True,False
abs_cpi_40101_Q,"ABS CPI domestic holiday travel and accommodation, quarterly",abs,AU,"holiday travel and accommodation (CPI, bundles airfares)",level,1,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,0.4952905608434291,0.07172805548454403,0.4110559973617134,0.056943056943056944,yes: Sep-quarter CPI 28 Oct,"disclosed-chained from 4Q24 only, modelled before",10,2.099626464565519,2.366578726981209,2.64756769998427,2.475522735167864,0.8871990779887503,0.7930397642251013,0.8481547895875593,0.6,1Q24,2Q26,0.7736659713260892,1.0050372887383576,9,56.0,1.0,False,True,True,False,True,False,True,False
abs_cpi_30033_Q,"ABS CPI holiday travel and accommodation, quarterly",abs,AU,"holiday travel and accommodation (CPI, bundles airfares)",level,0,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,0.40194911740480166,0.15425319278086586,0.46630545937269635,0.16183816183816183,yes: Sep-quarter CPI 28 Oct,"disclosed-chained from 4Q24 only, modelled before",10,2.1204656808331848,2.366578726981209,2.64756769998427,2.475522735167864,0.8960047078332508,0.8009108438835324,0.8565728969923586,0.7,1Q24,2Q26,0.7338117086865592,1.0092037663277473,9,56.0,1.0,False,True,True,False,True,False,True,False
abs_cpi_40101_Q,"ABS CPI domestic holiday travel and accommodation, quarterly",abs,AU,"holiday travel and accommodation (CPI, bundles airfares)",level,0,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,0.3655939390224795,0.19863421018525756,0.41326597584215274,0.2127872127872128,yes: Sep-quarter CPI 28 Oct,"disclosed-chained from 4Q24 only, modelled before",10,2.128768086435008,2.366578726981209,2.64756769998427,2.475522735167864,0.89951289689418,0.8040467053770355,0.8599266959633304,0.7,1Q24,2Q26,0.7407953852857772,1.0151146082305578,9,56.0,1.0,False,True,True,False,True,False,True,False
japan_cpi_hotel_charges_index,Japan CPI hotel charges,japan_estat,JP,hotel (CPI hotel charges),diff,1,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,0.3314975536620607,0.2469373149357524,0.3425466644680945,0.23976023976023977,"yes: Aug CPI 19 Sep, Sep 24 Oct","disclosed-chained from 4Q24 only, modelled before",10,2.144070322427021,2.366578726981209,2.64756769998427,2.475522735167864,0.9059788706720868,0.8098264389763326,0.8661081120233106,0.7,1Q24,2Q26,0.7346055196888297,1.0241890421345674,9,56.0,1.0,False,True,True,False,True,False,True,False
abs_cpi_30033_M,ABS monthly CPI holiday travel and accommodation (indicator to Sep 2025 spliced with complete monthly CPI),abs,AU,holiday travel and accommodation (monthly CPI),level,0,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,0.32980803767401967,0.24950083421246674,0.39558614799863817,0.24775224775224775,"yes: Aug ~30 Sep, Sep ~28 Oct","disclosed-chained from 4Q24 only, modelled before",10,2.1622939621139703,2.366578726981209,2.64756769998427,2.475522735167864,0.9136792862463431,0.8167096018458062,0.8734696439648517,0.7,1Q24,2Q26,0.7439123243814985,1.0265685161002065,9,56.0,1.0,False,True,True,False,True,False,True,False
nz_cpi_CPIQ.SE9096_accommodation_services_nan,Stats NZ CPI accommodation_services_nan,nz_statsnz,NZ,accommodation services (CPI),diff,1,adr_exfx_apac_pp,2023Q1+,14,1Q23,2Q26,0.5465806834402285,0.04312975039051821,0.6696234795731137,0.04495504495504495,yes: Sep-quarter CPI ~20 Oct,"disclosed-chained from 4Q24 only, modelled before",10,2.1869393543322926,2.366578726981209,2.64756769998427,2.475522735167864,0.9240932192109818,0.8260182938269287,0.8834252755040835,0.6,1Q24,2Q26,0.773865719784016,1.0437770908030148,9,56.0,1.0,True,True,True,True,True,False,True,False
