feature,source,country,region,asset_class,label,knowable,first_q,last_period,hist_quarters_from_1q23,kind,missing
hicp_CP112_EA_RCH_A,eurostat_hicp,EA,emea,"accommodation, all","HICP accommodation services, EA","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP112_EU27_2020_RCH_A,eurostat_hicp,EU27_2020,emea,"accommodation, all","HICP accommodation services, EU27_2020","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP112_DE_RCH_A,eurostat_hicp,DE,emea,"accommodation, all","HICP accommodation services, DE","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP112_ES_RCH_A,eurostat_hicp,ES,emea,"accommodation, all","HICP accommodation services, ES","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP112_FR_RCH_A,eurostat_hicp,FR,emea,"accommodation, all","HICP accommodation services, FR","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP112_IT_RCH_A,eurostat_hicp,IT,emea,"accommodation, all","HICP accommodation services, IT","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP112_PT_RCH_A,eurostat_hicp,PT,emea,"accommodation, all","HICP accommodation services, PT","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP112_NL_RCH_A,eurostat_hicp,NL,emea,"accommodation, all","HICP accommodation services, NL","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP112_EL_RCH_A,eurostat_hicp,EL,emea,"accommodation, all","HICP accommodation services, EL","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP112_HR_RCH_A,eurostat_hicp,HR,emea,"accommodation, all","HICP accommodation services, HR","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP112_AT_RCH_A,eurostat_hicp,AT,emea,"accommodation, all","HICP accommodation services, AT","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP112_IE_RCH_A,eurostat_hicp,IE,emea,"accommodation, all","HICP accommodation services, IE","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP112_PL_RCH_A,eurostat_hicp,PL,emea,"accommodation, all","HICP accommodation services, PL","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP112_CH_RCH_A,eurostat_hicp,CH,emea,"accommodation, all","HICP accommodation services, CH","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP112_NO_RCH_A,eurostat_hicp,NO,emea,"accommodation, all","HICP accommodation services, NO","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP112_TR_RCH_A,eurostat_hicp,TR,emea,"accommodation, all","HICP accommodation services, TR","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP112_UK_RCH_A,eurostat_hicp,UK,emea,"accommodation, all","HICP accommodation services, UK","yes: Sep flash ~1 Oct, final ~16 Oct",,,,rate_M,True
hicp_CP112_SE_RCH_A,eurostat_hicp,SE,emea,"accommodation, all","HICP accommodation services, SE","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP112_DK_RCH_A,eurostat_hicp,DK,emea,"accommodation, all","HICP accommodation services, DK","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP112_CZ_RCH_A,eurostat_hicp,CZ,emea,"accommodation, all","HICP accommodation services, CZ","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP112_HU_RCH_A,eurostat_hicp,HU,emea,"accommodation, all","HICP accommodation services, HU","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP112_BE_RCH_A,eurostat_hicp,BE,emea,"accommodation, all","HICP accommodation services, BE","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP11201_EA_RCH_A,eurostat_hicp,EA,emea,hotel,"HICP hotels, motels, inns, EA","yes: Sep flash ~1 Oct, final ~16 Oct",4Q17,2026-07,14.0,rate_M,
hicp_CP11201_EU27_2020_RCH_A,eurostat_hicp,EU27_2020,emea,hotel,"HICP hotels, motels, inns, EU27_2020","yes: Sep flash ~1 Oct, final ~16 Oct",4Q17,2026-07,14.0,rate_M,
hicp_CP11201_DE_RCH_A,eurostat_hicp,DE,emea,hotel,"HICP hotels, motels, inns, DE","yes: Sep flash ~1 Oct, final ~16 Oct",4Q15,2026-07,14.0,rate_M,
hicp_CP11201_ES_RCH_A,eurostat_hicp,ES,emea,hotel,"HICP hotels, motels, inns, ES","yes: Sep flash ~1 Oct, final ~16 Oct",4Q15,2026-07,14.0,rate_M,
hicp_CP11201_FR_RCH_A,eurostat_hicp,FR,emea,hotel,"HICP hotels, motels, inns, FR","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
hicp_CP11201_IT_RCH_A,eurostat_hicp,IT,emea,hotel,"HICP hotels, motels, inns, IT","yes: Sep flash ~1 Oct, final ~16 Oct",1Q15,2026-07,14.0,rate_M,
