vintage_date,horizon_q,spec_id,n_pool,b_pt,b_pct,b_usd,n_eff,m,m_hat,a,ft_n,disp,disp_ref,disp_ratio,raw_pt,raw_usd,raw_pct
2021-02-25,0,rw_hl4,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-02-25,1,rw_hl4,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-02-25,0,ew,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-02-25,1,ew,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-02-25,0,rw_hl4_usd,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-02-25,1,rw_hl4_usd,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-02-25,0,ew_usd,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-02-25,1,ew_usd,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-02-25,0,rw_hl4_med,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-02-25,1,rw_hl4_med,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-02-25,0,rw_hl4_from21,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-02-25,1,rw_hl4_from21,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-05-13,0,rw_hl4,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-05-13,1,rw_hl4,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-05-13,0,ew,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-05-13,1,ew,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-05-13,0,rw_hl4_usd,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-05-13,1,rw_hl4_usd,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-05-13,0,ew_usd,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-05-13,1,ew_usd,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-05-13,0,rw_hl4_med,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-05-13,1,rw_hl4_med,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-05-13,0,rw_hl4_from21,1,20.49709330084603,0.0,114.77463999999999,1.0,0.45,,114.77463999999999,1,,,1.0,61.49127990253808,344.32392,
2021-05-13,1,rw_hl4_from21,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-08-12,0,rw_hl4,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-08-12,1,rw_hl4,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
2021-08-12,0,ew,0,0.0,0.0,0.0,0.0,0.45,,0.0,0,,,1.0,,,
