vintage_date,quarter,horizon_q,spec_id,object,scenario,target,point,street,n_train,knowable_from,street_as_of,src,note,actual,print_date,err,rel_err,sd_pit,n_pit,sd_full,n_full,sigma_kind
2021-02-25,2021Q1,0,rw_hl4,street_plus_bias,base,adj_ebitda_musd,-402.92392,-402.92392,4,2021-02-25,2021-02-24,street_pit,b_pct=+0.0000 b_pt=+0.000 n_pool=0,-58.6,2021-05-13,-344.32392,-0.8545631145452968,,0.0,0.23570539215389635,19.0,relative
2021-02-25,2021Q1,0,rw_hl4,street_plus_bias,base,adj_ebitda_margin_pct,-68.0982955158405,-68.0982955158405,4,2021-02-25,2021-02-24,street_pit,b_pct=+0.0000 b_pt=+0.000 n_pool=0,-6.607015613302425,2021-05-13,-61.49127990253808,-0.9029782527851148,,0.0,15.220989958983703,22.0,additive
2021-02-25,2021Q1,0,rw_hl4,street_plus_flowthrough,base,adj_ebitda_musd,-402.92392,-402.92392,4,2021-02-25,2021-02-24,street_pit,a=+0.0 m=0.450 rev=592 leg=street_revenue,-58.6,2021-05-13,-344.32392,-0.8545631145452968,,0.0,0.5140043988693758,20.0,relative
2021-02-25,2021Q1,0,rw_hl4,street_plus_flowthrough,base,adj_ebitda_margin_pct,-68.0982955158405,-68.0982955158405,4,2021-02-25,2021-02-24,street_pit,a=+0.0 m=0.450 rev=592 leg=street_revenue,-6.607015613302425,2021-05-13,-61.49127990253808,-0.9029782527851148,,0.0,15.262020767286137,22.0,additive
2021-02-25,2021Q1,0,rw_hl4,dispersion_conditioned,base,adj_ebitda_musd,-402.92392,-402.92392,4,2021-02-25,2021-02-24,street_pit,disp=nan ref=nan ratio=1.000 b_pt=+0.000,-58.6,2021-05-13,-344.32392,-0.8545631145452968,,0.0,0.22188998417289885,19.0,relative
2021-02-25,2021Q1,0,rw_hl4,dispersion_conditioned,base,adj_ebitda_margin_pct,-68.0982955158405,-68.0982955158405,4,2021-02-25,2021-02-24,street_pit,disp=nan ref=nan ratio=1.000 b_pt=+0.000,-6.607015613302425,2021-05-13,-61.49127990253808,-0.9029782527851148,,0.0,14.976589546148091,22.0,additive
2021-02-25,2021Q2,1,rw_hl4,street_plus_bias,base,adj_ebitda_musd,-173.59175,-173.59175,4,2021-02-25,2021-02-24,street_pit,b_pct=+0.0000 b_pt=+0.000 n_pool=0,218.0,2021-08-12,-391.59175,-2.25582004905187,,0.0,0.3811844585242143,19.0,relative
2021-02-25,2021Q2,1,rw_hl4,street_plus_bias,base,adj_ebitda_margin_pct,-18.8233712629278,-18.8233712629278,4,2021-02-25,2021-02-24,street_pit,b_pct=+0.0000 b_pt=+0.000 n_pool=0,16.327190914292736,2021-08-12,-35.150562177220536,-1.867389304829192,,0.0,10.303899784449964,21.0,additive
2021-02-25,2021Q2,1,rw_hl4,street_plus_flowthrough,base,adj_ebitda_musd,-173.59175,-173.59175,4,2021-02-25,2021-02-24,street_pit,a=+0.0 m=0.450 rev=922 leg=street_revenue,218.0,2021-08-12,-391.59175,-2.25582004905187,,0.0,0.7198174120948829,19.0,relative
2021-02-25,2021Q2,1,rw_hl4,street_plus_flowthrough,base,adj_ebitda_margin_pct,-18.8233712629278,-18.8233712629278,4,2021-02-25,2021-02-24,street_pit,a=+0.0 m=0.450 rev=922 leg=street_revenue,16.327190914292736,2021-08-12,-35.150562177220536,-1.867389304829192,,0.0,11.676447810810814,21.0,additive
