basis,guide_date,quarter,street_ebitda,street_margin,actual_ebitda,actual_margin,s_usd,s_pt
pre_guide,2021-02-25,2021Q2,-173.59175,-18.8233712629278,218.0,16.327190914292736,391.59175,35.150562177220536
pre_guide,2021-05-13,2021Q3,483.25277,27.87191374972252,1101.0,49.20819940002647,617.74723,21.336285650303953
pre_guide,2021-08-12,2021Q4,212.61157,14.773774744326502,333.0,21.730108141547184,120.38843,6.956333397220682
pre_guide,2021-11-04,2022Q1,-19.16963,-1.544409684932732,229.0,15.176246589486508,248.16963,16.72065627441924
pre_guide,2022-02-15,2022Q2,392.0161,21.336352332222795,711.0,33.79105720383992,318.9839,12.454704871617125
pre_guide,2022-05-03,2022Q3,1193.9283,44.7682748304206,1457.0,50.512929853938935,263.07169999999996,5.744655023518334
pre_guide,2022-08-02,2022Q4,388.19828,20.660570653663545,506.0,26.603575184016822,117.80171999999999,5.943004530353278
pre_guide,2022-11-01,2023Q1,208.6988,12.31819658298581,262.0,14.411441144114413,53.301199999999994,2.0932445611286035
pre_guide,2023-02-14,2023Q2,786.379,33.615475329807765,819.0,32.971014492753625,32.62099999999998,-0.6444608370541403
pre_guide,2023-05-09,2023Q3,1673.56569,51.16045797814665,1834.0,53.98881365911098,160.4343100000001,2.8283556809643287
pre_guide,2023-08-03,2023Q4,608.52669,28.92945974033961,738.0,33.27321911632101,129.47330999999997,4.343759375981399
pre_guide,2023-11-01,2024Q1,315.71333,15.212387230834388,424.0,19.79458450046685,108.28667000000002,4.582197269632463
pre_guide,2024-02-13,2024Q2,966.6502,34.8633663605159,894.0,32.532751091703055,-72.65020000000004,-2.330615268812842
pre_guide,2024-05-08,2024Q3,2016.36668,52.888839202705256,1958.0,52.46516613076098,-58.36668000000009,-0.42367307194427895
pre_guide,2024-08-06,2024Q4,782.82061,31.402686327193894,765.0,30.846774193548388,-17.820609999999988,-0.5559121336455064
pre_guide,2024-11-07,2025Q1,437.35165,18.68422233874973,417.0,18.35387323943662,-20.351650000000006,-0.33034909931311063
pre_guide,2025-02-13,2025Q2,986.36758,32.17864298515607,1043.0,33.68863049095607,56.632420000000025,1.5099875058000052
pre_guide,2025-05-01,2025Q3,2059.58119,50.32366320226521,2051.0,50.085470085470085,-8.581189999999879,-0.23819311679512367
pre_guide,2025-08-06,2025Q4,816.80588,30.130261574787,786.0,28.293736501079916,-30.805880000000002,-1.836525073707083
pre_guide,2025-11-06,2026Q1,464.12047,18.48845556222224,519.0,19.38013442867812,54.87952999999999,0.8916788664558801
pre_guide,2026-02-12,2026Q2,1160.4548,34.13041199273571,1261.0,34.950110864745014,100.54520000000002,0.8196988720093046
post_guide_5td,2021-02-25,2021Q2,-167.87525,-17.31905797340077,218.0,16.327190914292736,385.87525,33.6462488876935
post_guide_5td,2021-05-13,2021Q3,578.12144,30.630837810033007,1101.0,49.20819940002647,522.87856,18.577361589993465
post_guide_5td,2021-08-12,2021Q4,236.53343,16.206818256814344,333.0,21.730108141547184,96.46656999999999,5.52328988473284
post_guide_5td,2021-11-04,2022Q1,-7.04941,-0.5719217981979873,229.0,15.176246589486508,236.04941,15.748168387684496
post_guide_5td,2022-02-15,2022Q2,485.66014,24.68242052051717,711.0,33.79105720383992,225.33986,9.10863668332275
post_guide_5td,2022-05-03,2022Q3,1270.11835,45.334384350572456,1457.0,50.512929853938935,186.88165000000004,5.178545503366479
post_guide_5td,2022-08-02,2022Q4,395.77121,21.41395807915484,506.0,26.603575184016822,110.22879,5.189617104861984
post_guide_5td,2022-11-01,2023Q1,230.19067,13.628998877486262,262.0,14.411441144114413,31.80932999999999,0.7824422666281503
post_guide_5td,2023-02-14,2023Q2,837.30396,34.57852192009193,819.0,32.971014492753625,-18.30395999999996,-1.6075074273383052
post_guide_5td,2023-05-09,2023Q3,1649.48244,51.56539867955286,1834.0,53.98881365911098,184.51756,2.4234149795581246
post_guide_5td,2023-08-03,2023Q4,641.64458,29.49464817811676,738.0,33.27321911632101,96.35541999999998,3.7785709382042505
post_guide_5td,2023-11-01,2024Q1,300.20235,14.79902458331915,424.0,19.79458450046685,123.79764999999998,4.9955599171477
post_guide_5td,2024-02-13,2024Q2,914.28533,33.41933775670447,894.0,32.532751091703055,-20.285330000000044,-0.8865866650014169
post_guide_5td,2024-05-08,2024Q3,2003.69676,52.40644839465492,1958.0,52.46516613076098,-45.69676000000004,0.05871773610605402
post_guide_5td,2024-08-06,2024Q4,728.71759,30.03856521484473,765.0,30.846774193548388,36.28241000000003,0.8082089787036573
post_guide_5td,2024-11-07,2025Q1,394.82427,17.11462765710044,417.0,18.35387323943662,22.175729999999987,1.2392455823361814
post_guide_5td,2025-02-13,2025Q2,958.11775,31.348973014923757,1043.0,33.68863049095607,84.88225,2.3396574760323148
post_guide_5td,2025-05-01,2025Q3,1994.54103,49.42001447856465,2051.0,50.085470085470085,56.45896999999991,0.6654556069054323
post_guide_5td,2025-08-06,2025Q4,756.19823,28.2490756792641,786.0,28.293736501079916,29.801770000000033,0.04466082181581754
post_guide_5td,2025-11-06,2026Q1,466.988,18.485107686040077,519.0,19.38013442867812,52.012,0.8950267426380414
post_guide_5td,2026-02-12,2026Q2,1174.18926,33.96809174558274,1261.0,34.950110864745014,86.8107399999999,0.982019119162274
