quarter,guide_date,n_pool,b_pt,street_revenue_impl,street_pt,corr_pt,actual_pt,err_street_pt,err_corr_pt,street_usd,corr_usd,actual_usd,err_street_usd,err_corr_usd
2023Q1,2022-11-01,3,5.271236861747286,1688.9771,13.628998877486262,18.900235739233548,14.411441144114413,-0.7824422666281503,4.488794595119135,230.19067,319.22065348167035,262.0,-31.80932999999999,57.220653481670354
2023Q2,2023-02-14,4,4.929199213809569,2421.45677,34.57852192009193,39.5077211339015,32.971014492753625,1.6075074273383052,6.536706641147873,837.30396,956.6623880695785,819.0,18.30395999999996,137.66238806957847
2023Q3,2023-05-09,5,3.9163227674968097,3198.81642,51.56539867955286,55.481721447049665,53.98881365911098,-2.4234149795581246,1.4929077879386838,1649.48244,1774.7584157468866,1834.0,-184.51756,-59.24158425311339
2023Q4,2023-08-03,6,2.799718642940397,2175.46104,29.49464817811676,32.29436682105715,33.27321911632101,-3.7785709382042505,-0.9788522952638559,641.64458,702.5513683067849,738.0,-96.35541999999998,-35.448631693215134
2024Q1,2023-11-01,7,2.6022320365307974,2028.52795,14.79902458331915,17.40125661984995,19.79458450046685,-4.9955599171477,-2.3933278806169014,300.20235,352.98935418488145,424.0,-123.79764999999998,-71.01064581511855
2024Q2,2024-02-13,8,2.654107918717913,2735.7972699999996,33.41933775670447,36.073445675422384,32.532751091703055,0.8865866650014169,3.540694583719329,914.28533,986.8963419831384,894.0,20.285330000000044,92.89634198313843
2024Q3,2024-05-08,9,2.8690583994029093,3823.3782699999997,52.40644839465492,55.27550679405783,52.46516613076098,-0.05871773610605402,2.8103406632968557,2003.69676,2113.3917153963807,1958.0,45.69676000000004,155.39171539638073
2024Q4,2024-08-06,10,2.2183039161386846,2425.94007,30.03856521484473,32.25686913098342,30.846774193548388,-0.8082089787036573,1.41009493743503,728.71759,782.5323135759876,765.0,-36.28241000000003,17.532313575987587
2025Q1,2024-11-07,11,1.8284928549600892,2306.94046,17.11462765710044,18.943120512060528,18.35387323943662,-1.2392455823361814,0.5892472726239077,394.82427,437.00651147928346,417.0,-22.175729999999987,20.00651147928346
2025Q2,2025-02-13,12,1.6148639189432232,3056.2970899999996,31.348973014923757,32.96383693386698,33.68863049095607,-2.3396574760323148,-0.7247935570890931,958.11775,1007.4727889621216,1043.0,-84.88225,-35.527211037878374
2025Q3,2025-05-01,13,1.4982041508885269,4035.8973,49.42001447856465,50.91821862945318,50.085470085470085,-0.6654556069054323,0.8327485439830937,1994.54103,2055.007010874198,2051.0,-56.45896999999991,4.007010874197931
2025Q4,2025-08-06,14,1.5453877745497375,2676.89548,28.2490756792641,29.794463453813837,28.293736501079916,-0.04466082181581754,1.5007269527339204,756.19823,797.5666454853945,786.0,-29.801770000000033,11.566645485394474
2026Q1,2025-11-06,15,1.3699369276855489,2526.2930999999994,18.485107686040077,19.855044613725624,19.38013442867812,-0.8950267426380414,0.4749101850475057,466.988,501.596622078472,519.0,-52.012,-17.403377921527976
2026Q2,2026-02-12,16,1.1467852107310494,3456.7419000000004,33.96809174558274,35.114876956313786,34.950110864745014,-0.982019119162274,0.1647660915687723,1174.18926,1213.8306648823434,1261.0,-86.8107399999999,-47.1693351176566
