object,spec_id,cells,cells_passed,pass_line,h0_cells_passed,h0_all,h1_all
dispersion_conditioned,ew,8,2,False,2,False,False
dispersion_conditioned,ew_usd,8,2,False,2,False,False
dispersion_conditioned,rw_hl4,8,4,False,4,True,False
dispersion_conditioned,rw_hl4_from21,8,2,False,2,False,False
dispersion_conditioned,rw_hl4_med,8,4,False,4,True,False
dispersion_conditioned,rw_hl4_usd,8,4,False,4,True,False
street_plus_bias,ew,8,0,False,0,False,False
street_plus_bias,ew_usd,8,2,False,2,False,False
street_plus_bias,rw_hl4,8,2,False,2,False,False
street_plus_bias,rw_hl4_from21,8,0,False,0,False,False
street_plus_bias,rw_hl4_med,8,1,False,1,False,False
street_plus_bias,rw_hl4_usd,8,3,False,3,False,False
street_plus_flowthrough,ew,8,2,False,2,False,False
street_plus_flowthrough,ew_usd,8,2,False,2,False,False
street_plus_flowthrough,rw_hl4,8,3,False,3,False,False
street_plus_flowthrough,rw_hl4_from21,8,2,False,2,False,False
street_plus_flowthrough,rw_hl4_med,8,4,False,4,True,False
street_plus_flowthrough,rw_hl4_usd,8,3,False,3,False,False
