quarter,metric,scenario,value,lower,upper,units,information_date,evidence_status,source_ref,treatment,baseline_being_replaced,baseline_value_usd,embedded_fx,embedded_hedges,adoption_status,reference_basis,contract_row_id,contract_source_row_sha256,contract_audit_date,contract_numerator,contract_denominator,contract_units,contract_cohort_period,contract_recognition_period,contract_source_ids,contract_source_date,contract_admissible_origin,contract_evidence_status,contract_hedge_basis,contract_embedded_fx,contract_baseline_overlap,contract_treatment,contract_allowed_route,contract_unusable_reason,contract_direct_L4_use,contract_direct_L4_unusable_reason,contract_exclusivity_group,contract_long_stay_qualification
2026Q3,reference_normalized_kernel_revenue,fx0.95_nonusd0.40_u0.00_equal_recognition_months,4733211331,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,diagnostic_reference_only_not_new_forecast,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx:0001,4b7f329818f25404392935d4b0f9bbc5b700d9fe4058dde889ca6cac9a3168bb,2026-09-14,R0,1,USD,2026Q1;2026Q2,2026Q3,L3_FX;L3_DETAIL;SEC_K25;SEC_Q226,2026-09-13,2026-09-14,descriptive_diagnostic,inherited_reported_lambda_unreconciled_no_certified_hedge_preservation,booking_period_currency_FX_conditionally_reconstructed,same_B_already_contains_booking_FX_and_baseline_net_cancellations,reference_only,diagnostic_reference_level,,unavailable,no_compatible_L4_baseline_manifest_or_prehedge_bridge;unidentified_u_and_fixing;p_scenario_only,2026Q3:fx0.95_nonusd0.40_u0.00_equal_recognition_months:one_of_T_delta_ratio,recognition_period_includes_monthly_anniversaries_for_stays_at_least_28_nights
2026Q3,ordinary_booking_kernel_revenue,fx0.95_nonusd0.40_u0.00_equal_recognition_months,4808362929.49,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,baseline_identity_do_not_add,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx:0002,5aaff3e16354a814732a697275b0a9706017b100ea76bf29dc0d85241d87a048,2026-09-14,B,1,USD,2026Q1;2026Q2,2026Q3,L3_FX;L3_DETAIL;SEC_K25;SEC_Q226,2026-09-13,2026-09-14,descriptive_diagnostic,inherited_reported_lambda_unreconciled_no_certified_hedge_preservation,booking_period_currency_FX_conditionally_reconstructed,same_B_already_contains_booking_FX_and_baseline_net_cancellations,identity_not_increment,diagnostic_baseline_identity,,unavailable,no_compatible_L4_baseline_manifest_or_prehedge_bridge;unidentified_u_and_fixing;p_scenario_only,2026Q3:fx0.95_nonusd0.40_u0.00_equal_recognition_months:one_of_T_delta_ratio,recognition_period_includes_monthly_anniversaries_for_stays_at_least_28_nights
2026Q3,rnpl_retimed_kernel_revenue,fx0.95_nonusd0.40_u0.00_equal_recognition_months,4808362929.49,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,conditional_replacement_level,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx:0003,0529859e22b40376d2a4309674d49c59766ded2e5019edc46d8ac92445cea5b6,2026-09-14,T,1,USD,2026Q1;2026Q2,2026Q3,L3_FX;L3_DETAIL;SEC_K25;SEC_Q226,2026-09-13,2026-09-14,conditional_scenario,inherited_reported_lambda_unreconciled_no_certified_hedge_preservation,booking_period_currency_FX_conditionally_reconstructed,same_B_already_contains_booking_FX_and_baseline_net_cancellations,replace_level,conditional_replace_B_with_T,,unavailable,no_compatible_L4_baseline_manifest_or_prehedge_bridge;unidentified_u_and_fixing;p_scenario_only,2026Q3:fx0.95_nonusd0.40_u0.00_equal_recognition_months:one_of_T_delta_ratio,recognition_period_includes_monthly_anniversaries_for_stays_at_least_28_nights
2026Q3,rnpl_fx_incremental_replacement,fx0.95_nonusd0.40_u0.00_equal_recognition_months,0,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,incremental_replacement_only_after_compatibility_check,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx:0004,6cd60875f2dcb357630380f1b99484c81796d40ec16793cfc4613dc721af701e,2026-09-14,T-B,1,USD,2026Q1;2026Q2,2026Q3,L3_FX;L3_DETAIL;SEC_K25;SEC_Q226,2026-09-13,2026-09-14,conditional_scenario,inherited_reported_lambda_unreconciled_no_certified_hedge_preservation,booking_period_currency_FX_conditionally_reconstructed,same_B_already_contains_booking_FX_and_baseline_net_cancellations,incremental_replacement,conditional_add_delta_to_B,,unavailable,no_compatible_L4_baseline_manifest_or_prehedge_bridge;unidentified_u_and_fixing;p_scenario_only,2026Q3:fx0.95_nonusd0.40_u0.00_equal_recognition_months:one_of_T_delta_ratio,recognition_period_includes_monthly_anniversaries_for_stays_at_least_28_nights
2026Q3,rnpl_fx_replacement_multiplier,fx0.95_nonusd0.40_u0.00_equal_recognition_months,1,,,ratio,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,multiply_only_matching_ordinary_booking_baseline,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx:0005,902634e29ad3dda02b107f3947bfee83dc1ea8ae43441313195e0be60153a15d,2026-09-14,T,B,ratio,2026Q1;2026Q2,2026Q3,L3_FX;L3_DETAIL;SEC_K25;SEC_Q226,2026-09-13,2026-09-14,conditional_scenario,inherited_reported_lambda_unreconciled_no_certified_hedge_preservation,booking_period_currency_FX_conditionally_reconstructed,same_B_already_contains_booking_FX_and_baseline_net_cancellations,multiplicative_replacement,conditional_multiply_B_by_T_over_B,,unavailable,no_compatible_L4_baseline_manifest_or_prehedge_bridge;unidentified_u_and_fixing;p_scenario_only,2026Q3:fx0.95_nonusd0.40_u0.00_equal_recognition_months:one_of_T_delta_ratio,recognition_period_includes_monthly_anniversaries_for_stays_at_least_28_nights
2026Q3,rnpl_fx_level_multiplier,fx0.95_nonusd0.40_u0.00_equal_recognition_months,1.01587750752,,,ratio,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,reference_level_only_never_multiply_reported_kernel,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx:0006,79d2e3425c4c76393060424523625ecd15b905201bc68fb800dfee39498ab113,2026-09-14,T,R0,ratio,2026Q1;2026Q2,2026Q3,L3_FX;L3_DETAIL;SEC_K25;SEC_Q226,2026-09-13,2026-09-14,descriptive_diagnostic,inherited_reported_lambda_unreconciled_no_certified_hedge_preservation,booking_period_currency_FX_conditionally_reconstructed,same_B_already_contains_booking_FX_and_baseline_net_cancellations,reference_diagnostic_never_reported_baseline,diagnostic_reference_multiplier,,unavailable,no_compatible_L4_baseline_manifest_or_prehedge_bridge;unidentified_u_and_fixing;p_scenario_only,2026Q3:fx0.95_nonusd0.40_u0.00_equal_recognition_months:one_of_T_delta_ratio,recognition_period_includes_monthly_anniversaries_for_stays_at_least_28_nights
2026Q3,reference_normalized_kernel_revenue,fx1.00_nonusd0.40_u0.00_equal_recognition_months,4733211331,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,diagnostic_reference_only_not_new_forecast,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx:0007,733b939cbec930ff89e84d8084c04cdbfd7b4aa015e0a70113ae3ce046c88e42,2026-09-14,R0,1,USD,2026Q1;2026Q2,2026Q3,L3_FX;L3_DETAIL;SEC_K25;SEC_Q226,2026-09-13,2026-09-14,descriptive_diagnostic,inherited_reported_lambda_unreconciled_no_certified_hedge_preservation,booking_period_currency_FX_conditionally_reconstructed,same_B_already_contains_booking_FX_and_baseline_net_cancellations,reference_only,diagnostic_reference_level,,unavailable,no_compatible_L4_baseline_manifest_or_prehedge_bridge;unidentified_u_and_fixing;p_scenario_only,2026Q3:fx1.00_nonusd0.40_u0.00_equal_recognition_months:one_of_T_delta_ratio,recognition_period_includes_monthly_anniversaries_for_stays_at_least_28_nights
2026Q3,ordinary_booking_kernel_revenue,fx1.00_nonusd0.40_u0.00_equal_recognition_months,4808362929.49,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,baseline_identity_do_not_add,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx:0008,6e1646b8d7f222240124dcadc1d1ced017b9260b081f34a7d2585bf98e4fd959,2026-09-14,B,1,USD,2026Q1;2026Q2,2026Q3,L3_FX;L3_DETAIL;SEC_K25;SEC_Q226,2026-09-13,2026-09-14,descriptive_diagnostic,inherited_reported_lambda_unreconciled_no_certified_hedge_preservation,booking_period_currency_FX_conditionally_reconstructed,same_B_already_contains_booking_FX_and_baseline_net_cancellations,identity_not_increment,diagnostic_baseline_identity,,unavailable,no_compatible_L4_baseline_manifest_or_prehedge_bridge;unidentified_u_and_fixing;p_scenario_only,2026Q3:fx1.00_nonusd0.40_u0.00_equal_recognition_months:one_of_T_delta_ratio,recognition_period_includes_monthly_anniversaries_for_stays_at_least_28_nights
2026Q3,rnpl_retimed_kernel_revenue,fx1.00_nonusd0.40_u0.00_equal_recognition_months,4808362929.49,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,conditional_replacement_level,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx:0009,c0b0699c11a62ba3e2ca249ec3ce2ab8e403b71c3bbca15930ee438dc6f5b0d5,2026-09-14,T,1,USD,2026Q1;2026Q2,2026Q3,L3_FX;L3_DETAIL;SEC_K25;SEC_Q226,2026-09-13,2026-09-14,conditional_scenario,inherited_reported_lambda_unreconciled_no_certified_hedge_preservation,booking_period_currency_FX_conditionally_reconstructed,same_B_already_contains_booking_FX_and_baseline_net_cancellations,replace_level,conditional_replace_B_with_T,,unavailable,no_compatible_L4_baseline_manifest_or_prehedge_bridge;unidentified_u_and_fixing;p_scenario_only,2026Q3:fx1.00_nonusd0.40_u0.00_equal_recognition_months:one_of_T_delta_ratio,recognition_period_includes_monthly_anniversaries_for_stays_at_least_28_nights
2026Q3,rnpl_fx_incremental_replacement,fx1.00_nonusd0.40_u0.00_equal_recognition_months,0,,,USD,2026-09-13,scenario_only_unidentified_exposure_and_timing,cohort_fx_v2/scenario_summary.csv; L3_COHORT_FX_ACCOUNTING.md,incremental_replacement_only_after_compatibility_check,inherited_K0_Q3_2026_reported_USD_kernel,4808362929.49,booking_period_currency_FX_conditionally_reconstructed,unresolved_in_inherited_lambda_no_hedge_addition_permitted,pending_baseline_and_accounting_reconciliation,fixed_2025_daily_average_usd_per_unit,cohort_fx:0010,972d61340bc3b3a6ed630cb38b53f3b4f6d761c5e657a4d119a62ec41ac50f6a,2026-09-14,T-B,1,USD,2026Q1;2026Q2,2026Q3,L3_FX;L3_DETAIL;SEC_K25;SEC_Q226,2026-09-13,2026-09-14,conditional_scenario,inherited_reported_lambda_unreconciled_no_certified_hedge_preservation,booking_period_currency_FX_conditionally_reconstructed,same_B_already_contains_booking_FX_and_baseline_net_cancellations,incremental_replacement,conditional_add_delta_to_B,,unavailable,no_compatible_L4_baseline_manifest_or_prehedge_bridge;unidentified_u_and_fixing;p_scenario_only,2026Q3:fx1.00_nonusd0.40_u0.00_equal_recognition_months:one_of_T_delta_ratio,recognition_period_includes_monthly_anniversaries_for_stays_at_least_28_nights
