quarter,base_quarter,base_adr_usd,route,fx_estimator,fx_effect_pp,adr_exfx_yoy_pp,adr_exfx_lo_pp,adr_exfx_hi_pp,adr_reported_yoy_pp,adr_reported_central_lo_pp,adr_reported_central_hi_pp,adr_reported_wide_lo_pp,adr_reported_wide_hi_pp,adr_usd_point,adr_usd_central_lo,adr_usd_central_hi,nights_baseline_m,nights_baseline_yoy_pp,gbv_busd_point,gbv_yoy_pp_point
3Q26,3Q25,171.29,a_component_build,eur_fit,-1.12,3.36,2.2,4.53,2.24,1.08,3.41,1.08,4.79,175.13,173.13,177.13,146.8,9.9,25.71,12.37
3Q26,3Q25,171.29,a_component_build,baskets,0.26,3.36,2.2,4.53,3.62,2.46,4.79,1.08,4.79,177.5,175.5,179.5,146.8,9.9,26.06,13.88
3Q26,3Q25,171.29,a_component_build,midpoint,-0.43,3.36,2.2,4.53,2.93,1.77,4.1,1.08,4.79,176.31,174.31,178.31,146.8,9.9,25.88,13.12
3Q26,3Q25,171.29,b_h1_h2_transition,eur_fit,-1.12,3.5,2.0,5.0,2.38,0.88,3.88,0.88,5.26,175.37,172.8,177.94,146.8,9.9,25.74,12.52
3Q26,3Q25,171.29,b_h1_h2_transition,baskets,0.26,3.5,2.0,5.0,3.76,2.26,5.26,0.88,5.26,177.73,175.16,180.3,146.8,9.9,26.09,14.03
3Q26,3Q25,171.29,b_h1_h2_transition,midpoint,-0.43,3.5,2.0,5.0,3.07,1.57,4.57,0.88,5.26,176.55,173.98,179.12,146.8,9.9,25.92,13.27
3Q26,3Q25,171.29,c_naive_last_disclosed,eur_fit,-1.12,4.0,3.18,4.82,2.88,2.06,3.7,2.06,5.08,176.22,174.82,177.62,146.8,9.9,25.87,13.07
3Q26,3Q25,171.29,c_naive_last_disclosed,baskets,0.26,4.0,3.18,4.82,4.26,3.44,5.08,2.06,5.08,178.59,177.19,179.99,146.8,9.9,26.22,14.58
3Q26,3Q25,171.29,c_naive_last_disclosed,midpoint,-0.43,4.0,3.18,4.82,3.57,2.75,4.39,2.06,5.08,177.41,176.01,178.8,146.8,9.9,26.04,13.82
3Q26,3Q25,171.29,headline_mean_of_routes,eur_fit,-1.12,3.62,2.0,5.0,2.5,0.88,3.88,0.88,5.26,175.57,172.8,177.94,146.8,9.9,25.77,12.65
3Q26,3Q25,171.29,headline_mean_of_routes,baskets,0.26,3.62,2.0,5.0,3.88,2.26,5.26,0.88,5.26,177.94,175.16,180.3,146.8,9.9,26.12,14.17
3Q26,3Q25,171.29,headline_mean_of_routes,midpoint,-0.43,3.62,2.0,5.0,3.19,1.57,4.57,0.88,5.26,176.76,173.98,179.12,146.8,9.9,25.95,13.41
4Q26,4Q25,167.51,a_component_build,eur_fit,-0.66,3.47,2.07,4.87,2.81,1.41,4.21,1.41,5.84,172.21,169.87,174.56,132.7,8.9,22.85,11.96
4Q26,4Q25,167.51,a_component_build,baskets,0.97,3.47,2.07,4.87,4.44,3.04,5.84,1.41,5.84,174.94,172.6,177.29,132.7,8.9,23.22,13.73
4Q26,4Q25,167.51,a_component_build,midpoint,0.15,3.47,2.07,4.87,3.62,2.22,5.03,1.41,5.84,173.58,171.23,175.93,132.7,8.9,23.03,12.85
4Q26,4Q25,167.51,b_h1_h2_transition,eur_fit,-0.66,3.8,2.0,6.0,3.14,1.34,5.34,1.34,6.97,172.77,169.75,176.46,132.7,8.9,22.93,12.32
4Q26,4Q25,167.51,b_h1_h2_transition,baskets,0.97,3.8,2.0,6.0,4.77,2.97,6.97,1.34,6.97,175.5,172.49,179.19,132.7,8.9,23.29,14.09
4Q26,4Q25,167.51,b_h1_h2_transition,midpoint,0.15,3.8,2.0,6.0,3.95,2.15,6.16,1.34,6.97,174.14,171.12,177.82,132.7,8.9,23.11,13.21
4Q26,4Q25,167.51,c_naive_last_disclosed,eur_fit,-0.66,4.0,3.18,4.82,3.34,2.52,4.16,2.52,5.79,173.1,171.74,174.47,132.7,8.9,22.97,12.54
4Q26,4Q25,167.51,c_naive_last_disclosed,baskets,0.97,4.0,3.18,4.82,4.97,4.15,5.79,2.52,5.79,175.84,174.47,177.2,132.7,8.9,23.33,14.31
4Q26,4Q25,167.51,c_naive_last_disclosed,midpoint,0.15,4.0,3.18,4.82,4.16,3.34,4.97,2.52,5.79,174.47,173.1,175.84,132.7,8.9,23.15,13.42
4Q26,4Q25,167.51,headline_mean_of_routes,eur_fit,-0.66,3.76,2.0,6.0,3.1,1.34,5.34,1.34,6.97,172.7,169.75,176.46,132.7,8.9,22.92,12.27
4Q26,4Q25,167.51,headline_mean_of_routes,baskets,0.97,3.76,2.0,6.0,4.73,2.97,6.97,1.34,6.97,175.43,172.49,179.19,132.7,8.9,23.28,14.05
4Q26,4Q25,167.51,headline_mean_of_routes,midpoint,0.15,3.76,2.0,6.0,3.91,2.15,6.16,1.34,6.97,174.06,171.12,177.82,132.7,8.9,23.1,13.16
