quarter,term,range_pp,half_range_pp,adr_reported_pp_per_1pp,adr_usd_per_1pp,gbv_musd_per_1pp,rev_musd_per_1pp_same_qtr_take,rev_growth_pp_per_1pp_same_qtr_take,contribution_to_variance_pct
3Q26,like_for_like_pricing,1.52,0.76,1.0,1.71,259.0,46.0,1.13,31.3
3Q26,fx_estimator_choice,1.38,0.69,1.0,1.71,259.0,46.0,1.13,25.8
3Q26,fee_migration_increment,1.15,0.58,1.0,1.71,259.0,46.0,1.13,18.3
3Q26,unit_size_party,0.98,0.49,1.0,1.71,259.0,46.0,1.13,13.0
3Q26,geographic_mix,0.6,0.3,1.0,1.71,259.0,46.0,1.13,4.9
3Q26,new_business_seats,0.52,0.26,1.0,1.71,259.0,46.0,1.13,3.7
3Q26,length_of_stay_mix,0.45,0.23,1.0,1.71,259.0,46.0,1.13,2.9
3Q26,h1h2_vs_component_route_gap,0.14,0.07,1.0,1.71,259.0,46.0,1.13,
3Q26,interaction,0.1,0.05,1.0,1.71,259.0,46.0,1.13,0.1
4Q26,fee_migration_increment,1.92,0.96,1.0,1.68,231.0,31.0,1.13,35.2
4Q26,fx_estimator_choice,1.63,0.81,1.0,1.68,231.0,31.0,1.13,25.1
4Q26,like_for_like_pricing,1.52,0.76,1.0,1.68,231.0,31.0,1.13,22.1
4Q26,unit_size_party,0.98,0.49,1.0,1.68,231.0,31.0,1.13,9.2
4Q26,geographic_mix,0.63,0.31,1.0,1.68,231.0,31.0,1.13,3.7
4Q26,new_business_seats,0.52,0.26,1.0,1.68,231.0,31.0,1.13,2.6
4Q26,length_of_stay_mix,0.45,0.23,1.0,1.68,231.0,31.0,1.13,2.0
4Q26,h1h2_vs_component_route_gap,0.33,0.17,1.0,1.68,231.0,31.0,1.13,
4Q26,interaction,0.1,0.05,1.0,1.68,231.0,31.0,1.13,0.1
